id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,set_camera_shake
d_main_17_03_e_1,d_main_17_03_e,Self,Locale_MainScenario:d_main_17_03_e_1,False,rapunzel,3,idle,anis,1,worry,neon,13,idle,rapi,15,idle,IceLand_02,3,3,1.0,bgm_story_thepilgrim,,,,
d_main_17_03_e_2,d_main_17_03_e,Speech,Locale_MainScenario:d_main_17_03_e_2,True,,3,idle,,1,worry,,13,idle,,15,idle,,3,30,1.0,,rapunzel,rapunzel,,
d_main_17_03_e_3,d_main_17_03_e,Speech,Locale_MainScenario:d_main_17_03_e_3,True,,3,idle,,1,worry,,13,idle,,15,idle,,30,30,1.0,,rapunzel,rapunzel,,
d_main_17_03_e_4,d_main_17_03_e,Speech,Locale_MainScenario:d_main_17_03_e_4,True,,3,idle,,1,worry,,13,idle,,15,idle,,30,10,1.0,,anis,anis,,
d_main_17_03_e_5,d_main_17_03_e,Self,Locale_MainScenario:d_main_17_03_e_5,False,,3,idle,,1,worry,,13,idle,,15,idle,,10,10,1.0,,anis,,,
d_main_17_03_e_6,d_main_17_03_e,Speech,Locale_MainScenario:d_main_17_03_e_6,True,,3,idle,,1,angry,,13,idle,,15,idle,,10,10,1.0,,anis,anis,,
d_main_17_03_e_7,d_main_17_03_e,Self,Locale_MainScenario:d_main_17_03_e_7,False,,3,idle,,1,angry,,13,idle,,15,idle,,10,10,1.0,,anis,,,
d_main_17_03_e_8,d_main_17_03_e,Speech,Locale_MainScenario:d_main_17_03_e_8,True,,3,idle,,1,worry,,13,idle,,15,idle,,10,10,1.0,,anis,anis,,
d_main_17_03_e_9,d_main_17_03_e,Self,Locale_MainScenario:d_main_17_03_e_9,False,,3,idle,,1,worry,,13,idle,,15,idle,,10,10,1.0,,anis,,,
d_main_17_03_e_10,d_main_17_03_e,Speech,Locale_MainScenario:d_main_17_03_e_10,True,,3,idle,,1,void,,13,idle,,15,idle,,10,100,1.0,,anis,anis,,
