id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_ex_armory_09_1,d_ex_armory_09,Narration,rapi_red,Locale_SuddenStory:d_ex_armory_09_1,False,Armory,15,150,1.0,sfx_scn_autodooropen,none,,,rapi_red,15,idle,,,,,,,,,,
d_ex_armory_09_2,d_ex_armory_09,Speech,eunhwa_t,Locale_SuddenStory:d_ex_armory_09_2,True,,150,14,1.0,,bgm_story_orangepop,eunhwa_t,,,15,idle,,eunhwa_t,13,idle,vesti_t,1,idle,emma_t,3,idle
d_ex_armory_09_3,d_ex_armory_09,Speech,eunhwa_t,Locale_SuddenStory:d_ex_armory_09_3,True,,14,14,1.0,,,eunhwa_t,,,15,idle,,,13,idle,,1,idle,,3,idle
d_ex_armory_09_4,d_ex_armory_09,Speech,emma_t,Locale_SuddenStory:d_ex_armory_09_4,True,,14,2,1.0,,,emma_t,,,15,idle,,,13,idle,,1,idle,,3,delight
d_ex_armory_09_5,d_ex_armory_09,Speech,vesti_t,Locale_SuddenStory:d_ex_armory_09_5,True,,2,2,1.0,,,vesti_t,,,15,idle,,,13,idle,,1,idle,,3,delight
d_ex_armory_09_6,d_ex_armory_09,Speech,rapi_red,Locale_SuddenStory:d_ex_armory_09_6,True,,14,14,1.0,,,rapi_red,,,15,delight,,,13,idle,,1,idle,,3,delight
d_ex_armory_09_7,d_ex_armory_09,Speech,eunhwa_t,Locale_SuddenStory:d_ex_armory_09_7,True,,14,14,1.0,,,eunhwa_t,,,15,delight,,,13,angry,,1,idle,,3,delight
d_ex_armory_09_8,d_ex_armory_09,Self,eunhwa_t,Locale_SuddenStory:d_ex_armory_09_8,False,,14,14,1.0,,,,,,15,delight,,,13,angry,,1,idle,,3,idle
d_ex_armory_09_9,d_ex_armory_09,Speech,rapi_red,Locale_SuddenStory:d_ex_armory_09_9,True,,14,14,1.0,,,rapi_red,,,15,idle,,,13,angry,,1,idle,,3,idle
d_ex_armory_09_10,d_ex_armory_09,Speech,eunhwa_t,Locale_SuddenStory:d_ex_armory_09_10,True,,14,14,1.0,,,eunhwa_t,,,15,idle,,,13,idle,,1,idle,,3,idle
d_ex_armory_09_11,d_ex_armory_09,Speech,eunhwa_t,Locale_SuddenStory:d_ex_armory_09_11,True,,14,14,1.0,,,eunhwa_t,,,15,idle,,,13,idle,,1,idle,,3,idle
d_ex_armory_09_12,d_ex_armory_09,Speech,eunhwa_t,Locale_SuddenStory:d_ex_armory_09_12,True,,14,14,1.0,,,eunhwa_t,,,15,idle,,,13,idle,,1,idle,,3,idle
d_ex_armory_09_13,d_ex_armory_09,Speech,rapi_red,Locale_SuddenStory:d_ex_armory_09_13,True,,14,14,1.0,,,rapi_red,,,15,idle,,,13,idle,,1,idle,,3,idle
d_ex_armory_09_14,d_ex_armory_09,Speech,eunhwa_t,Locale_SuddenStory:d_ex_armory_09_14,True,,14,14,1.0,,,eunhwa_t,,,15,idle,,,13,idle,,1,idle,,3,idle
d_ex_armory_09_15,d_ex_armory_09,Speech,vesti_t,Locale_SuddenStory:d_ex_armory_09_15,True,,XS_10,XS_10,1.0,,,vesti_t,,,15,idle,,,13,idle,,1,idle,,3,idle
d_ex_armory_09_16,d_ex_armory_09,Speech,vesti_t,Locale_SuddenStory:d_ex_armory_09_16,False,,XS_10,XS_10,1.0,,,rapi_red,,,15,idle,,,13,idle,,1,idle,,3,idle
d_ex_armory_09_17,d_ex_armory_09,Speech,vesti_t,Locale_SuddenStory:d_ex_armory_09_17,True,,XS_10,XS_10,1.0,,,vesti_t,,,15,idle,,,13,idle,,1,idle,,3,idle
d_ex_armory_09_18,d_ex_armory_09,Speech,vesti_t,Locale_SuddenStory:d_ex_armory_09_18,True,,XS_10,XS_100,1.0,,,vesti_t,,,15,idle,,,13,idle,,1,angry,,3,idle
d_ex_armory_09_19,d_ex_armory_09,Speech,vesti_t,Locale_SuddenStory:d_ex_armory_09_19,False,,XS_100,XS_100,1.0,,,vesti_t,,,15,idle,,,13,idle,,1,angry,,3,idle
d_ex_armory_09_20,d_ex_armory_09,Speech,vesti_t,Locale_SuddenStory:d_ex_armory_09_20,True,,XS_100,XS_100,1.0,,,vesti_t,,,15,idle,,,13,idle,,1,angry,,3,idle
d_ex_armory_09_21,d_ex_armory_09,Speech,vesti_t,Locale_SuddenStory:d_ex_armory_09_21,True,,XS_100,XS_100,1.0,,,vesti_t,,,15,idle,,,13,idle,,1,idle,,3,idle
d_ex_armory_09_22,d_ex_armory_09,Speech,vesti_t,Locale_SuddenStory:d_ex_armory_09_22,True,,XS_100,XS_100,1.0,,,vesti_t,,,15,idle,,,13,idle,,1,idle,,3,idle
d_ex_armory_09_23,d_ex_armory_09,Speech,rapi_red,Locale_SuddenStory:d_ex_armory_09_23,True,,14,14,1.0,,,rapi_red,,,15,idle,,,13,idle,,1,idle,,3,idle
d_ex_armory_09_24,d_ex_armory_09,Speech,eunhwa_t,Locale_SuddenStory:d_ex_armory_09_24,True,,14,14,1.0,,,eunhwa_t,,,15,idle,,,13,idle,,1,idle,,3,idle
d_ex_armory_09_25,d_ex_armory_09,Speech,eunhwa_t,Locale_SuddenStory:d_ex_armory_09_25,True,,14,14,1.0,,,eunhwa_t,,,15,idle,,,13,idle,,1,idle,,3,idle
d_ex_armory_09_26,d_ex_armory_09,Speech,emma_t,Locale_SuddenStory:d_ex_armory_09_26,True,,30,30,1.0,,,emma_t,,,15,idle,,,13,idle,,1,idle,,3,idle
d_ex_armory_09_27,d_ex_armory_09,Speech,emma_t,Locale_SuddenStory:d_ex_armory_09_27,True,,30,30,1.0,,,emma_t,,,15,idle,,,13,idle,,1,idle,,3,idle
d_ex_armory_09_28,d_ex_armory_09,Speech,rapi_red,Locale_SuddenStory:d_ex_armory_09_28,True,,150,150,1.0,,,rapi_red,,,15,idle,,,13,idle,,1,idle,,3,idle
d_ex_armory_09_29,d_ex_armory_09,Speech,rapi_red,Locale_SuddenStory:d_ex_armory_09_29,True,,150,150,1.0,,,rapi_red,,,15,idle,,,13,idle,,1,idle,,3,idle
d_ex_armory_09_30,d_ex_armory_09,Speech,emma_t,Locale_SuddenStory:d_ex_armory_09_30,True,,30,30,1.0,,,emma_t,,,15,idle,,,13,idle,,1,idle,,3,idle
