id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_main_16_05_s_1,d_main_16_05_s,Narration,Narration,Locale_MainScenario:d_main_16_05_s_1,False,IceLand_03,4,3,1.0,bgm_story_leisuretime,,,,jackal,17,idle,viper,15,idle,crow,13,idle,,neon,2,idle,,anis,5,void,rapi,7,idle
d_main_16_05_s_2,d_main_16_05_s,Narration,Narration,Locale_MainScenario:d_main_16_05_s_2,False,,3,1,1.0,,,,,,17,idle,,15,idle,,13,idle,,,1,idle,,,5,void,,7,idle
d_main_16_05_s_3,d_main_16_05_s,Speech,crow,Locale_MainScenario:d_main_16_05_s_3,True,,1,13,0.5,,crow,,,,17,idle,,15,idle,,13,surprise,,,1,idle,,,5,void,,7,idle
d_main_16_05_s_4,d_main_16_05_s,Speech,neon,Locale_MainScenario:d_main_16_05_s_4,True,,1,6002,1.0,,neon,Low_2,,,17,idle,,15,idle,,13,surprise,crow,,1,shy,neon,,5,void,,7,idle
d_main_16_05_s_5,d_main_16_05_s,Narration,Narration,Locale_MainScenario:d_main_16_05_s_5,False,,6002,6002,1.0,,,,,,17,idle,,15,idle,,13,surprise,,,,,,,5,void,,7,idle
d_main_16_05_s_6,d_main_16_05_s,Speech,neon,Locale_MainScenario:d_main_16_05_s_6,True,,6002,1,2.0,,neon,,,,17,idle,,15,idle,crow,13,surprise,,neon,1,surprise,,,5,void,,7,idle
d_main_16_05_s_7,d_main_16_05_s,Speech,crow,Locale_MainScenario:d_main_16_05_s_7,True,,1,12,1.0,,crow,,,,17,idle,,15,idle,,13,smile,,,1,surprise,,,5,void,,7,idle
d_main_16_05_s_8,d_main_16_05_s,Speech,neon,Locale_MainScenario:d_main_16_05_s_8,False,,12,12,1.0,,neon,,,,17,idle,,15,idle,,13,smile,,,1,worry,,,5,void,,7,idle
d_main_16_05_s_9,d_main_16_05_s,Speech,neon,Locale_MainScenario:d_main_16_05_s_9,True,,12,S_10,1.0,,neon,,,,17,idle,,15,idle,,13,smile,,,1,angry,,,5,void,,7,idle
d_main_16_05_s_10,d_main_16_05_s,Speech,crow,Locale_MainScenario:d_main_16_05_s_10,True,,130,130,1.0,,crow,,,,17,idle,,15,idle,,13,delight,,,1,angry,,,5,void,,7,idle
d_main_16_05_s_11,d_main_16_05_s,Narration,Narration,Locale_MainScenario:d_main_16_05_s_11,False,,2,1,1.0,,,,black,,17,idle,,15,idle,,13,delight,,,1,no,,,5,void,,7,idle
d_main_16_05_s_12,d_main_16_05_s,Narration,Narration,Locale_MainScenario:d_main_16_05_s_12,False,,1,12,1.0,,,,,,17,idle,,15,idle,,13,delight,,,12,no,,,5,void,,7,idle
d_main_16_05_s_13,d_main_16_05_s,Speech,neon,Locale_MainScenario:d_main_16_05_s_13,True,,12,S_120,0.3,,neon,,,,17,idle,,15,idle,,13,idle,,,12,angry,,,5,void,,7,idle
d_main_16_05_s_14,d_main_16_05_s,Narration,Narration,Locale_MainScenario:d_main_16_05_s_14,False,,black,black,1.0,,,,,,17,idle,,15,idle,,13,idle,,,12,angry,,,5,void,,7,idle
d_main_16_05_s_15,d_main_16_05_s,Speech,neon,Locale_MainScenario:d_main_16_05_s_15,True,,12,1,0.3,,neon,,,,17,idle,,15,idle,,13,idle,,,1,shy,,,5,void,,7,idle
d_main_16_05_s_16,d_main_16_05_s,Speech,neon,Locale_MainScenario:d_main_16_05_s_16,True,,1,12,1.0,,neon,,,,17,idle,,15,idle,,13,idle,,,1,angry,,,5,void,,7,idle
d_main_16_05_s_17,d_main_16_05_s,Speech,crow,Locale_MainScenario:d_main_16_05_s_17,True,,12,12,1.0,,crow,,,,17,idle,,15,idle,,13,smile,,,1,angry,,,5,void,,7,idle
d_main_16_05_s_18,d_main_16_05_s,Speech,neon,Locale_MainScenario:d_main_16_05_s_18,True,,12,S_10,1.0,,neon,,,,17,idle,,15,idle,,13,smile,,,1,angry,,,5,void,,7,idle
d_main_16_05_s_19,d_main_16_05_s,Speech,neon,Locale_MainScenario:d_main_16_05_s_19,True,,S_10,S_10,1.0,,neon,,,,17,idle,,15,idle,,13,smile,,,1,angry,,,5,void,,7,idle
d_main_16_05_s_20,d_main_16_05_s,Speech,anis,Locale_MainScenario:d_main_16_05_s_20,True,,50,50,1.0,,anis,,,,17,idle,,15,idle,,13,idle,,,1,angry,,,5,worry,,7,idle
d_main_16_05_s_21,d_main_16_05_s,Speech,rapi,Locale_MainScenario:d_main_16_05_s_21,True,,50,70,0.3,none,rapi,,,,17,idle,,15,idle,,13,idle,,,1,idle,,,5,void,,7,idle
d_main_16_05_s_22,d_main_16_05_s,Speech,rapi,Locale_MainScenario:d_main_16_05_s_22,True,,70,70,1.0,bgm_enemyclose,rapi,,,,17,idle,,15,idle,,13,idle,,,1,idle,,,5,void,,7,idle
d_main_16_05_s_23,d_main_16_05_s,Narration,Narration,Locale_MainScenario:d_main_16_05_s_23,False,,70,7,1.0,,,Low_3_Loop,,,17,idle,,15,idle,,13,idle,,,1,idle,,,5,void,,7,idle
d_main_16_05_s_24,d_main_16_05_s,Speech,neon,Locale_MainScenario:d_main_16_05_s_24,True,,1,1,1.0,,neon,,,,17,idle,,15,idle,,13,idle,,,1,worry,,,5,void,,7,idle
d_main_16_05_s_25,d_main_16_05_s,Speech,viper,Locale_MainScenario:d_main_16_05_s_25,True,,15,150,1.0,,viper,,,,17,idle,,15,idle,,13,idle,,,1,worry,,,5,void,,7,idle
d_main_16_05_s_26,d_main_16_05_s,Self,Self,Locale_MainScenario:d_main_16_05_s_26,False,,150,150,1.0,,,,,,17,idle,,15,idle,,13,idle,,,1,idle,,,5,void,,7,idle
d_main_16_05_s_27,d_main_16_05_s,Speech,anis,Locale_MainScenario:d_main_16_05_s_27,True,,50,50,1.0,,anis,,,,17,idle,,15,idle,,13,idle,,,1,idle,,,5,no,,7,idle
d_main_16_05_s_28,d_main_16_05_s,Speech,viper,Locale_MainScenario:d_main_16_05_s_28,True,,150,150,1.0,,viper,,,,17,idle,,15,shy,,13,idle,,,1,idle,,,5,no,,7,idle
d_main_16_05_s_29,d_main_16_05_s,Speech,rapi,Locale_MainScenario:d_main_16_05_s_29,True,,150,70,0.3,,rapi,,,,17,idle,,15,shy,,13,idle,,,1,idle,,,5,void,,7,angry
d_main_16_05_s_30,d_main_16_05_s,Speech,rapi,Locale_MainScenario:d_main_16_05_s_30,True,,70,700,0.5,,rapi,,,,17,idle,,15,idle,,13,idle,,,1,idle,,,5,void,,7,angry
