id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,play_sound,set_camera_shake,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/2/hide_char_id,characters/0/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/hide_char_id
d_main_32_08_e_1,d_main_32_08_e,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_32_08_e_1,True,behemoth,1,idle,shifty_r,OP_rightup,angry,FlowerRoad,1,10,1.0,bgm_story_confront,,,,,,,,,,,,,,,,,,,,
d_main_32_08_e_2,d_main_32_08_e,Speech,behemoth,behemoth,Locale_MainScenario:d_main_32_08_e_2,True,,1,idle,,OP_rightup,angry,,10,10,1.0,,shifty_r,,,,,,,,,,,,,,,,,,,
d_main_32_08_e_3,d_main_32_08_e,Speech,behemoth,behemoth,Locale_MainScenario:d_main_32_08_e_3,True,,1,idle,,,,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_32_08_e_4,d_main_32_08_e,Speech,behemoth,behemoth,Locale_MainScenario:d_main_32_08_e_4,True,,1,idle,,,,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_32_08_e_5,d_main_32_08_e,Speech,behemoth,behemoth,Locale_MainScenario:d_main_32_08_e_5,True,,1,idle,,,,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_32_08_e_6,d_main_32_08_e,Speech,behemoth,behemoth,Locale_MainScenario:d_main_32_08_e_6,True,,1,idle,,,,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_32_08_e_7,d_main_32_08_e,Self,behemoth,,Locale_MainScenario:d_main_32_08_e_7,False,,1,idle,,,,,10,100,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_32_08_e_8,d_main_32_08_e,Monologue,behemoth,,Locale_MainScenario:d_main_32_08_e_8,False,,1,idle,,,,,100,100,1.0,,,sfx_scn_toolpasslight,,,,,,,,,,,,,,,,,,
d_main_32_08_e_9,d_main_32_08_e,Speech,behemoth,behemoth,Locale_MainScenario:d_main_32_08_e_9,True,,1,void,,,,,100,100,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_32_08_e_10,d_main_32_08_e,Speech,behemoth,behemoth,Locale_MainScenario:d_main_32_08_e_10,True,,1,void,,,,,100,100,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_32_08_e_11,d_main_32_08_e,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_32_08_e_11,True,,1,void,shifty_r,OP_rightup,angry,,100,100,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_32_08_e_12,d_main_32_08_e,Speech,behemoth,behemoth,Locale_MainScenario:d_main_32_08_e_12,True,,1,angry,,OP_rightup,angry,,100,100,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_32_08_e_13,d_main_32_08_e,Monologue,behemoth,,Locale_MainScenario:d_main_32_08_e_13,False,,1,idle,,OP_rightup,angry,,100,10,1.0,,shifty_r,,,,,,,,,,,,,,,,,,,
d_main_32_08_e_14,d_main_32_08_e,Monologue,behemoth,,Locale_MainScenario:d_main_32_08_e_14,False,,1,idle,,,,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_32_08_e_15,d_main_32_08_e,Narration,behemoth,,Locale_MainScenario:d_main_32_08_e_15,False,,1,idle,,,,,10,10,1.0,,,sfx_scn_machacrush,Low_2,,,,,,,,,,,,,,,,,
d_main_32_08_e_16,d_main_32_08_e,Monologue,behemoth,,Locale_MainScenario:d_main_32_08_e_16,False,,1,idle,,,,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_32_08_e_17,d_main_32_08_e,Self,behemoth,,Locale_MainScenario:d_main_32_08_e_17,False,,1,idle,,,,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_32_08_e_18,d_main_32_08_e,Speech,mana_op,mana_op,Locale_MainScenario:d_main_32_08_e_18,True,,1,idle,mana_op,OP_leftup,idle,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_32_08_e_19,d_main_32_08_e,Speech,mana_op,mana_op,Locale_MainScenario:d_main_32_08_e_19,True,,1,idle,,OP_leftup,idle,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_32_08_e_20,d_main_32_08_e,Monologue,behemoth,,Locale_MainScenario:d_main_32_08_e_20,False,,1,idle,,OP_leftup,idle,,10,10,1.0,,mana_op,sfx_scn_activate,,,,,,,,,,,,,,,,,,
d_main_32_08_e_21,d_main_32_08_e,Speech,behemoth,behemoth,Locale_MainScenario:d_main_32_08_e_21,True,,1,surprise,,,,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_32_08_e_22,d_main_32_08_e,Monologue,behemoth,,Locale_MainScenario:d_main_32_08_e_22,False,,1,surprise,,,,,10,10,1.0,,,sfx_scn_lostsectorcreate,,,,,,,,,,,,,,,,,,
d_main_32_08_e_23,d_main_32_08_e,Speech,behemoth,behemoth,Locale_MainScenario:d_main_32_08_e_23,True,,1,surprise,,,,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_32_08_e_24,d_main_32_08_e,Self,behemoth,,Locale_MainScenario:d_main_32_08_e_24,False,,1,surprise,,,,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_32_08_e_25,d_main_32_08_e,Monologue,behemoth,,Locale_MainScenario:d_main_32_08_e_25,False,,1,idle,rapi,13,angry,,black,black,1.0,,,sfx_scn_footstepmany,,anis,15,angry,vesti,17,angry,,,,,,,,,,,
d_main_32_08_e_26,d_main_32_08_e,Speech,behemoth,behemoth,Locale_MainScenario:d_main_32_08_e_26,True,,1,idle,,13,angry,,1,10,1.0,,,,,,15,angry,,17,angry,,,,,,,,,,,
d_main_32_08_e_27,d_main_32_08_e,Self,behemoth,,Locale_MainScenario:d_main_32_08_e_27,False,,1,idle,,13,angry,,XS_170,XS_1700,0.5,,,,,,15,angry,,17,angry,,,,,,,,,,,
d_main_32_08_e_28,d_main_32_08_e,Speech,vesti,vesti,Locale_MainScenario:d_main_32_08_e_28,True,,1,idle,,13,angry,,XS_1700,XS_1700,1.0,,,,,,15,angry,,17,angry,,,,,,,,,,,
d_main_32_08_e_29,d_main_32_08_e,Narration,vesti,,Locale_MainScenario:d_main_32_08_e_29,False,,1,idle,,13,angry,,black,black,1.0,,,sfx_scn_missilelauncherfires,,,15,angry,,17,angry,,,,,,,,,,,
