id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,set_filter_01,set_filter_02
d_ex_outdoorpool_08_1,d_ex_outdoorpool_08,Speech,helm_s,helm_s,Locale_SuddenStory:d_ex_outdoorpool_08_1,True,anchor,2,idle,helm_s,12,angry,Pool_n,12,120,1.0,bgm_story_crawlinganxiety,,,,
d_ex_outdoorpool_08_2,d_ex_outdoorpool_08,Speech,helm_s,helm_s,Locale_SuddenStory:d_ex_outdoorpool_08_2,True,,2,idle,,12,angry,,120,120,1.0,,,,,
d_ex_outdoorpool_08_3,d_ex_outdoorpool_08,Speech,helm_s,helm_s,Locale_SuddenStory:d_ex_outdoorpool_08_3,True,,2,idle,,12,sad,,120,120,1.0,,,,,
d_ex_outdoorpool_08_4,d_ex_outdoorpool_08,Speech,anchor,anchor,Locale_SuddenStory:d_ex_outdoorpool_08_4,True,,2,idle,,12,idle,,120,1,1.0,,,,,
d_ex_outdoorpool_08_5,d_ex_outdoorpool_08,Speech,anchor,anchor,Locale_SuddenStory:d_ex_outdoorpool_08_5,True,,2,idle,,12,idle,,1,1,1.0,,,,,
d_ex_outdoorpool_08_6,d_ex_outdoorpool_08,Speech,anchor,anchor,Locale_SuddenStory:d_ex_outdoorpool_08_6,True,,2,idle,,12,idle,,1,1,1.0,,,,,
d_ex_outdoorpool_08_7,d_ex_outdoorpool_08,Speech,anchor,anchor,Locale_SuddenStory:d_ex_outdoorpool_08_7,True,,2,idle,,12,idle,,1,1,1.0,,,,,
d_ex_outdoorpool_08_8,d_ex_outdoorpool_08,Speech,anchor,anchor,Locale_SuddenStory:d_ex_outdoorpool_08_8,True,,2,idle,,12,idle,,1,1,1.0,,,,,
d_ex_outdoorpool_08_9,d_ex_outdoorpool_08,Speech,helm_s,helm_s,Locale_SuddenStory:d_ex_outdoorpool_08_9,True,,2,idle,,12,think,,1,1,1.0,,,,,
d_ex_outdoorpool_08_10,d_ex_outdoorpool_08,Self,,Self,Locale_SuddenStory:d_ex_outdoorpool_08_10,False,,2,idle,,12,think,,1,1,1.0,,,,,
d_ex_outdoorpool_08_11,d_ex_outdoorpool_08,Speech,helm_s,helm_s,Locale_SuddenStory:d_ex_outdoorpool_08_11,False,,2,idle,,12,special,,1,120,0.6,,,,,
d_ex_outdoorpool_08_12,d_ex_outdoorpool_08,Speech,helm_s,helm_s,Locale_SuddenStory:d_ex_outdoorpool_08_12,True,,2,idle,,12,special,,120,120,1.0,,,,,
d_ex_outdoorpool_08_13,d_ex_outdoorpool_08,Speech,helm_s,helm_s,Locale_SuddenStory:d_ex_outdoorpool_08_13,True,,2,idle,,12,special,,120,120,1.0,,,,,
d_ex_outdoorpool_08_14,d_ex_outdoorpool_08,Self,,Self,Locale_SuddenStory:d_ex_outdoorpool_08_14,False,,2,idle,,12,special,,120,120,1.0,,,,,
d_ex_outdoorpool_08_15,d_ex_outdoorpool_08,Speech,helm_s,helm_s,Locale_SuddenStory:d_ex_outdoorpool_08_15,True,,2,idle,,12,sad,,120,120,1.0,,,,,
d_ex_outdoorpool_08_16,d_ex_outdoorpool_08,Self,,Self,Locale_SuddenStory:d_ex_outdoorpool_08_16,False,,2,idle,,12,sad,,120,120,1.0,,,,,
d_ex_outdoorpool_08_17,d_ex_outdoorpool_08,Speech,helm_s,helm_s,Locale_SuddenStory:d_ex_outdoorpool_08_17,True,,2,idle,,12,sad,,120,120,1.0,,,,,
