id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,jump_target,characters/3/hide_char_id,play_sound
d_main_09_06_e_1,d_main_09_06_e,Speech,rapi,rapi,Locale_MainScenario:d_main_09_06_e_1,True,anis,3,void,rapi,1,idle,neon,13,idle,WasteLand_02,10,10,1.0,bgm_heartdestroyer_b,,,,,,,,,
d_main_09_06_e_2,d_main_09_06_e,Speech,syuen_op,syuen_op,Locale_MainScenario:d_main_09_06_e_2,True,,3,void,,1,idle,,13,idle,,10,10,1.0,,syuen_op,OP_leftup,think,,,,,,
d_main_09_06_e_3,d_main_09_06_e,Speech,syuen_op,syuen_op,Locale_MainScenario:d_main_09_06_e_3,True,,3,void,,1,idle,,13,idle,,10,10,1.0,,,OP_center,angry,anis,rapi,neon,,,
d_main_09_06_e_4,d_main_09_06_e,Choice,syuen_op,,Locale_MainScenario:d_main_09_06_e_4,False,,,,,,,,,,,10,10,1.0,,,OP_center,angry,,,,d_main_09_06_e_6,,
d_main_09_06_e_5,d_main_09_06_e,Choice,syuen_op,,Locale_MainScenario:d_main_09_06_e_5,False,,,,,,,,,,,10,10,1.0,,,OP_center,angry,,,,d_main_09_06_e_6,,
d_main_09_06_e_6,d_main_09_06_e,Speech,syuen_op,syuen_op,Locale_MainScenario:d_main_09_06_e_6,True,,,,,,,,,,,10,10,1.0,,,OP_center,idle,,,,,,
d_main_09_06_e_7,d_main_09_06_e,Speech,syuen_op,syuen_op,Locale_MainScenario:d_main_09_06_e_7,True,,,,,,,,,,,10,10,1.0,,,OP_center,idle,,,,,,
d_main_09_06_e_8,d_main_09_06_e,Speech,syuen_op,syuen_op,Locale_MainScenario:d_main_09_06_e_8,True,,,,,,,,,,,10,10,1.0,,,OP_center,idle,,,,,,
d_main_09_06_e_9,d_main_09_06_e,Choice,syuen_op,,Locale_MainScenario:d_main_09_06_e_9,False,,,,,,,,,,,10,10,1.0,,,OP_center,idle,,,,d_main_09_06_e_11,,
d_main_09_06_e_10,d_main_09_06_e,Choice,syuen_op,,Locale_MainScenario:d_main_09_06_e_10,False,,,,,,,,,,,10,10,1.0,,,OP_center,idle,,,,d_main_09_06_e_18,,
d_main_09_06_e_11,d_main_09_06_e,Speech,syuen_op,syuen_op,Locale_MainScenario:d_main_09_06_e_11,True,,,,,,,,,,,10,10,1.0,,,OP_center,surprise,,,,,,
d_main_09_06_e_12,d_main_09_06_e,Speech,syuen_op,syuen_op,Locale_MainScenario:d_main_09_06_e_12,True,,,,,,,,,,,10,10,1.0,,,OP_center,idle,,,,,,
d_main_09_06_e_13,d_main_09_06_e,Speech,syuen_op,syuen_op,Locale_MainScenario:d_main_09_06_e_13,True,,,,,,,,,,,10,10,1.0,,,OP_center,idle,,,,,,
d_main_09_06_e_14,d_main_09_06_e,Speech,syuen_op,syuen_op,Locale_MainScenario:d_main_09_06_e_14,True,,,,,,,,,,,10,10,1.0,,,OP_center,idle,,,,,,
d_main_09_06_e_15,d_main_09_06_e,Speech,syuen_op,syuen_op,Locale_MainScenario:d_main_09_06_e_15,True,,,,,,,,,,,10,10,1.0,,,OP_center,idle,,,,,,
d_main_09_06_e_16,d_main_09_06_e,Self,syuen_op,,Locale_MainScenario:d_main_09_06_e_16,False,,,,,,,,,,,10,10,1.0,,,OP_center,idle,,,,,,
d_main_09_06_e_17,d_main_09_06_e,Speech,syuen_op,syuen_op,Locale_MainScenario:d_main_09_06_e_17,False,,,,,,,,,,,10,10,1.0,,,OP_center,angry,,,,,,
d_main_09_06_e_18,d_main_09_06_e,Speech,syuen_op,syuen_op,Locale_MainScenario:d_main_09_06_e_18,True,,,,,,,,,,,10,10,1.0,,,OP_center,idle,,,,,,
d_main_09_06_e_19,d_main_09_06_e,Speech,syuen_op,syuen_op,Locale_MainScenario:d_main_09_06_e_19,True,anis,3,void,rapi,1,idle,neon,13,idle,,10,2,1.0,,,OP_leftup,idle,,,,,,
d_main_09_06_e_20,d_main_09_06_e,Speech,syuen_op,syuen_op,Locale_MainScenario:d_main_09_06_e_20,True,,3,angry,,1,idle,,13,idle,,2,2,1.0,,,OP_leftup,idle,,,,,,
