id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
d_main_25_03_s_1,d_main_25_03_s,Speech,anis,anis,Locale_MainScenario:d_main_25_03_s_1,True,dorothy,3,think,anis,1,idle,neon,13,idle,CityForest_01,2,2,1.0,bgm_chaser
d_main_25_03_s_2,d_main_25_03_s,Speech,dorothy,dorothy,Locale_MainScenario:d_main_25_03_s_2,True,,3,think,,1,idle,,13,idle,,2,2,1.0,
d_main_25_03_s_3,d_main_25_03_s,Speech,anis,anis,Locale_MainScenario:d_main_25_03_s_3,True,,3,think,,1,idle,,13,idle,,2,2,1.0,
d_main_25_03_s_4,d_main_25_03_s,Speech,dorothy,dorothy,Locale_MainScenario:d_main_25_03_s_4,True,,3,think,,1,idle,,13,idle,,2,2,1.0,
d_main_25_03_s_5,d_main_25_03_s,Speech,anis,anis,Locale_MainScenario:d_main_25_03_s_5,True,,3,think,,1,void,,13,idle,,2,2,1.0,
d_main_25_03_s_6,d_main_25_03_s,Speech,dorothy,dorothy,Locale_MainScenario:d_main_25_03_s_6,True,,3,think,,1,void,,13,idle,,2,2,1.0,
d_main_25_03_s_7,d_main_25_03_s,Speech,anis,anis,Locale_MainScenario:d_main_25_03_s_7,True,,3,think,,1,void,,13,idle,,2,2,1.0,
d_main_25_03_s_8,d_main_25_03_s,Speech,dorothy,dorothy,Locale_MainScenario:d_main_25_03_s_8,True,,3,idle,,1,void,,13,idle,,2,2,1.0,
d_main_25_03_s_9,d_main_25_03_s,Speech,anis,anis,Locale_MainScenario:d_main_25_03_s_9,True,,3,idle,,1,void,,13,idle,,2,2,1.0,
d_main_25_03_s_10,d_main_25_03_s,Speech,dorothy,dorothy,Locale_MainScenario:d_main_25_03_s_10,True,,3,idle,,1,void,,13,idle,,2,2,1.0,
d_main_25_03_s_11,d_main_25_03_s,Speech,dorothy,dorothy,Locale_MainScenario:d_main_25_03_s_11,True,,3,idle,,1,void,,13,idle,,2,2,1.0,
d_main_25_03_s_12,d_main_25_03_s,Speech,anis,anis,Locale_MainScenario:d_main_25_03_s_12,True,,3,idle,,1,void,,13,idle,,2,2,1.0,
d_main_25_03_s_13,d_main_25_03_s,Speech,dorothy,dorothy,Locale_MainScenario:d_main_25_03_s_13,True,,3,think,,1,void,,13,idle,,2,2,1.0,
d_main_25_03_s_14,d_main_25_03_s,Speech,anis,anis,Locale_MainScenario:d_main_25_03_s_14,True,,3,think,,1,void,,13,idle,,2,2,1.0,
d_main_25_03_s_15,d_main_25_03_s,Speech,anis,anis,Locale_MainScenario:d_main_25_03_s_15,True,,3,think,,1,void,,13,idle,,2,2,1.0,
d_main_25_03_s_16,d_main_25_03_s,Speech,dorothy,dorothy,Locale_MainScenario:d_main_25_03_s_16,True,,3,think,,1,void,,13,idle,,2,2,1.0,
