id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_ex_workshop_02_1,d_ex_workshop_02,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_02_1,True,Workshop,113,113,1.0,bgm_story_orangepop,,,centi,1,idle,liter,13,idle,,,,
d_ex_workshop_02_2,d_ex_workshop_02,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_02_2,True,,113,113,1.0,,,,,1,idle,,13,idle,,,,
d_ex_workshop_02_3,d_ex_workshop_02,Self,,,Locale_SuddenStory:d_ex_workshop_02_3,False,,113,113,1.0,,,,,1,idle,,13,idle,,,,
d_ex_workshop_02_4,d_ex_workshop_02,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_02_4,True,,113,113,1.0,,,,,1,idle,,13,idle,,,,
d_ex_workshop_02_5,d_ex_workshop_02,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_02_5,True,,113,113,1.0,,,,,1,idle,,13,idle,,,,
d_ex_workshop_02_6,d_ex_workshop_02,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_02_6,True,,113,113,1.0,,,,,1,delight,,13,idle,,,,
d_ex_workshop_02_7,d_ex_workshop_02,Narration,,,Locale_SuddenStory:d_ex_workshop_02_7,False,,113,113,1.0,,sfx_scn_toyshopbell,,,1,delight,,13,idle,,,,
d_ex_workshop_02_8,d_ex_workshop_02,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_02_8,True,,113,113,1.0,,,,,1,idle,,13,idle,,,,
d_ex_workshop_02_9,d_ex_workshop_02,Speech,poli,poli,Locale_SuddenStory:d_ex_workshop_02_9,True,,113,18,1.0,,,,,1,idle,,13,idle,poli,18,idle,
d_ex_workshop_02_10,d_ex_workshop_02,Speech,poli,poli,Locale_SuddenStory:d_ex_workshop_02_10,True,,18,18,1.0,,,,,1,idle,,13,idle,,18,idle,
d_ex_workshop_02_11,d_ex_workshop_02,Speech,poli,poli,Locale_SuddenStory:d_ex_workshop_02_11,True,,18,18,1.0,,,,,1,idle,,13,idle,,18,idle,
d_ex_workshop_02_12,d_ex_workshop_02,Self,,,Locale_SuddenStory:d_ex_workshop_02_12,False,,18,18,1.0,,,,,1,idle,,13,idle,,18,idle,
d_ex_workshop_02_13,d_ex_workshop_02,Speech,poli,poli,Locale_SuddenStory:d_ex_workshop_02_13,True,,18,18,1.0,,,,,1,idle,,13,idle,,18,idle,
d_ex_workshop_02_14,d_ex_workshop_02,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_02_14,True,,18,1315,1.0,,,,,1,idle,,13,idle,,18,idle,
d_ex_workshop_02_15,d_ex_workshop_02,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_02_15,True,,1315,1315,1.0,,,,,1,idle,,13,idle,,15,idle,
d_ex_workshop_02_16,d_ex_workshop_02,Speech,poli,poli,Locale_SuddenStory:d_ex_workshop_02_16,True,,1315,1315,1.0,,,,,1,idle,,13,idle,,15,sad,
d_ex_workshop_02_17,d_ex_workshop_02,Speech,poli,poli,Locale_SuddenStory:d_ex_workshop_02_17,True,,1315,1315,1.0,,,,,1,idle,,13,idle,,15,sad,
