id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_ex_maidcafe_09_1,d_ex_maidcafe_09,Narration,blanc,Locale_SuddenStory:d_ex_maidcafe_09_1,False,MaidCafe,black,black,1.0,sfx_scn_toyshopbell,bgm_story_girlstalk,,,blanc,4,idle,,noir,2,idle,,,,,
d_ex_maidcafe_09_2,d_ex_maidcafe_09,Monologue,blanc,Locale_SuddenStory:d_ex_maidcafe_09_2,False,,3,3,1.0,,,,,,4,idle,,,2,idle,,,,,
d_ex_maidcafe_09_3,d_ex_maidcafe_09,Monologue,blanc,Locale_SuddenStory:d_ex_maidcafe_09_3,False,,3,3,1.0,,,,,,4,idle,,,2,idle,,,,,
d_ex_maidcafe_09_4,d_ex_maidcafe_09,Monologue,blanc,Locale_SuddenStory:d_ex_maidcafe_09_4,False,,3,3,1.0,,,,,,4,idle,,,2,idle,,,,,
d_ex_maidcafe_09_5,d_ex_maidcafe_09,Speech,blanc,Locale_SuddenStory:d_ex_maidcafe_09_5,True,,3,3,1.0,,,blanc,,,4,delight,,,2,idle,,,,,
d_ex_maidcafe_09_6,d_ex_maidcafe_09,Speech,noir,Locale_SuddenStory:d_ex_maidcafe_09_6,True,,3,3,1.0,,,noir,,,4,delight,,,2,idle,,,,,
d_ex_maidcafe_09_7,d_ex_maidcafe_09,Monologue,noir,Locale_SuddenStory:d_ex_maidcafe_09_7,False,,3,3,1.0,,,,,,4,delight,,,2,idle,,,,,
d_ex_maidcafe_09_8,d_ex_maidcafe_09,Speech,soda_b,Locale_SuddenStory:d_ex_maidcafe_09_8,True,,3,1,1.0,,,soda_b,,,4,delight,,,2,idle,,soda_b,12,idle,
d_ex_maidcafe_09_9,d_ex_maidcafe_09,Speech,soda_b,Locale_SuddenStory:d_ex_maidcafe_09_9,True,,1,1,1.0,,,soda_b,,,4,delight,,,2,idle,,,12,idle,
d_ex_maidcafe_09_10,d_ex_maidcafe_09,Speech,blanc,Locale_SuddenStory:d_ex_maidcafe_09_10,True,,1,3,1.0,,,blanc,,,4,delight,,,2,idle,,,12,idle,
