id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/4/hide_char_id,play_sound
d_main_31_04_s_1,d_main_31_04_s,Speech,mana_op,mana_op,Locale_MainScenario:d_main_31_04_s_1,True,mana_op,OP_leftup,idle,shifty_r,OP_rightup,worry,rapi,13,idle,CrystalField_1,13,13,1.0,bgm_chapter31_field_beast,,,,,,,,,,,,,
d_main_31_04_s_2,d_main_31_04_s,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_31_04_s_2,True,,OP_leftup,idle,,OP_rightup,worry,,13,idle,,13,13,1.0,,,,,,,,,,,,,,
d_main_31_04_s_3,d_main_31_04_s,Speech,mana_op,mana_op,Locale_MainScenario:d_main_31_04_s_3,True,,OP_leftup,idle,,OP_rightup,worry,,13,idle,,13,13,1.0,,,,,,,,,,,,,,
d_main_31_04_s_4,d_main_31_04_s,Speech,mana_op,mana_op,Locale_MainScenario:d_main_31_04_s_4,True,,OP_leftup,idle,,OP_rightup,worry,,13,idle,,13,13,1.0,,,,,,,,,,,,,,
d_main_31_04_s_5,d_main_31_04_s,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_31_04_s_5,True,,OP_leftup,idle,,OP_rightup,surprise,,13,idle,,13,13,1.0,,,,,,,,,,,,,,
d_main_31_04_s_6,d_main_31_04_s,Speech,mana_op,mana_op,Locale_MainScenario:d_main_31_04_s_6,True,,OP_leftup,idle,,OP_rightup,surprise,,13,idle,,13,13,1.0,,,,,,,,,,,,,,
d_main_31_04_s_7,d_main_31_04_s,Speech,rapi,rapi,Locale_MainScenario:d_main_31_04_s_7,True,,OP_leftup,idle,,OP_rightup,surprise,,13,think,,13,130,1.0,,,,,,,,,,,,,,
d_main_31_04_s_8,d_main_31_04_s,Speech,mana_op,mana_op,Locale_MainScenario:d_main_31_04_s_8,True,,OP_leftup,idle,,OP_rightup,surprise,,13,think,,130,130,1.0,,,,,,,,,,,,,,
d_main_31_04_s_9,d_main_31_04_s,Speech,rapi,rapi,Locale_MainScenario:d_main_31_04_s_9,True,,OP_leftup,idle,,OP_rightup,surprise,,13,idle,,130,130,1.0,,,,,,,,,,,,,,
d_main_31_04_s_10,d_main_31_04_s,Speech,rapi,rapi,Locale_MainScenario:d_main_31_04_s_10,True,,OP_leftup,idle,,OP_rightup,surprise,,13,idle,,130,130,1.0,,,,,,,,,,,,,,
d_main_31_04_s_11,d_main_31_04_s,Speech,mana_op,mana_op,Locale_MainScenario:d_main_31_04_s_11,True,,OP_leftup,idle,,OP_rightup,surprise,,13,idle,,130,130,1.0,,,,,,,,,,,,,,
d_main_31_04_s_12,d_main_31_04_s,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_31_04_s_12,True,,OP_leftup,idle,,OP_rightup,angry,,13,idle,,130,130,1.0,,,,,,,,,,,,,,
d_main_31_04_s_13,d_main_31_04_s,Speech,vesti,vesti,Locale_MainScenario:d_main_31_04_s_13,True,,OP_leftup,idle,,OP_rightup,angry,,13,idle,,130,14,1.0,,mana_op,shifty_r,vesti,15,idle,eunhwa,17,idle,emma,19,idle,,
d_main_31_04_s_14,d_main_31_04_s,Speech,rapi,rapi,Locale_MainScenario:d_main_31_04_s_14,True,,,,,,,,13,idle,,14,14,1.0,,,,,15,idle,,17,idle,,19,idle,,
d_main_31_04_s_15,d_main_31_04_s,Speech,vesti,vesti,Locale_MainScenario:d_main_31_04_s_15,True,,,,,,,,13,idle,,14,14,1.0,,,,,15,idle,,17,idle,,19,idle,,
d_main_31_04_s_16,d_main_31_04_s,Speech,rapi,rapi,Locale_MainScenario:d_main_31_04_s_16,False,,,,,,,,13,think,,14,130,1.0,,,,,15,idle,,17,idle,,19,idle,,
d_main_31_04_s_17,d_main_31_04_s,Speech,rapi,rapi,Locale_MainScenario:d_main_31_04_s_17,True,,,,,,,,13,worry,,130,130,1.0,,,,,15,idle,,17,idle,,19,idle,,
d_main_31_04_s_18,d_main_31_04_s,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_31_04_s_18,True,,,,,,,,13,worry,,170,170,1.0,,,,,15,idle,,17,idle,,19,idle,,
d_main_31_04_s_19,d_main_31_04_s,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_31_04_s_19,True,anis,1,void,neon,3,idle,,13,worry,,170,170,1.0,,,,,15,idle,,17,idle,,19,idle,,
d_main_31_04_s_20,d_main_31_04_s,Speech,anis,anis,Locale_MainScenario:d_main_31_04_s_20,True,,1,void,,3,idle,,13,worry,,2,2,1.0,,,,,15,idle,,17,idle,,19,idle,,
d_main_31_04_s_21,d_main_31_04_s,Speech,neon,neon,Locale_MainScenario:d_main_31_04_s_21,True,,1,void,,3,surprise,,13,worry,,2,2,1.0,,,,,15,idle,,17,idle,,19,idle,,
d_main_31_04_s_22,d_main_31_04_s,Self,neon,,Locale_MainScenario:d_main_31_04_s_22,False,,1,void,,3,surprise,,13,worry,,2,2,1.0,,,,,15,idle,,17,idle,,19,idle,,
