id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
d_main_13_06_e_1,d_main_13_06_e,Speech,rapi,rapi,Locale_MainScenario:d_main_13_06_e_1,True,Desert_03,130,13,2.0,bgm_disaster,,,anis,1,void,rapi,13,think,neon,15,idle,,,,talkative,7,idle,,,,,
d_main_13_06_e_2,d_main_13_06_e,Speech,talkative,talkative,Locale_MainScenario:d_main_13_06_e_2,True,,7,7,2.0,,,,,1,void,,13,idle,,15,idle,,,,,7,idle,,,,,
d_main_13_06_e_3,d_main_13_06_e,Speech,talkative,talkative,Locale_MainScenario:d_main_13_06_e_3,True,,7,7,1.0,,,,,1,void,,13,idle,,15,idle,,,,,7,idle,,,,,
d_main_13_06_e_4,d_main_13_06_e,Speech,talkative,talkative,Locale_MainScenario:d_main_13_06_e_4,True,,7,S_70,0.5,,,,,1,void,,13,idle,,15,idle,,,,,7,idle,,,,,
d_main_13_06_e_5,d_main_13_06_e,Speech,talkative,talkative,Locale_MainScenario:d_main_13_06_e_5,True,,S_70,S_70,1.0,,,,,1,void,,13,idle,,15,idle,,,,,7,idle,,,,,
d_main_13_06_e_6,d_main_13_06_e,Speech,anis,anis,Locale_MainScenario:d_main_13_06_e_6,True,,10,10,1.0,,,,,1,delight,,13,idle,,15,idle,,,,,7,idle,,,,,
d_main_13_06_e_7,d_main_13_06_e,Speech,talkative,talkative,Locale_MainScenario:d_main_13_06_e_7,True,,S_70,XS_700,0.5,,,,,1,idle,,13,idle,,15,idle,,,,,7,idle,,,,,
d_main_13_06_e_8,d_main_13_06_e,Self,talkative,,Locale_MainScenario:d_main_13_06_e_8,True,,XS_700,XS_700,1.0,,,,,1,idle,,13,idle,,15,idle,,,,,7,idle,,,,,
d_main_13_06_e_9,d_main_13_06_e,Speech,talkative,talkative,Locale_MainScenario:d_main_13_06_e_9,True,,XS_700,S_70,1.0,,,,,1,idle,,13,idle,,15,idle,,,,,7,idle,,,,,
d_main_13_06_e_10,d_main_13_06_e,Self,talkative,,Locale_MainScenario:d_main_13_06_e_10,True,,S_70,S_70,1.0,,,,,1,idle,,13,idle,,15,idle,,,,,7,idle,,,,,
d_main_13_06_e_11,d_main_13_06_e,Narration,talkative,,Locale_MainScenario:d_main_13_06_e_11,True,,black,black,1.0,none,sfx_scn_snowwhiterifle,,,1,idle,,13,idle,,15,surprise,,,,,7,idle,,,,,
d_main_13_06_e_12,d_main_13_06_e,Monologue,talkative,,Locale_MainScenario:d_main_13_06_e_12,True,,S_70,7,1.0,bgm_spot_counterattack,,Low_2,,1,idle,,13,idle,,15,surprise,,,,,7,idle,,,,,
