id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,set_camera_shake,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,set_filter_01
d_main_29_08_s_1,d_main_29_08_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_08_s_1,True,shifty,OP_leftup,worry,neon,5,idle,anis,3,void,rapi,1,idle,elegg,13,think,CrystalField_1,2,2,1.0,bgm_chapter29_field_drifting,,,,,,,
d_main_29_08_s_2,d_main_29_08_s,Self,shifty,,Locale_MainScenario:d_main_29_08_s_2,False,,OP_leftup,worry,,5,idle,,3,void,,1,idle,,13,think,,2,2,1.0,,,,,,,,
d_main_29_08_s_3,d_main_29_08_s,Self,shifty,,Locale_MainScenario:d_main_29_08_s_3,False,,OP_leftup,worry,,5,idle,,3,void,,1,idle,,13,think,,2,2,1.0,,,,,,,,
d_main_29_08_s_4,d_main_29_08_s,Self,shifty,,Locale_MainScenario:d_main_29_08_s_4,False,,OP_leftup,worry,,5,idle,,3,void,,1,idle,,13,think,,2,2,1.0,,,,,,,,
d_main_29_08_s_5,d_main_29_08_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_08_s_5,True,,OP_leftup,think,,5,idle,,3,void,,1,idle,,13,think,,2,2,1.0,,,,,,,,
d_main_29_08_s_6,d_main_29_08_s,Speech,rapi,rapi,Locale_MainScenario:d_main_29_08_s_6,True,,OP_leftup,think,,5,idle,,3,void,,1,idle,,13,think,,2,2,1.0,,,,,,,,
d_main_29_08_s_7,d_main_29_08_s,Speech,anis,anis,Locale_MainScenario:d_main_29_08_s_7,True,,OP_leftup,think,,5,idle,,3,void,,1,idle,,13,think,,2,2,1.0,,shifty,,,,,,
d_main_29_08_s_8,d_main_29_08_s,Speech,neon,neon,Locale_MainScenario:d_main_29_08_s_8,True,,,,,5,idle,,3,void,,1,idle,,13,think,,2,4,1.0,,,,,,,,
d_main_29_08_s_9,d_main_29_08_s,Speech,rapi,rapi,Locale_MainScenario:d_main_29_08_s_9,True,,,,,5,idle,,3,void,,1,think,,13,think,,10,10,1.0,,,,,,,,
d_main_29_08_s_10,d_main_29_08_s,Speech,rapi,rapi,Locale_MainScenario:d_main_29_08_s_10,True,,,,,5,idle,,3,void,,1,think,,13,think,,10,10,1.0,,,,,,,,
d_main_29_08_s_11,d_main_29_08_s,Speech,anis,anis,Locale_MainScenario:d_main_29_08_s_11,True,,,,,5,idle,,3,worry,,1,think,,13,think,,10,30,1.0,,,,,,,,
d_main_29_08_s_12,d_main_29_08_s,Speech,anis,anis,Locale_MainScenario:d_main_29_08_s_12,True,,,,,5,idle,,3,worry,,1,think,,13,think,,30,30,1.0,,,,,,,,
d_main_29_08_s_13,d_main_29_08_s,Speech,neon,neon,Locale_MainScenario:d_main_29_08_s_13,True,,,,,5,surprise,,3,worry,,1,think,,13,think,,30,S_50,0.6,,,,,,,,
d_main_29_08_s_14,d_main_29_08_s,Speech,neon,neon,Locale_MainScenario:d_main_29_08_s_14,True,,,,,5,surprise,,3,worry,,1,think,,13,think,,S_50,S_50,1.0,,,,,,,,
d_main_29_08_s_15,d_main_29_08_s,Speech,anis,anis,Locale_MainScenario:d_main_29_08_s_15,True,,,,,5,surprise,,3,angry,,1,think,,13,think,,S_50,4,1.0,,,,,,,,
d_main_29_08_s_16,d_main_29_08_s,Speech,neon,neon,Locale_MainScenario:d_main_29_08_s_16,True,,,,,5,worry,,3,angry,,1,think,,13,think,,4,4,1.0,,,,,,,,
d_main_29_08_s_17,d_main_29_08_s,Speech,rapi,rapi,Locale_MainScenario:d_main_29_08_s_17,True,,,,,5,worry,,3,void,,1,think,,13,think,,4,10,1.0,,,,,,,,
d_main_29_08_s_18,d_main_29_08_s,Speech,rapi,rapi,Locale_MainScenario:d_main_29_08_s_18,True,,,,,5,worry,,3,void,,1,think,,13,think,,10,10,1.0,,,,,,,,
d_main_29_08_s_19,d_main_29_08_s,Speech,neon,neon,Locale_MainScenario:d_main_29_08_s_19,True,,,,,5,idle,,3,void,,1,think,,13,think,,S_50,S_50,1.0,,,,,,,,
d_main_29_08_s_20,d_main_29_08_s,Speech,rapi,rapi,Locale_MainScenario:d_main_29_08_s_20,True,,,,,5,idle,,3,void,,1,no,,13,think,,10,1,1.0,,,,,,,,
d_main_29_08_s_21,d_main_29_08_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_08_s_21,True,,,,,5,idle,,3,void,,1,idle,,13,think,,1,13,1.0,,,,,,,,
d_main_29_08_s_22,d_main_29_08_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_08_s_22,True,,,,,5,idle,,3,void,,1,idle,,13,think,,13,13,1.0,,,,,,,,
d_main_29_08_s_23,d_main_29_08_s,Self,elegg,,Locale_MainScenario:d_main_29_08_s_23,False,,,,,5,idle,,3,void,,1,idle,,13,think,,13,13,1.0,,,,,,,,
d_main_29_08_s_24,d_main_29_08_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_08_s_24,True,,,,,5,idle,,3,void,,1,idle,,13,surprise,,13,13,1.0,,,,,,,,
d_main_29_08_s_25,d_main_29_08_s,Self,elegg,,Locale_MainScenario:d_main_29_08_s_25,False,,,,,5,idle,,3,void,,1,idle,,13,surprise,,13,13,1.0,,,,,,,,
d_main_29_08_s_26,d_main_29_08_s,Self,elegg,,Locale_MainScenario:d_main_29_08_s_26,False,,,,,5,idle,,3,void,,1,idle,,13,surprise,,13,13,1.0,,,,,,,,
d_main_29_08_s_27,d_main_29_08_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_08_s_27,True,,,,,5,idle,,3,void,,1,idle,,13,surprise,,13,S_130,1.0,,,Low_2,,,,,
d_main_29_08_s_28,d_main_29_08_s,Self,elegg,,Locale_MainScenario:d_main_29_08_s_28,False,,,,,5,idle,,3,void,,1,idle,,13,surprise,,S_130,S_130,1.0,,,,,,,,
d_main_29_08_s_29,d_main_29_08_s,Self,elegg,,Locale_MainScenario:d_main_29_08_s_29,False,,,,,5,idle,,3,void,,1,idle,,13,surprise,,S_130,S_130,1.0,,,,,,,,
d_main_29_08_s_30,d_main_29_08_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_08_s_30,True,,,,,5,idle,,3,void,,1,idle,,13,special,,S_130,S_1300,0.7,,,Low_2,,,,,
d_main_29_08_s_31,d_main_29_08_s,Self,elegg,,Locale_MainScenario:d_main_29_08_s_31,False,,,,,5,idle,,3,void,,1,idle,,13,special,,S_1300,S_1300,1.0,,,,,,,,
d_main_29_08_s_32,d_main_29_08_s,Self,elegg,,Locale_MainScenario:d_main_29_08_s_32,False,,,,,5,idle,,3,void,,1,idle,,13,special,,S_1300,S_1300,1.0,,,,,,,,
d_main_29_08_s_33,d_main_29_08_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_08_s_33,True,,,,,5,idle,,3,void,,1,idle,,13,special,,S_1300,S_130,0.7,,,,,,,,
d_main_29_08_s_34,d_main_29_08_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_08_s_34,True,,,,,5,idle,,3,void,,1,idle,,13,special,,S_130,S_130,1.0,,,,,,,,
d_main_29_08_s_35,d_main_29_08_s,Self,elegg,,Locale_MainScenario:d_main_29_08_s_35,False,,,,,5,idle,,3,void,,1,idle,,13,special,,S_130,S_130,1.0,,,,,,,,
d_main_29_08_s_36,d_main_29_08_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_08_s_36,True,,,,,5,idle,,3,void,,1,idle,,13,special,,S_130,S_130,1.0,,,,,,,,
d_main_29_08_s_37,d_main_29_08_s,Self,elegg,,Locale_MainScenario:d_main_29_08_s_37,False,,,,,5,idle,,3,void,,1,idle,,13,special,,S_130,S_130,1.0,,,,,,,,
d_main_29_08_s_38,d_main_29_08_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_08_s_38,True,,,,,5,idle,,3,void,,1,idle,,13,special,,S_130,S_1300,0.7,,,Low_2,,,,,
