id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,jump_target,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_gym_10_1,d_ex_gym_10,Speech,mana,mana,Locale_SuddenStory:d_ex_gym_10_1,True,Gym,10,10,1.0,bgm_story_cottoncandy,,,,mana,1,idle,,,,
d_ex_gym_10_2,d_ex_gym_10,Self,mana,,Locale_SuddenStory:d_ex_gym_10_2,False,,10,10,1.0,,,,,,1,idle,,,,
d_ex_gym_10_3,d_ex_gym_10,Narration,mana,,Locale_SuddenStory:d_ex_gym_10_3,False,,10,10,1.0,,sfx_scn_autodooropen,,,,1,idle,,,,
d_ex_gym_10_4,d_ex_gym_10,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_10_4,True,,10,L_30,1.0,,,,,,1,idle,rumani,3,idle,
d_ex_gym_10_5,d_ex_gym_10,Self,rumani,,Locale_SuddenStory:d_ex_gym_10_5,False,,L_30,L_30,1.0,,,,,,1,idle,,3,idle,
d_ex_gym_10_6,d_ex_gym_10,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_10_6,True,,L_30,L_30,1.0,,,,,,1,idle,,3,idle,
d_ex_gym_10_7,d_ex_gym_10,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_10_7,True,,L_30,L_30,1.0,,,,,,1,idle,,3,idle,
d_ex_gym_10_8,d_ex_gym_10,Choice,rumani,,Locale_SuddenStory:d_ex_gym_10_8,False,,L_30,L_30,1.0,,,d_ex_gym_10_10,,,1,idle,,3,idle,
d_ex_gym_10_9,d_ex_gym_10,Choice,rumani,,Locale_SuddenStory:d_ex_gym_10_9,False,,L_30,L_30,1.0,,,d_ex_gym_10_12,,,1,idle,,3,idle,
d_ex_gym_10_10,d_ex_gym_10,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_10_10,True,,L_30,L_30,1.0,,,,,,1,idle,,3,idle,
d_ex_gym_10_11,d_ex_gym_10,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_10_11,True,,L_30,L_30,1.0,,,d_ex_gym_10_14,,,1,idle,,3,delight,
d_ex_gym_10_12,d_ex_gym_10,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_10_12,True,,L_30,L_30,1.0,,,,,,1,idle,,3,idle,
d_ex_gym_10_13,d_ex_gym_10,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_10_13,True,,L_30,L_30,1.0,,,d_ex_gym_10_14,,,1,idle,,3,delight,
d_ex_gym_10_14,d_ex_gym_10,Self,rumani,,Locale_SuddenStory:d_ex_gym_10_14,False,,L_30,L_30,1.0,,,,,,1,idle,,3,delight,
d_ex_gym_10_15,d_ex_gym_10,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_10_15,True,,L_30,2,1.0,,,,,,1,idle,,3,idle,
d_ex_gym_10_16,d_ex_gym_10,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_10_16,True,,2,2,1.0,,,,,,1,idle,,3,idle,
d_ex_gym_10_17,d_ex_gym_10,Speech,mana,mana,Locale_SuddenStory:d_ex_gym_10_17,True,,2,2,1.0,,,,,,1,idle,,3,idle,
d_ex_gym_10_18,d_ex_gym_10,Speech,mana,mana,Locale_SuddenStory:d_ex_gym_10_18,True,,2,2,1.0,,,,,,1,idle,,3,idle,
d_ex_gym_10_19,d_ex_gym_10,Speech,mana,mana,Locale_SuddenStory:d_ex_gym_10_19,True,,2,2,1.0,,,,,,1,idle,,3,idle,
d_ex_gym_10_20,d_ex_gym_10,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_10_20,True,,2,2,1.0,,,,,,1,idle,,3,idle,
d_ex_gym_10_21,d_ex_gym_10,Speech,mana,mana,Locale_SuddenStory:d_ex_gym_10_21,True,,2,2,1.0,,,,,,1,idle,,3,idle,
d_ex_gym_10_22,d_ex_gym_10,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_10_22,True,,2,2,1.0,,,,,,1,idle,,3,idle,
d_ex_gym_10_23,d_ex_gym_10,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_10_23,True,,2,2,1.0,,,,,,1,idle,,3,delight,
d_ex_gym_10_24,d_ex_gym_10,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_10_24,True,,2,2,1.0,,,,,,1,idle,,3,delight,
d_ex_gym_10_25,d_ex_gym_10,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_10_25,True,,2,2,1.0,,,,,,1,idle,,3,delight,
d_ex_gym_10_26,d_ex_gym_10,Self,rumani,,Locale_SuddenStory:d_ex_gym_10_26,False,,2,2,1.0,,,,,,1,idle,,3,delight,
d_ex_gym_10_27,d_ex_gym_10,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_10_27,True,,2,2,1.0,,,,,,1,idle,,3,idle,
d_ex_gym_10_28,d_ex_gym_10,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_10_28,True,,2,2,1.0,,,,,,1,idle,,3,idle,
d_ex_gym_10_29,d_ex_gym_10,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_10_29,True,,2,2,1.0,,,,,,1,idle,,3,idle,
d_ex_gym_10_30,d_ex_gym_10,Speech,mana,mana,Locale_SuddenStory:d_ex_gym_10_30,True,,2,2,1.0,,,,,,1,idle,,3,idle,
d_ex_gym_10_31,d_ex_gym_10,Speech,mana,mana,Locale_SuddenStory:d_ex_gym_10_31,True,,2,2,1.0,,,,,,1,idle,,3,idle,
d_ex_gym_10_32,d_ex_gym_10,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_10_32,True,,2,2,1.0,,,,,,1,idle,,3,idle,
d_ex_gym_10_33,d_ex_gym_10,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_10_33,True,,2,2,1.0,,,,,,1,idle,,3,idle,
d_ex_gym_10_34,d_ex_gym_10,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_10_34,True,,2,L_30,1.0,,,,,,1,idle,,3,idle,
