id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/0/stop_effect_id
d_main_18_01_1,d_main_18_01,Narration,Locale_MainScenario:d_main_18_01_1,False,Office,black,black,1.0,sfx_scn_siren,bgm_story_callingsignal,,,,,,,,,,,,,,,syuen,1,think,,,,,,,,,,,,,,,,
d_main_18_01_2,d_main_18_01,Speech,Locale_MainScenario:d_main_18_01_2,True,,black,black,1.0,,,announcement_op,announcement_op,,,,,,,,,,,,,,1,think,,,,,,,,,,,,,,,,
d_main_18_01_3,d_main_18_01,Speech,Locale_MainScenario:d_main_18_01_3,True,,black,black,1.0,,,announcement_op,announcement_op,,,,,,,,,,,,,,1,think,,,,,,,,,,,,,,,,
d_main_18_01_4,d_main_18_01,Speech,Locale_MainScenario:d_main_18_01_4,True,,black,black,1.0,,,announcement_op,announcement_op,,,,,,,,,,,,,,1,think,,,,,,,,,,,,,,,,
d_main_18_01_5,d_main_18_01,Speech,Locale_MainScenario:d_main_18_01_5,True,,3,1,2.0,,,announcement_op,announcement_op,,,,,,,,,,,,,,1,think,,,,,,,,,,,,,,,,
d_main_18_01_6,d_main_18_01,Speech,Locale_MainScenario:d_main_18_01_6,False,,1,S_10,1.0,,,syuen,syuen,,,,,,,,,,,,,,1,think,,,,,,,,,,,,,,,,
d_main_18_01_7,d_main_18_01,Speech,Locale_MainScenario:d_main_18_01_7,True,,S_10,S_130,1.0,,,rian,rian,,,,,,,,,,,,,,1,think,,rian,13,idle,,,,,,,,,,,,
d_main_18_01_8,d_main_18_01,Speech,Locale_MainScenario:d_main_18_01_8,True,,S_130,S_130,1.0,,,rian,rian,,,,,,,,,,,,,,1,think,,,13,idle,,,,,,,,,,,,
d_main_18_01_9,d_main_18_01,Speech,Locale_MainScenario:d_main_18_01_9,False,,S_130,S_10,1.0,,,syuen,syuen,,,,,,,,,,,,,,1,think,,,13,idle,,,,,,,,,,,,
d_main_18_01_10,d_main_18_01,Speech,Locale_MainScenario:d_main_18_01_10,True,,S_10,S_10,1.0,,,rian,rian,,,,,,,,,,,,,,1,think,,,13,idle,,,,,,,,,,,,
d_main_18_01_11,d_main_18_01,Speech,Locale_MainScenario:d_main_18_01_11,True,,S_10,S_10,1.0,,,tvvoice_op,tvvoice_op,,,,,,,,,,,,,,1,think,,,13,idle,,,,,,,,,,,,
d_main_18_01_12,d_main_18_01,Narration,Locale_MainScenario:d_main_18_01_12,True,,S_10,S_10,1.0,,,,,,,,,,,,,,,,,,1,think,,,13,idle,,,,,,,,,,,,
d_main_18_01_13,d_main_18_01,Speech,Locale_MainScenario:d_main_18_01_13,True,,S_10,S_10,1.0,,,tvvoice_op,tvvoice_op,,,,,,,,,,,,,,1,think,,,13,idle,,,,,,,,,,,,
d_main_18_01_14,d_main_18_01,Speech,Locale_MainScenario:d_main_18_01_14,True,,S_10,S_10,1.0,,,tvvoice_op,tvvoice_op,,,,,,,,,,,,,,1,think,,,13,idle,,,,,,,,,,,,
d_main_18_01_15,d_main_18_01,Speech,Locale_MainScenario:d_main_18_01_15,True,,S_10,S_10,1.0,,,tvvoice_op,tvvoice_op,,,,,,,,,,,,,,1,think,,,13,idle,,,,,,,,,,,,
d_main_18_01_16,d_main_18_01,Speech,Locale_MainScenario:d_main_18_01_16,True,,S_10,S_10,1.0,,,tvvoice_op,tvvoice_op,,,,,,,,,,,,,,1,think,,,13,idle,,,,,,,,,,,,
d_main_18_01_17,d_main_18_01,Speech,Locale_MainScenario:d_main_18_01_17,True,,S_10,S_130,1.0,,,rian,rian,,,,,,,,,,,,,,1,think,,,13,special,,,,,,,,,,,,
d_main_18_01_18,d_main_18_01,Speech,Locale_MainScenario:d_main_18_01_18,True,,S_130,12,1.0,,,syuen,syuen,,,,,,,,,,,,,,1,angry,,,13,idle,,,,,,,,,,,,
d_main_18_01_19,d_main_18_01,Speech,Locale_MainScenario:d_main_18_01_19,True,,12,12,1.0,,,rian,rian,,,,,,,,,,,,,,1,angry,,,13,delight,,,,,,,,,,,,
d_main_18_01_20,d_main_18_01,Speech,Locale_MainScenario:d_main_18_01_20,True,,12,12,1.0,,,syuen,syuen,,,,,,,,,,,,,,1,angry,,,13,idle,,,,,,,,,,,,
d_main_18_01_21,d_main_18_01,Speech,Locale_MainScenario:d_main_18_01_21,True,,12,12,1.0,,,rian,rian,,,,,,,,,,,,,,1,angry,,,13,idle,,,,,,,,,,,,
d_main_18_01_22,d_main_18_01,Speech,Locale_MainScenario:d_main_18_01_22,True,,12,12,1.0,,,rian,rian,,,,,,,,,,,,,,1,angry,,,13,idle,,,,,,,,,,,,
d_main_18_01_23,d_main_18_01,Speech,Locale_MainScenario:d_main_18_01_23,True,,12,12,1.0,,,syuen,syuen,,,,,,,,,,,,,,1,angry,,,13,idle,,,,,,,,,,,,
d_main_18_01_24,d_main_18_01,Speech,Locale_MainScenario:d_main_18_01_24,True,,12,12,1.0,,,rian,rian,,,,,,,,,,,,,,1,angry,,,13,idle,,,,,,,,,,,,
d_main_18_01_25,d_main_18_01,Speech,Locale_MainScenario:d_main_18_01_25,True,,12,12,1.0,,,syuen,syuen,,,,,,,,,,,,,,1,angry,,,13,idle,,,,,,,,,,,,
d_main_18_01_26,d_main_18_01,Speech,Locale_MainScenario:d_main_18_01_26,True,,12,12,1.0,,,rian,rian,,,,,,,,,,,,,,1,angry,,,13,idle,,,,,,,,,,,,
d_main_18_01_27,d_main_18_01,Speech,Locale_MainScenario:d_main_18_01_27,True,,12,S_10,0.5,,,syuen,syuen,,,,,,,,,,,,,,1,angry,,,13,idle,,,,,,,,,,,,
d_main_18_01_28,d_main_18_01,Speech,Locale_MainScenario:d_main_18_01_28,True,,S_130,S_130,1.0,,,rian,rian,,,,,,,,,,,,,,1,angry,,,13,special,,,,,,,,,,,,
d_main_18_01_29,d_main_18_01,Speech,Locale_MainScenario:d_main_18_01_29,True,,S_10,S_10,1.0,,,syuen,syuen,,,,,,,,,,,,,,1,angry,,,13,idle,,,,,,,,,,,,
d_main_18_01_30,d_main_18_01,Speech,Locale_MainScenario:d_main_18_01_30,True,,S_10,S_10,1.0,,,syuen,syuen,,,,,,,,,,,,,,1,angry,,,13,idle,,,,,,,,,,,,
