id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_main_05_05_1,d_main_05_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_05_1,True,IceLand_01,10,10,1.0,bgm_story_inwonderland,,alice,3,idle,ludmilla,1,idle
d_main_05_05_2,d_main_05_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_05_2,True,,10,100,1.0,,,,3,idle,,1,idle
d_main_05_05_3,d_main_05_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_05_3,True,,100,31,1.0,,,,3,idle,,1,idle
d_main_05_05_4,d_main_05_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_05_4,True,,31,31,1.0,,,,3,idle,,1,idle
d_main_05_05_5,d_main_05_05,Self,ludmilla,Self,Locale_MainScenario:d_main_05_05_5,False,,31,31,1.0,,,,3,idle,,1,idle
d_main_05_05_6,d_main_05_05,Speech,alice,alice,Locale_MainScenario:d_main_05_05_6,True,,31,S_30,1.0,,,,3,idle,,1,idle
d_main_05_05_7,d_main_05_05,Speech,alice,alice,Locale_MainScenario:d_main_05_05_7,True,,S_30,S_30,1.0,,,,3,idle,,1,idle
d_main_05_05_8,d_main_05_05,Speech,alice,alice,Locale_MainScenario:d_main_05_05_8,True,,S_30,S_30,1.0,,,,3,delight,,1,idle
d_main_05_05_9,d_main_05_05,Speech,alice,alice,Locale_MainScenario:d_main_05_05_9,True,,S_30,S_300,0.5,,,,3,delight,,1,idle
d_main_05_05_10,d_main_05_05,Self,alice,Self,Locale_MainScenario:d_main_05_05_10,False,,S_300,S_300,1.0,,,,3,delight,,1,idle
d_main_05_05_11,d_main_05_05,Speech,alice,alice,Locale_MainScenario:d_main_05_05_11,True,,S_300,S_30,1.0,,,,3,idle,,1,idle
d_main_05_05_12,d_main_05_05,Choice,alice,,Locale_MainScenario:d_main_05_05_12,True,,S_30,S_30,1.0,,d_main_05_05_14,,3,idle,,1,idle
d_main_05_05_13,d_main_05_05,Choice,alice,,Locale_MainScenario:d_main_05_05_13,True,,S_30,S_30,1.0,,d_main_05_05_17,,3,idle,,1,idle
d_main_05_05_14,d_main_05_05,Monologue,alice,,Locale_MainScenario:d_main_05_05_14,True,,S_30,10,1.0,,,,3,idle,,1,idle
d_main_05_05_15,d_main_05_05,Monologue,alice,,Locale_MainScenario:d_main_05_05_15,False,,10,10,1.0,,,,3,idle,,1,idle
d_main_05_05_16,d_main_05_05,Self,alice,Self,Locale_MainScenario:d_main_05_05_16,True,,10,S_30,1.0,,,,3,idle,,1,idle
d_main_05_05_17,d_main_05_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_05_17,True,,S_30,S_30,1.0,,,,3,idle,,1,idle
d_main_05_05_18,d_main_05_05,Speech,alice,alice,Locale_MainScenario:d_main_05_05_18,False,,S_30,S_300,0.5,,,,3,surprise,,1,idle
d_main_05_05_19,d_main_05_05,Speech,alice,alice,Locale_MainScenario:d_main_05_05_19,True,,S_300,S_30,1.0,,,,3,surprise,,1,idle
d_main_05_05_20,d_main_05_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_05_20,True,,S_30,31,1.0,,,,3,surprise,,1,idle
d_main_05_05_21,d_main_05_05,Speech,alice,alice,Locale_MainScenario:d_main_05_05_21,True,,31,31,1.0,,,,3,surprise,,1,idle
d_main_05_05_22,d_main_05_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_05_22,True,,31,31,1.0,,,,3,surprise,,1,idle
d_main_05_05_23,d_main_05_05,Speech,alice,alice,Locale_MainScenario:d_main_05_05_23,True,,31,31,1.0,,,,3,delight,,1,idle
d_main_05_05_24,d_main_05_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_05_24,True,,31,10,1.0,,,,3,delight,,1,idle
d_main_05_05_25,d_main_05_05,Self,ludmilla,Self,Locale_MainScenario:d_main_05_05_25,True,,10,10,1.0,,,,3,delight,,1,idle
d_main_05_05_26,d_main_05_05,Speech,alice,alice,Locale_MainScenario:d_main_05_05_26,True,,S_30,S_300,1.0,,,,3,surprise,,1,idle
d_main_05_05_27,d_main_05_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_05_27,True,,S_300,31,1.0,,,,3,surprise,,1,idle
d_main_05_05_28,d_main_05_05,Speech,alice,alice,Locale_MainScenario:d_main_05_05_28,True,,31,31,1.0,,,,3,surprise,,1,idle
d_main_05_05_29,d_main_05_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_05_29,True,,31,31,1.0,,,,3,surprise,,1,idle
d_main_05_05_30,d_main_05_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_05_30,True,,31,10,1.0,,,,3,idle,,1,idle
d_main_05_05_31,d_main_05_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_05_31,True,,10,10,1.0,,,,3,idle,,1,idle
d_main_05_05_32,d_main_05_05,Self,ludmilla,Self,Locale_MainScenario:d_main_05_05_32,True,,10,10,1.0,,,,3,idle,,1,idle
d_main_05_05_33,d_main_05_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_05_33,True,,10,10,1.0,,,,3,idle,,1,idle
d_main_05_05_34,d_main_05_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_05_34,True,,10,31,1.0,,,,3,idle,,1,idle
d_main_05_05_35,d_main_05_05,Speech,alice,alice,Locale_MainScenario:d_main_05_05_35,True,,31,31,1.0,,,,3,delight,,1,idle
d_main_05_05_36,d_main_05_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_05_36,True,,31,31,1.0,,,,3,delight,,1,idle
d_main_05_05_37,d_main_05_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_05_37,True,,31,31,1.0,,,,3,delight,,1,idle
