id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/hide_char_id
d_main_38_04_1,d_main_38_04,Self,rapi_red,Locale_MainScenario:d_main_38_04_1,False,rapi_red,1,idle,SilverSea,5,5,1.0,bgm_chapter38_field_goldentree,,
d_main_38_04_2,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_2,True,,1,idle,,5,1,1.0,,rapi_red,
d_main_38_04_3,d_main_38_04,Self,rapi_red,Locale_MainScenario:d_main_38_04_3,False,,1,idle,,1,1,1.0,,,
d_main_38_04_4,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_4,True,,1,idle,,1,1,1.0,,rapi_red,
d_main_38_04_5,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_5,True,,1,idle,,1,1,1.0,,rapi_red,
d_main_38_04_6,d_main_38_04,Self,rapi_red,Locale_MainScenario:d_main_38_04_6,False,,1,idle,,1,1,1.0,,,
d_main_38_04_7,d_main_38_04,Self,rapi_red,Locale_MainScenario:d_main_38_04_7,False,,1,idle,,1,1,1.0,,,
d_main_38_04_8,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_8,True,,1,idle,,1,1,1.0,,rapi_red,
d_main_38_04_9,d_main_38_04,Self,rapi_red,Locale_MainScenario:d_main_38_04_9,False,,1,idle,,1,1,1.0,,,
d_main_38_04_10,d_main_38_04,Self,rapi_red,Locale_MainScenario:d_main_38_04_10,False,,1,idle,,1,1,1.0,,,
d_main_38_04_11,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_11,False,,1,think,,1,10,1.5,,rapi_red,
d_main_38_04_12,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_12,False,,1,think,,10,10,1.0,,rapi_red,
d_main_38_04_13,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_13,True,,1,think,,10,10,1.0,,rapi_red,
d_main_38_04_14,d_main_38_04,Self,rapi_red,Locale_MainScenario:d_main_38_04_14,False,,1,think,,10,10,1.0,,,
