id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_main_16_04_1,d_main_16_04,Speech,anis,anis,Locale_MainScenario:d_main_16_04_1,True,IceLand_01,3,3,1.0,bgm_secondhand_a,,,,,,,,,anis,3,worry,jackal,12,idle,,viper,14,idle,crow,16,idle
d_main_16_04_2,d_main_16_04,Speech,anis,anis,Locale_MainScenario:d_main_16_04_2,True,,3,3,1.0,,,,,,,,,,,3,worry,,12,idle,,,14,idle,,16,idle
d_main_16_04_3,d_main_16_04,Speech,jackal,jackal,Locale_MainScenario:d_main_16_04_3,True,,3,12,1.0,,,,,,,,,,,3,worry,,12,idle,,,14,idle,,16,idle
d_main_16_04_4,d_main_16_04,Speech,jackal,jackal,Locale_MainScenario:d_main_16_04_4,True,,12,1,1.0,,,,,,,,,,,3,worry,,1,idle,,,14,idle,,16,idle
d_main_16_04_5,d_main_16_04,Narration,,Narration,Locale_MainScenario:d_main_16_04_5,False,,black,black,0.5,,sfx_scn_icesplit,,,,,,,,,3,worry,,1,idle,,,14,idle,,16,idle
d_main_16_04_6,d_main_16_04,Narration,,Narration,Locale_MainScenario:d_main_16_04_6,False,,black,black,1.0,,sfx_scn_icecrack,,,,,,,,,3,worry,,1,idle,,,14,idle,,16,idle
d_main_16_04_7,d_main_16_04,Speech,jackal,jackal,Locale_MainScenario:d_main_16_04_7,True,,1,1,1.0,,,,,,,,,,,3,worry,,1,no,,,14,idle,,16,idle
d_main_16_04_8,d_main_16_04,Narration,,Narration,Locale_MainScenario:d_main_16_04_8,False,,1,6001,0.3,none,sfx_scn_waterdive,Low_2,,,,,,,,3,worry,,1,no,jackal,,14,idle,,16,idle
d_main_16_04_9,d_main_16_04,Speech,jackal,jackal,Locale_MainScenario:d_main_16_04_9,True,,6001,6001,1.0,bgm_story_herecomestrouble,,Low_2,,,,,,,,3,worry,,,,,,14,idle,,16,idle
d_main_16_04_10,d_main_16_04,Speech,anis,anis,Locale_MainScenario:d_main_16_04_10,True,,30,30,1.0,,,,,,,,,,,3,worry,,,,,,14,idle,,16,idle
d_main_16_04_11,d_main_16_04,Narration,,Narration,Locale_MainScenario:d_main_16_04_11,False,,black,black,1.0,,,,rapi,6,idle,neon,4,idle,,2,worry,jackal,12,no,,,14,idle,,16,idle
d_main_16_04_12,d_main_16_04,Speech,anis,anis,Locale_MainScenario:d_main_16_04_12,True,,1,1,1.0,,,,,6,idle,,4,idle,,2,idle,,12,no,,,14,idle,,16,idle
d_main_16_04_13,d_main_16_04,Speech,jackal,jackal,Locale_MainScenario:d_main_16_04_13,True,,1,S_120,2.0,,,,,6,idle,,4,idle,,2,idle,,12,shy_01,,,14,idle,,16,idle
d_main_16_04_14,d_main_16_04,Speech,neon,neon,Locale_MainScenario:d_main_16_04_14,True,,S_40,S_40,1.0,,,,,6,idle,,4,surprise,,2,idle,,12,shy_01,,,14,idle,,16,idle
d_main_16_04_15,d_main_16_04,Self,jackal,Self,Locale_MainScenario:d_main_16_04_15,False,,S_40,S_120,1.0,,,,,6,idle,,4,surprise,,2,idle,,12,shy_01,,,14,idle,,16,idle
d_main_16_04_16,d_main_16_04,Speech,jackal,jackal,Locale_MainScenario:d_main_16_04_16,True,,S_120,S_1200,1.0,,,,,6,idle,,4,idle,,2,idle,,12,no,,,14,idle,,16,idle
d_main_16_04_17,d_main_16_04,Self,jackal,Self,Locale_MainScenario:d_main_16_04_17,False,,S_1200,S_1200,1.0,,,,,6,idle,,4,idle,,2,idle,,12,no,,,14,idle,,16,idle
