id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,characters/5/hide_char_id,characters/9/hide_char_id,characters/6/hide_char_id,characters/4/hide_char_id,characters/7/hide_char_id,set_camera_shake
d_main_11_01_1,d_main_11_01,Speech,laplace,laplace,Locale_MainScenario:d_main_11_01_1,False,laplace,3,think,drake,13,no,maxwell,1,sad,eunhwa,9,angry,rapi,7,idle,vesti,19,shy,neon,17,no,emma,15,angry,anis,5,no,Desert_02_n,S_30,S_30,1.0,bgm_blurredvision,,,,,,,,,
d_main_11_01_2,d_main_11_01,Speech,drake,drake,Locale_MainScenario:d_main_11_01_2,False,,3,think,,13,no,,1,sad,,9,angry,,7,idle,,19,shy,,17,no,,15,angry,,5,no,,130,130,1.0,,,,,,,,,,
d_main_11_01_3,d_main_11_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_01_3,False,,3,think,,13,no,,1,sad,,9,angry,,7,idle,,19,shy,,17,no,,15,angry,,5,no,,10,10,1.0,,,,,,,,,,
d_main_11_01_4,d_main_11_01,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_11_01_4,False,,3,think,,13,no,,1,sad,,9,angry,,7,idle,,19,shy,,17,no,,15,angry,,5,no,,90,90,1.0,,,,,,,,,,
d_main_11_01_5,d_main_11_01,Speech,rapi,rapi,Locale_MainScenario:d_main_11_01_5,False,,3,think,,13,no,,1,sad,,9,angry,,7,idle,,19,shy,,17,no,,15,angry,,5,no,,70,70,1.0,,,,,,,,,,
d_main_11_01_6,d_main_11_01,Speech,vesti,vesti,Locale_MainScenario:d_main_11_01_6,False,,3,think,,13,no,,1,sad,,9,angry,,7,idle,,19,shy,,17,no,,15,angry,,5,no,,XS_190,XS_190,1.0,,,,,,,,,,
d_main_11_01_7,d_main_11_01,Speech,neon,neon,Locale_MainScenario:d_main_11_01_7,False,,3,think,,13,no,,1,sad,,9,angry,,7,idle,,19,shy,,17,no,,15,angry,,5,no,,S_170,S_170,1.0,,,,,,,,,,
d_main_11_01_8,d_main_11_01,Speech,emma,emma,Locale_MainScenario:d_main_11_01_8,False,,3,think,,13,no,,1,sad,,9,angry,,7,idle,,19,shy,,17,no,,15,angry,,5,no,,150,150,1.0,,,,,,,,,,
d_main_11_01_9,d_main_11_01,Speech,anis,anis,Locale_MainScenario:d_main_11_01_9,False,,3,think,,13,no,,1,sad,,9,angry,,7,idle,,19,shy,,17,no,,15,angry,,5,no,,50,50,1.0,,,,,,,,,,
d_main_11_01_10,d_main_11_01,Speech,shifty,shifty,Locale_MainScenario:d_main_11_01_10,False,,3,think,,13,no,,1,sad,,9,angry,,7,idle,,19,shy,,17,no,,15,angry,,5,no,,50,50,1.0,,shifty,OP_leftup,think,,,,,,
d_main_11_01_11,d_main_11_01,Self,,Self,Locale_MainScenario:d_main_11_01_11,False,,3,idle,,13,no,,1,sad,,9,angry,,7,idle,,19,shy,,17,no,,15,angry,,5,no,,50,50,1.0,,,OP_leftup,think,vesti,,,,,
d_main_11_01_12,d_main_11_01,Speech,anis,anis,Locale_MainScenario:d_main_11_01_12,True,,3,idle,,13,no,,1,sad,,9,angry,,7,idle,,,,,17,no,,15,angry,,5,no,,50,50,1.0,,,OP_leftup,think,,shifty,,,,
d_main_11_01_13,d_main_11_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_01_13,True,,3,idle,,13,no,,1,idle,,9,idle,,7,idle,,,,,17,no,,15,angry,,5,no,,50,2,1.0,,,,,,,neon,,,
d_main_11_01_14,d_main_11_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_01_14,True,,3,idle,,13,no,,1,idle,,9,idle,,7,idle,,,,,,,,15,angry,,5,void,,2,2,1.0,,,,,,,,,,
d_main_11_01_15,d_main_11_01,Speech,laplace,laplace,Locale_MainScenario:d_main_11_01_15,True,,3,idle,,13,no,,1,idle,,9,idle,,7,idle,,,,,,,,15,angry,,5,void,,2,2,1.0,,,,,,,,rapi,,
d_main_11_01_16,d_main_11_01,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_11_01_16,True,,3,idle,,13,no,,1,idle,,9,idle,,,,,,,,,,,15,angry,,5,void,,90,90,1.0,,,,,,,,,emma,
d_main_11_01_17,d_main_11_01,Speech,laplace,laplace,Locale_MainScenario:d_main_11_01_17,True,,3,idle,,13,no,,1,idle,,9,idle,,,,,,,,,,,,,,5,void,,2,2,1.0,,,,,,,,,,
d_main_11_01_18,d_main_11_01,Speech,laplace,laplace,Locale_MainScenario:d_main_11_01_18,True,,3,idle,,13,no,,1,idle,,9,idle,,,,,,,,,,,,,,5,void,,2,2,1.0,,,,,,,,,,
d_main_11_01_19,d_main_11_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_01_19,True,,3,idle,,13,no,,1,idle,,9,idle,,,,,,,,,,,,,,5,void,,2,2,1.0,,,,,,,,,,
d_main_11_01_20,d_main_11_01,Speech,anis,anis,Locale_MainScenario:d_main_11_01_20,True,,3,idle,,13,no,,1,idle,,9,idle,,,,,,,,,,,,,,5,void,,2,4,1.0,,,,,,,,,,
