id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_main_27_06_1,d_main_27_06,Speech,elegg,elegg,Locale_MainScenario:d_main_27_06_1,True,E2Crystal,black,black,1.0,bgm_aztec,,,,,,,,,,,,,,,,
d_main_27_06_2,d_main_27_06,Speech,elegg,elegg,Locale_MainScenario:d_main_27_06_2,True,,1,100,1.0,,,,,,,,,,,,,,,,,
d_main_27_06_3,d_main_27_06,Speech,elegg,elegg,Locale_MainScenario:d_main_27_06_3,True,,100,100,1.0,,,,,,,,,,,,,,,,,
d_main_27_06_4,d_main_27_06,Speech,elegg,elegg,Locale_MainScenario:d_main_27_06_4,True,,100,100,1.0,,,,,,,,,,,,,,,,,
d_main_27_06_5,d_main_27_06,Speech,elegg,elegg,Locale_MainScenario:d_main_27_06_5,True,,100,100,1.0,,,,,,,,,,,,,,,,,
d_main_27_06_6,d_main_27_06,Speech,elegg,elegg,Locale_MainScenario:d_main_27_06_6,True,,100,100,1.0,,,,,,,,,,,,,,,,,
d_main_27_06_7,d_main_27_06,Speech,elegg,elegg,Locale_MainScenario:d_main_27_06_7,True,,100,100,1.0,,,,,,,,,,,,,,,,,
d_main_27_06_8,d_main_27_06,Speech,rapi,rapi,Locale_MainScenario:d_main_27_06_8,True,,100,100,1.0,,,,,,,,,,,,,,,,,
d_main_27_06_9,d_main_27_06,Speech,elegg,elegg,Locale_MainScenario:d_main_27_06_9,True,,100,1,1.0,,,,,,,,,,,,,,,,,
d_main_27_06_10,d_main_27_06,Speech,elegg,elegg,Locale_MainScenario:d_main_27_06_10,True,,1,1,1.0,,,,,,,,,,,,,,,,,
d_main_27_06_11,d_main_27_06,Speech,elegg,elegg,Locale_MainScenario:d_main_27_06_11,True,,1,1,1.0,,,,,,,,,,,,,,,,,
d_main_27_06_12,d_main_27_06,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_06_12,True,,1,1,1.0,,,,,,,,,,,,,,,,,
d_main_27_06_13,d_main_27_06,Speech,elegg,elegg,Locale_MainScenario:d_main_27_06_13,True,,1,10,1.0,,,,,,,,,,,,,,,,,
d_main_27_06_14,d_main_27_06,Self,,,Locale_MainScenario:d_main_27_06_14,False,,10,10,1.0,,,,,,,,,,,,,,,,,
d_main_27_06_15,d_main_27_06,Monologue,,,Locale_MainScenario:d_main_27_06_15,False,ManyCrystalDesert_d,black,black,1.0,,elegg,1,idle,rapi,13,idle,liveryn,3,idle,neon,15,idle,,,,
d_main_27_06_16,d_main_27_06,Speech,elegg,elegg,Locale_MainScenario:d_main_27_06_16,True,,S_10,S_10,1.0,,,1,idle,,13,idle,,3,idle,,15,idle,,,,
