id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade
d_main_39_09_1,d_main_39_09,Speech,laplace_p,laplace_p,Locale_MainScenario:d_main_39_09_1,False,laplace_p,5,pain_02,drake_p,3,pain,nayuta_n,1,idle,maxwell_p,13,worry,rapi_red,15,idle,WhaleyBack,53,53,1.0,bgm_chapter39_field_gliding_a,
d_main_39_09_2,d_main_39_09,Speech,drake_p,drake_p,Locale_MainScenario:d_main_39_09_2,False,,5,pain_02,,3,pain,,1,idle,,13,worry,,15,idle,,53,53,1.0,,
d_main_39_09_3,d_main_39_09,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_09_3,True,,5,pain_02,,3,pain,,1,idle,,13,worry,,15,idle,,L_130,L_130,1.0,,
d_main_39_09_4,d_main_39_09,Speech,laplace_p,laplace_p,Locale_MainScenario:d_main_39_09_4,True,,5,pain_02,,3,pain,,1,idle,,13,worry,,15,idle,,53,53,1.0,,
d_main_39_09_5,d_main_39_09,Speech,drake_p,drake_p,Locale_MainScenario:d_main_39_09_5,True,,5,pain_02,,3,pain,,1,idle,,13,worry,,15,idle,,53,53,1.0,,
d_main_39_09_6,d_main_39_09,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_09_6,True,,5,pain_02,,3,pain,,1,idle,,13,no,,15,idle,,L_130,L_130,1.0,,
d_main_39_09_7,d_main_39_09,Speech,laplace_p,laplace_p,Locale_MainScenario:d_main_39_09_7,True,,5,angry_02,,3,pain,,1,idle,,13,no,,15,idle,,S_50,S_500,0.7,,
d_main_39_09_8,d_main_39_09,Speech,laplace_p,laplace_p,Locale_MainScenario:d_main_39_09_8,True,,5,angry_02,,3,pain,,1,idle,,13,no,,15,idle,,S_500,S_500,1.0,,
d_main_39_09_9,d_main_39_09,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_09_9,True,,5,angry_02,,3,pain,,1,idle,,13,no,,15,idle,,L_1300,L_1300,1.0,,
d_main_39_09_10,d_main_39_09,Speech,drake_p,drake_p,Locale_MainScenario:d_main_39_09_10,True,,5,angry_02,,3,angry,,1,idle,,13,no,,15,idle,,L_300,L_300,1.0,,
d_main_39_09_11,d_main_39_09,Speech,drake_p,drake_p,Locale_MainScenario:d_main_39_09_11,True,,5,angry_02,,3,angry,,1,idle,,13,no,,15,idle,,L_300,L_300,1.0,,
d_main_39_09_12,d_main_39_09,Speech,drake_p,drake_p,Locale_MainScenario:d_main_39_09_12,True,,5,angry_02,,3,angry,,1,idle,,13,no,,15,idle,,L_300,L_300,1.0,,
d_main_39_09_13,d_main_39_09,Speech,drake_p,drake_p,Locale_MainScenario:d_main_39_09_13,True,,5,angry_02,,3,angry,,1,idle,,13,no,,15,idle,,L_300,L_30,0.5,,
