id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake
d_main_05_01_1,d_main_05_01,Speech,shifty,shifty,Locale_MainScenario:d_main_05_01_1,True,anis,7,idle,neon,5,idle,rapi,1,idle,shifty,OP_leftup,idle,IceLand_01,1,1,1.0,bgm_secondhand,
d_main_05_01_2,d_main_05_01,Speech,neon,neon,Locale_MainScenario:d_main_05_01_2,True,,7,idle,,5,idle,,1,idle,,OP_leftup,idle,,1,5,1.0,,
d_main_05_01_3,d_main_05_01,Speech,anis,anis,Locale_MainScenario:d_main_05_01_3,True,,7,idle,,5,idle,,1,idle,,OP_leftup,idle,,5,7,1.0,,
d_main_05_01_4,d_main_05_01,Speech,neon,neon,Locale_MainScenario:d_main_05_01_4,True,,7,idle,,5,idle,,1,idle,,OP_leftup,idle,,7,5,1.0,,
d_main_05_01_5,d_main_05_01,Speech,anis,anis,Locale_MainScenario:d_main_05_01_5,True,,7,idle,,5,idle,,1,idle,,OP_leftup,idle,,5,7,1.0,,
d_main_05_01_6,d_main_05_01,Speech,anis,anis,Locale_MainScenario:d_main_05_01_6,True,,7,idle,,5,idle,,1,idle,,OP_leftup,idle,,7,7,1.0,,
d_main_05_01_7,d_main_05_01,Speech,anis,anis,Locale_MainScenario:d_main_05_01_7,True,,7,idle,,5,idle,,1,idle,,OP_leftup,idle,,7,5,1.0,,
d_main_05_01_8,d_main_05_01,Speech,neon,neon,Locale_MainScenario:d_main_05_01_8,True,,7,idle,,5,idle,,1,idle,,OP_leftup,idle,,5,S_50,0.5,,
d_main_05_01_9,d_main_05_01,Speech,anis,anis,Locale_MainScenario:d_main_05_01_9,True,,7,delight,,5,delight,,1,idle,,OP_leftup,idle,,70,700,0.5,,
d_main_05_01_10,d_main_05_01,Speech,neon,neon,Locale_MainScenario:d_main_05_01_10,True,,7,delight,,5,delight,,1,idle,,OP_leftup,idle,,S_50,S_500,0.5,,
d_main_05_01_11,d_main_05_01,Speech,rapi,rapi,Locale_MainScenario:d_main_05_01_11,False,,7,delight,,5,idle,,1,idle,,OP_leftup,idle,,1,1,1.0,,
d_main_05_01_12,d_main_05_01,Speech,shifty,shifty,Locale_MainScenario:d_main_05_01_12,True,,7,idle,,5,idle,,1,idle,,OP_leftup,no,,1,1,1.0,,
d_main_05_01_13,d_main_05_01,Speech,rapi,rapi,Locale_MainScenario:d_main_05_01_13,True,,7,idle,,5,idle,,1,idle,,OP_leftup,no,,1,1,1.0,,
d_main_05_01_14,d_main_05_01,Speech,shifty,shifty,Locale_MainScenario:d_main_05_01_14,True,,7,idle,,5,idle,,1,idle,,OP_leftup,idle,,1,1,1.0,,
d_main_05_01_15,d_main_05_01,Speech,shifty,shifty,Locale_MainScenario:d_main_05_01_15,True,,7,idle,,5,idle,,1,idle,,OP_leftup,idle,,1,10,1.0,,
d_main_05_01_16,d_main_05_01,Speech,shifty,shifty,Locale_MainScenario:d_main_05_01_16,True,,7,idle,,5,idle,,1,idle,,OP_leftup,idle,,10,10,1.0,,
d_main_05_01_17,d_main_05_01,Speech,shifty,shifty,Locale_MainScenario:d_main_05_01_17,True,,7,idle,,5,idle,,1,idle,,OP_leftup,idle,,10,10,1.0,,
d_main_05_01_18,d_main_05_01,Speech,shifty,shifty,Locale_MainScenario:d_main_05_01_18,True,,7,idle,,5,idle,,1,idle,,OP_leftup,idle,,10,10,1.0,,
d_main_05_01_19,d_main_05_01,Speech,shifty,shifty,Locale_MainScenario:d_main_05_01_19,True,,7,idle,,5,idle,,1,idle,,OP_leftup,idle,,10,10,1.0,,
d_main_05_01_20,d_main_05_01,Self,shifty,Self,Locale_MainScenario:d_main_05_01_20,True,,7,idle,,5,idle,,1,idle,,OP_leftup,idle,,10,1,1.0,,
d_main_05_01_21,d_main_05_01,Speech,shifty,shifty,Locale_MainScenario:d_main_05_01_21,True,,7,idle,,5,idle,,1,idle,,OP_leftup,pain,,1,1,1.0,,
d_main_05_01_22,d_main_05_01,Speech,rapi,rapi,Locale_MainScenario:d_main_05_01_22,True,,7,idle,,5,idle,,1,idle,,OP_leftup,pain,,1,1,1.0,,
d_main_05_01_23,d_main_05_01,Speech,shifty,shifty,Locale_MainScenario:d_main_05_01_23,True,,7,idle,,5,idle,,1,idle,,OP_leftup,no,,1,1,1.0,,
d_main_05_01_24,d_main_05_01,Self,shifty,Self,Locale_MainScenario:d_main_05_01_24,False,,7,idle,,5,idle,,1,idle,,OP_leftup,no,,1,1,1.0,,
d_main_05_01_25,d_main_05_01,Speech,rapi,rapi,Locale_MainScenario:d_main_05_01_25,True,,7,idle,,5,idle,,1,idle,,OP_leftup,no,,1,1,1.0,,
d_main_05_01_26,d_main_05_01,Speech,rapi,rapi,Locale_MainScenario:d_main_05_01_26,True,,7,idle,,5,idle,,1,idle,,OP_leftup,idle,,1,10,1.0,,
d_main_05_01_27,d_main_05_01,Narration,rapi,Narration,Locale_MainScenario:d_main_05_01_27,True,,7,idle,,5,idle,,1,idle,,OP_leftup,idle,,10,100,0.5,,Low_2
d_main_05_01_28,d_main_05_01,Speech,rapi,rapi,Locale_MainScenario:d_main_05_01_28,False,,7,idle,,5,idle,,1,idle,,OP_leftup,idle,,100,100,1.0,,
d_main_05_01_29,d_main_05_01,Speech,anis,anis,Locale_MainScenario:d_main_05_01_29,True,,7,idle,,5,idle,,1,idle,,OP_leftup,idle,,100,100,1.0,,
d_main_05_01_30,d_main_05_01,Speech,neon,neon,Locale_MainScenario:d_main_05_01_30,True,,7,idle,,5,idle,,1,idle,,OP_leftup,idle,,100,100,1.0,,
d_main_05_01_31,d_main_05_01,Speech,anis,anis,Locale_MainScenario:d_main_05_01_31,True,,7,idle,,5,idle,,1,idle,,OP_leftup,idle,,100,100,1.0,,
d_main_05_01_32,d_main_05_01,Speech,rapi,rapi,Locale_MainScenario:d_main_05_01_32,True,,7,idle,,5,idle,,1,idle,,OP_leftup,idle,,100,10,1.0,,
d_main_05_01_33,d_main_05_01,Self,rapi,Self,Locale_MainScenario:d_main_05_01_33,True,,7,idle,,5,idle,,1,idle,,OP_leftup,idle,,10,10,1.0,,
d_main_05_01_34,d_main_05_01,Speech,rapi,rapi,Locale_MainScenario:d_main_05_01_34,False,,7,idle,,5,idle,,1,idle,,OP_leftup,idle,,10,10,1.0,,
