id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_main_11_05_1,d_main_11_05,Speech,laplace,laplace,Locale_MainScenario:d_main_11_05_1,True,Desert_01,3,3,1.0,bgm_emergency,maxwell,1,idle,,laplace,3,angry,,drake,13,idle,rapi,5,idle,,,,
d_main_11_05_2,d_main_11_05,Speech,laplace,laplace,Locale_MainScenario:d_main_11_05_2,True,,3,3,1.0,,,1,idle,,,3,angry,,,13,idle,,5,idle,,,,
d_main_11_05_3,d_main_11_05,Speech,rapi,rapi,Locale_MainScenario:d_main_11_05_3,True,,3,5,1.0,,,1,idle,,,3,angry,,,13,idle,,5,idle,shifty,OP_leftup,idle,
d_main_11_05_4,d_main_11_05,Speech,shifty,shifty,Locale_MainScenario:d_main_11_05_4,True,,5,5,1.0,,,1,idle,,,3,angry,,,13,idle,,5,idle,,OP_leftup,idle,
d_main_11_05_5,d_main_11_05,Speech,shifty,shifty,Locale_MainScenario:d_main_11_05_5,True,,5,5,1.0,,,1,idle,,,3,angry,,,13,idle,,5,idle,,OP_leftup,think,
d_main_11_05_6,d_main_11_05,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_05_6,True,,1,1,1.0,,,1,idle,,,3,angry,,,13,idle,,5,idle,,OP_leftup,think,
d_main_11_05_7,d_main_11_05,Speech,rapi,rapi,Locale_MainScenario:d_main_11_05_7,True,,5,5,1.0,,,1,idle,,,3,angry,,,13,idle,,5,idle,,OP_leftup,think,
d_main_11_05_8,d_main_11_05,Speech,rapi,rapi,Locale_MainScenario:d_main_11_05_8,True,,5,5,1.0,,,1,idle,,,3,angry,,,13,idle,,5,idle,,OP_leftup,think,
d_main_11_05_9,d_main_11_05,Speech,laplace,laplace,Locale_MainScenario:d_main_11_05_9,True,,3,S_30,0.6,,,1,idle,,,3,angry,,,13,idle,,5,idle,,OP_leftup,think,
d_main_11_05_10,d_main_11_05,Speech,drake,drake,Locale_MainScenario:d_main_11_05_10,True,,13,130,0.6,,,1,idle,,,3,angry,,,13,delight,,5,idle,,OP_leftup,think,
d_main_11_05_11,d_main_11_05,Speech,laplace,laplace,Locale_MainScenario:d_main_11_05_11,True,,S_30,S_30,1.0,,,1,idle,,,3,think,,,13,delight,,5,idle,,OP_leftup,think,
d_main_11_05_12,d_main_11_05,Speech,drake,drake,Locale_MainScenario:d_main_11_05_12,True,,130,13,1.0,,,1,idle,,,3,think,,,13,no,,5,idle,,OP_leftup,think,
d_main_11_05_13,d_main_11_05,Speech,rapi,rapi,Locale_MainScenario:d_main_11_05_13,True,,5,5,1.0,,,1,idle,,,3,idle,,,13,no,,5,idle,,OP_leftup,think,
d_main_11_05_14,d_main_11_05,Speech,shifty,shifty,Locale_MainScenario:d_main_11_05_14,True,,5,5,1.0,,,1,idle,,,3,idle,,,13,no,,5,idle,,OP_leftup,idle,
d_main_11_05_15,d_main_11_05,Speech,shifty,shifty,Locale_MainScenario:d_main_11_05_15,True,,5,5,1.0,,,1,idle,,,3,idle,,,13,no,,5,idle,,OP_leftup,idle,
d_main_11_05_16,d_main_11_05,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_05_16,True,,5,1,1.0,,,1,sad,,,3,idle,,,13,no,,5,idle,,OP_leftup,idle,
d_main_11_05_17,d_main_11_05,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_05_17,True,,1,1,1.0,,,1,sad,,,3,idle,,,13,no,,5,idle,,OP_leftup,idle,
d_main_11_05_18,d_main_11_05,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_05_18,True,,1,10,1.0,,,1,idle,,,3,idle,,,13,no,,5,idle,,OP_leftup,idle,shifty
