id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker
d_main_36_04_1,d_main_36_04,Narration,ingrid,Locale_MainScenario:d_main_36_04_1,False,ingrid,3,idle,neon,1,idle,anis,13,idle,Office,black,black,1.0,bgm_story_fairytalesend_if,
d_main_36_04_2,d_main_36_04,Speech,ingrid,Locale_MainScenario:d_main_36_04_2,True,,3,idle,,1,idle,,13,idle,,L_300,L_30,1.3,,ingrid
d_main_36_04_3,d_main_36_04,Speech,ingrid,Locale_MainScenario:d_main_36_04_3,True,,3,idle,,1,idle,,13,idle,,L_30,L_30,1.0,,ingrid
d_main_36_04_4,d_main_36_04,Speech,ingrid,Locale_MainScenario:d_main_36_04_4,True,,3,think,,1,idle,,13,idle,,L_30,L_30,1.0,,ingrid
d_main_36_04_5,d_main_36_04,Speech,ingrid,Locale_MainScenario:d_main_36_04_5,True,,3,think,,1,idle,,13,idle,,L_30,L_30,1.0,,ingrid
d_main_36_04_6,d_main_36_04,Speech,ingrid,Locale_MainScenario:d_main_36_04_6,True,,3,think,,1,idle,,13,idle,,L_30,L_30,1.0,,ingrid
d_main_36_04_7,d_main_36_04,Speech,anis,Locale_MainScenario:d_main_36_04_7,True,,3,think,,1,idle,,13,worry,,130,130,1.0,,anis
d_main_36_04_8,d_main_36_04,Speech,ingrid,Locale_MainScenario:d_main_36_04_8,True,,3,idle,,1,idle,,13,worry,,L_30,L_30,1.0,,ingrid
d_main_36_04_9,d_main_36_04,Speech,ingrid,Locale_MainScenario:d_main_36_04_9,True,,3,idle,,1,idle,,13,worry,,L_30,L_30,1.0,,ingrid
d_main_36_04_10,d_main_36_04,Speech,ingrid,Locale_MainScenario:d_main_36_04_10,True,,3,idle,,1,idle,,13,worry,,L_30,L_30,1.0,,ingrid
d_main_36_04_11,d_main_36_04,Speech,anis,Locale_MainScenario:d_main_36_04_11,True,,3,idle,,1,idle,,13,worry,,130,130,1.0,,anis
d_main_36_04_12,d_main_36_04,Speech,neon,Locale_MainScenario:d_main_36_04_12,True,,3,idle,,1,idle,,13,worry,,130,2,1.75,,neon
d_main_36_04_13,d_main_36_04,Speech,neon,Locale_MainScenario:d_main_36_04_13,True,,3,idle,,1,idle,,13,worry,,2,2,1.0,,neon
d_main_36_04_14,d_main_36_04,Speech,neon,Locale_MainScenario:d_main_36_04_14,True,,3,idle,,1,idle,,13,worry,,2,2,1.0,,neon
d_main_36_04_15,d_main_36_04,Speech,neon,Locale_MainScenario:d_main_36_04_15,True,,3,idle,,1,idle,,13,worry,,2,2,1.0,,neon
d_main_36_04_16,d_main_36_04,Speech,neon,Locale_MainScenario:d_main_36_04_16,True,,3,idle,,1,idle,,13,worry,,2,2,1.0,,neon
d_main_36_04_17,d_main_36_04,Speech,ingrid,Locale_MainScenario:d_main_36_04_17,True,,3,idle,,1,idle,,13,worry,,2,2,1.0,,ingrid
d_main_36_04_18,d_main_36_04,Speech,neon,Locale_MainScenario:d_main_36_04_18,True,,3,idle,,1,idle,,13,worry,,2,2,1.0,,neon
d_main_36_04_19,d_main_36_04,Speech,ingrid,Locale_MainScenario:d_main_36_04_19,True,,3,idle,,1,idle,,13,worry,,2,2,1.0,,ingrid
d_main_36_04_20,d_main_36_04,Speech,neon,Locale_MainScenario:d_main_36_04_20,True,,3,idle,,1,worry,,13,worry,,2,2,1.0,,neon
d_main_36_04_21,d_main_36_04,Speech,ingrid,Locale_MainScenario:d_main_36_04_21,True,,3,idle,,1,worry,,13,worry,,2,2,1.0,,ingrid
d_main_36_04_22,d_main_36_04,Speech,neon,Locale_MainScenario:d_main_36_04_22,True,,3,idle,,1,idle,,13,worry,,2,2,1.0,,neon
d_main_36_04_23,d_main_36_04,Speech,ingrid,Locale_MainScenario:d_main_36_04_23,True,,3,idle,,1,idle,,13,worry,,2,2,1.0,,ingrid
d_main_36_04_24,d_main_36_04,Speech,neon,Locale_MainScenario:d_main_36_04_24,True,,3,idle,,1,idle,,13,worry,,2,2,1.0,,neon
d_main_36_04_25,d_main_36_04,Speech,ingrid,Locale_MainScenario:d_main_36_04_25,True,,3,think,,1,idle,,13,worry,,2,L_30,1.5,,ingrid
d_main_36_04_26,d_main_36_04,Speech,ingrid,Locale_MainScenario:d_main_36_04_26,False,,3,think,,1,idle,,13,worry,,L_30,L_30,1.0,,ingrid
d_main_36_04_27,d_main_36_04,Speech,ingrid,Locale_MainScenario:d_main_36_04_27,True,,3,idle,,1,idle,,13,worry,,L_30,L_30,1.0,,ingrid
d_main_36_04_28,d_main_36_04,Speech,neon,Locale_MainScenario:d_main_36_04_28,True,,3,idle,,1,surprise,,13,worry,,12,12,1.0,,neon
d_main_36_04_29,d_main_36_04,Speech,anis,Locale_MainScenario:d_main_36_04_29,True,,3,idle,,1,surprise,,13,idle,,12,12,1.0,,anis
d_main_36_04_30,d_main_36_04,Speech,ingrid,Locale_MainScenario:d_main_36_04_30,True,,3,idle,,1,surprise,,13,idle,,L_30,L_30,1.0,,ingrid
d_main_36_04_31,d_main_36_04,Speech,ingrid,Locale_MainScenario:d_main_36_04_31,True,,3,idle,,1,idle,,13,idle,,L_30,L_300,1.0,none,ingrid
d_main_36_04_32,d_main_36_04,Narration,ingrid,Locale_MainScenario:d_main_36_04_32,False,,3,idle,,1,idle,,13,void,,L_300,L_300,1.3,,
d_main_36_04_33,d_main_36_04,Speech,ingrid,Locale_MainScenario:d_main_36_04_33,False,,3,think,,1,idle,,13,void,,L_300,L_30,1.3,,ingrid
d_main_36_04_34,d_main_36_04,Speech,ingrid,Locale_MainScenario:d_main_36_04_34,True,,3,idle,,1,idle,,13,void,,L_30,L_30,1.0,,ingrid
d_main_36_04_35,d_main_36_04,Speech,neon,Locale_MainScenario:d_main_36_04_35,True,,3,idle,,1,idle,,13,void,,L_30,2,1.3,,neon
d_main_36_04_36,d_main_36_04,Speech,ingrid,Locale_MainScenario:d_main_36_04_36,True,,3,idle,,1,idle,,13,void,,2,2,1.0,,ingrid
d_main_36_04_37,d_main_36_04,Speech,ingrid,Locale_MainScenario:d_main_36_04_37,True,,3,idle,,1,idle,,13,void,,2,2,1.0,,ingrid
d_main_36_04_38,d_main_36_04,Speech,anis,Locale_MainScenario:d_main_36_04_38,True,,3,idle,,1,idle,,13,angry,,130,130,1.0,,anis
