id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,fade
d_main_21af_01_1,d_main_21af_01,Speech,dorothy,dorothy,Locale_MainScenario:d_main_21af_01_1,True,anis,7,void,neon,5,idle,rapi,3,idle,dorothy,13,idle,papillon,15,idle,EdenLobby,1315,1315,1.0,bgm_story_destinedtofight,,,,
d_main_21af_01_2,d_main_21af_01,Speech,dorothy,dorothy,Locale_MainScenario:d_main_21af_01_2,True,,7,void,,5,idle,,3,idle,,13,idle,,15,idle,,1315,1315,1.0,,,,,
d_main_21af_01_3,d_main_21af_01,Self,dorothy,Self,Locale_MainScenario:d_main_21af_01_3,False,,7,void,,5,idle,,3,idle,,13,idle,,15,idle,,1315,1315,1.0,,,,,
d_main_21af_01_4,d_main_21af_01,Speech,papillon,papillon,Locale_MainScenario:d_main_21af_01_4,True,,7,void,,5,idle,,3,idle,,13,idle,,15,idle,,1315,1315,1.0,,,,,
d_main_21af_01_5,d_main_21af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_21af_01_5,False,,7,void,,5,idle,,3,angry,,13,idle,,15,idle,,1315,3,1.0,,,,,
d_main_21af_01_6,d_main_21af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_21af_01_6,True,,7,void,,5,idle,,3,angry,,13,idle,,15,idle,,3,30,1.0,,,,,
d_main_21af_01_7,d_main_21af_01,Speech,dorothy,dorothy,Locale_MainScenario:d_main_21af_01_7,True,,7,void,,5,idle,,3,angry,,13,idle,,15,idle,,130,130,1.0,,,,,
d_main_21af_01_8,d_main_21af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_21af_01_8,True,,7,void,,5,idle,,3,angry,,13,idle,,15,idle,,30,30,1.0,,,,,
d_main_21af_01_9,d_main_21af_01,Speech,dorothy,dorothy,Locale_MainScenario:d_main_21af_01_9,True,,7,void,,5,idle,,3,angry,,13,idle,,15,idle,,130,130,1.0,,,,,
d_main_21af_01_10,d_main_21af_01,Speech,dorothy,dorothy,Locale_MainScenario:d_main_21af_01_10,True,,7,void,,5,idle,,3,angry,,13,idle,,15,idle,,130,1300,2.0,,,,,
d_main_21af_01_11,d_main_21af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_21af_01_11,True,,7,void,,5,idle,,3,angry,,13,idle,,15,idle,,30,30,1.0,,,,,
d_main_21af_01_12,d_main_21af_01,Speech,dorothy,dorothy,Locale_MainScenario:d_main_21af_01_12,True,,7,void,,5,idle,,3,angry,,13,idle,,15,idle,,130,130,1.0,,,,,
d_main_21af_01_13,d_main_21af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_21af_01_13,True,,7,void,,5,idle,,3,idle,,13,idle,,15,idle,,30,30,1.0,,,,,
d_main_21af_01_14,d_main_21af_01,Speech,papillon,papillon,Locale_MainScenario:d_main_21af_01_14,True,,7,void,,5,idle,,3,idle,,13,idle,,15,idle,,30,15,1.0,,,,,
d_main_21af_01_15,d_main_21af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_21af_01_15,True,,7,void,,5,idle,,3,idle,,13,idle,,15,idle,,15,15,1.0,,,,,
d_main_21af_01_16,d_main_21af_01,Speech,papillon,papillon,Locale_MainScenario:d_main_21af_01_16,False,,7,void,,5,idle,,3,idle,,13,idle,,15,think,,15,S_150,2.0,,,,,
d_main_21af_01_17,d_main_21af_01,Speech,papillon,papillon,Locale_MainScenario:d_main_21af_01_17,True,,7,void,,5,idle,,3,idle,,13,idle,,15,delight,,S_150,S_1500,2.0,,,,,
d_main_21af_01_18,d_main_21af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_21af_01_18,True,,7,void,,5,idle,,3,idle,,13,idle,,15,delight,,30,30,1.0,,,,,
d_main_21af_01_19,d_main_21af_01,Speech,anis,anis,Locale_MainScenario:d_main_21af_01_19,True,,7,angry,,5,idle,,3,idle,,13,idle,,15,idle,,70,70,1.0,,,,,
d_main_21af_01_20,d_main_21af_01,Speech,dorothy,dorothy,Locale_MainScenario:d_main_21af_01_20,True,,7,angry,,5,idle,,3,idle,,13,idle,,15,idle,,130,130,1.0,,,,,
d_main_21af_01_21,d_main_21af_01,Speech,neon,neon,Locale_MainScenario:d_main_21af_01_21,False,,7,angry,,5,idle,,3,idle,,13,idle,,15,idle,,S_50,S_50,1.0,,,,,
d_main_21af_01_22,d_main_21af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_21af_01_22,True,,7,void,,5,idle,,3,idle,,13,idle,,15,idle,,3,3,1.0,,,,,
d_main_21af_01_23,d_main_21af_01,Self,rapi,Self,Locale_MainScenario:d_main_21af_01_23,False,,7,void,,5,idle,,3,idle,,13,idle,,15,idle,,3,3,1.0,,,,,
d_main_21af_01_24,d_main_21af_01,Monologue,rapi,Monologue,Locale_MainScenario:d_main_21af_01_24,False,,7,void,,5,idle,,3,idle,,13,idle,,15,idle,,3,300,2.0,,,,,
d_main_21af_01_25,d_main_21af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_21af_01_25,True,,7,void,,5,idle,,3,angry,,13,idle,,15,idle,,300,300,1.0,,,,,
d_main_21af_01_26,d_main_21af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_21af_01_26,True,,7,void,,5,idle,,3,angry,,13,idle,,15,idle,,300,300,1.0,,,,,
d_main_21af_01_27,d_main_21af_01,Self,rapi,Self,Locale_MainScenario:d_main_21af_01_27,False,,7,void,,5,idle,,3,angry,,13,idle,,15,idle,,300,300,1.0,,,,,
d_main_21af_01_28,d_main_21af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_21af_01_28,True,,7,void,,5,idle,,3,angry,,13,idle,,15,idle,,300,300,1.0,,,,,
d_main_21af_01_29,d_main_21af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_21af_01_29,True,,7,void,,5,idle,,3,angry,,13,idle,,15,idle,,300,300,1.0,,,,,
d_main_21af_01_30,d_main_21af_01,Self,rapi,Self,Locale_MainScenario:d_main_21af_01_30,False,,7,void,,5,idle,,3,angry,,13,idle,,15,idle,,300,300,1.0,,,,,
d_main_21af_01_31,d_main_21af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_21af_01_31,True,,7,void,,5,idle,,3,angry,,13,idle,,15,idle,,300,300,1.0,,,,,
d_main_21af_01_32,d_main_21af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_21af_01_32,True,,7,void,,5,idle,,3,idle,,13,idle,,15,idle,,300,300,1.0,,,,,
d_main_21af_01_33,d_main_21af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_21af_01_33,True,,7,void,,5,idle,,3,idle,,13,idle,,15,idle,,300,300,1.0,,,,,
d_main_21af_01_34,d_main_21af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_21af_01_34,True,,7,void,,5,idle,,3,idle,,13,idle,,15,idle,,300,300,1.0,,,,,
d_main_21af_01_35,d_main_21af_01,Self,rapi,Self,Locale_MainScenario:d_main_21af_01_35,False,,7,void,,5,idle,,3,idle,,13,idle,,15,idle,,300,300,1.0,,,,,
d_main_21af_01_36,d_main_21af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_21af_01_36,True,,7,void,,5,idle,,3,idle,,13,idle,,15,idle,,300,300,1.0,,,,,
d_main_21af_01_37,d_main_21af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_21af_01_37,True,,7,void,,5,idle,,3,idle,,13,idle,,15,idle,,300,300,1.0,,,,,
