id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/1/hide_char_id,characters/5/hide_char_id,set_filter_01,set_filter_02,characters/3/hide_char_id,characters/4/hide_char_id,characters/0/hide_char_id,characters/2/hide_char_id,set_camera_shake
d_main_32_09_e_1,d_main_32_09_e,Narration,Locale_MainScenario:d_main_32_09_e_1,False,rapi,1,idle,vesti,13,idle,anis,15,worry,neon,17,worry,FlowerRoad,black,black,1.0,sfx_scn_hugecrystalexp,bgm_story_confront,,,,,,,,,,,,,,,,,
d_main_32_09_e_2,d_main_32_09_e,Monologue,Locale_MainScenario:d_main_32_09_e_2,False,,1,idle,,13,idle,,15,worry,,17,worry,,black,black,1.0,,,,,,,,,,,,,,,,,,,
d_main_32_09_e_3,d_main_32_09_e,Monologue,Locale_MainScenario:d_main_32_09_e_3,False,,1,idle,,13,idle,,15,worry,,17,worry,,black,black,1.0,,,,,,,,,,,,,,,,,,,
d_main_32_09_e_4,d_main_32_09_e,Speech,Locale_MainScenario:d_main_32_09_e_4,True,,1,idle,,13,idle,,15,worry,,17,worry,,100,10,1.0,,,rapi,rapi,,,,,,,,,,,,,,,
d_main_32_09_e_5,d_main_32_09_e,Speech,Locale_MainScenario:d_main_32_09_e_5,True,,1,idle,,13,idle,,15,worry,,17,worry,,10,10,1.0,,,rapi,rapi,,,,,,,,,,,,,,,
d_main_32_09_e_6,d_main_32_09_e,Monologue,Locale_MainScenario:d_main_32_09_e_6,False,,1,idle,,13,idle,,15,worry,,17,worry,,10,31,1.0,,,grave,,grave,3,idle,,,,,,,,,,,,
d_main_32_09_e_7,d_main_32_09_e,Speech,Locale_MainScenario:d_main_32_09_e_7,True,,1,idle,,13,idle,,15,worry,,17,worry,,31,31,1.0,,,grave,grave,,3,idle,,,,,,,,,,,,
d_main_32_09_e_8,d_main_32_09_e,Speech,Locale_MainScenario:d_main_32_09_e_8,True,,1,idle,,13,idle,,15,worry,,17,worry,,1517,1517,1.0,,,neon,neon,,3,idle,,,,,,,,,,,,
d_main_32_09_e_9,d_main_32_09_e,Speech,Locale_MainScenario:d_main_32_09_e_9,True,,1,idle,,13,idle,,15,worry,,17,worry,,1517,1517,1.0,,,anis,anis,,3,idle,,,,,,,,,,,,
d_main_32_09_e_10,d_main_32_09_e,Self,Locale_MainScenario:d_main_32_09_e_10,False,,1,idle,,13,idle,,15,worry,,17,worry,,L_30,L_30,1.0,,,grave,,,3,idle,,,,,,,,,,,,
d_main_32_09_e_11,d_main_32_09_e,Speech,Locale_MainScenario:d_main_32_09_e_11,True,,1,idle,,13,idle,,15,worry,,17,idle,,L_30,L_30,1.0,,,grave,grave,,3,idle,,,,,,,,,,,,
d_main_32_09_e_12,d_main_32_09_e,Speech,Locale_MainScenario:d_main_32_09_e_12,True,,1,idle,,13,idle,,15,worry,,17,idle,,L_30,L_30,1.0,,,grave,grave,,3,idle,,,,,,,,,,,,
d_main_32_09_e_13,d_main_32_09_e,Speech,Locale_MainScenario:d_main_32_09_e_13,True,,1,idle,,13,idle,,15,worry,,17,idle,,L_30,31,1.0,,,rapi,rapi,,3,idle,,,,,,,,,,,,
d_main_32_09_e_14,d_main_32_09_e,Speech,Locale_MainScenario:d_main_32_09_e_14,True,,1,idle,,13,idle,,15,worry,,17,idle,,31,31,1.0,,,grave,grave,,3,idle,,,,,,,,,,,,
d_main_32_09_e_15,d_main_32_09_e,Self,Locale_MainScenario:d_main_32_09_e_15,False,,1,idle,,13,idle,,15,worry,,17,idle,,31,31,1.0,,,grave,,,3,idle,,,,,,,,,,,,
d_main_32_09_e_16,d_main_32_09_e,Speech,Locale_MainScenario:d_main_32_09_e_16,True,,1,idle,,13,idle,,15,worry,,17,idle,,31,10,1.0,,,rapi,rapi,,3,idle,,,,,,,,,,,,
d_main_32_09_e_17,d_main_32_09_e,Speech,Locale_MainScenario:d_main_32_09_e_17,True,,1,idle,,13,idle,,15,worry,,17,idle,,10,10,1.0,,,rapi,rapi,,3,idle,,,,,,,,,,,,
d_main_32_09_e_18,d_main_32_09_e,Speech,Locale_MainScenario:d_main_32_09_e_18,True,,1,idle,,13,idle,,15,worry,,17,idle,,10,113,1.0,,,vesti,vesti,,3,idle,,,,,,,,,,,,
d_main_32_09_e_19,d_main_32_09_e,Speech,Locale_MainScenario:d_main_32_09_e_19,True,,1,idle,,13,idle,,15,worry,,17,idle,,113,113,1.0,,,rapi,rapi,,3,idle,,,,,,,,,,,,
d_main_32_09_e_20,d_main_32_09_e,Speech,Locale_MainScenario:d_main_32_09_e_20,True,,1,idle,,13,idle,,15,worry,,17,idle,,113,113,1.0,,,rapi,rapi,,3,idle,,,,,,,,,,,,
d_main_32_09_e_21,d_main_32_09_e,Speech,Locale_MainScenario:d_main_32_09_e_21,True,,1,idle,,13,idle,,15,worry,,17,idle,,113,113,1.0,,,vesti,vesti,,3,idle,,,,,,,,,,,,
d_main_32_09_e_22,d_main_32_09_e,Self,Locale_MainScenario:d_main_32_09_e_22,False,,1,idle,,13,idle,,15,worry,,17,idle,,113,113,1.0,,,vesti,,,3,idle,,,,,,,,,,,,
d_main_32_09_e_23,d_main_32_09_e,Speech,Locale_MainScenario:d_main_32_09_e_23,True,,1,idle,,13,idle,,15,worry,,17,idle,,L_30,L_30,1.0,,,grave,grave,,3,idle,,,,,,,,,,,,
d_main_32_09_e_24,d_main_32_09_e,Narration,Locale_MainScenario:d_main_32_09_e_24,False,,1,idle,,13,idle,,15,angry,,17,idle,,black,black,1.0,sfx_scn_glassbreak,,grave,,,3,idle,behemoth,5,idle,,,,,,,,,
d_main_32_09_e_25,d_main_32_09_e,Monologue,Locale_MainScenario:d_main_32_09_e_25,False,,1,idle,,13,idle,,15,angry,,17,idle,,black,black,1.0,,,grave,,,3,idle,,5,idle,,,,,,,,,
d_main_32_09_e_26,d_main_32_09_e,Speech,Locale_MainScenario:d_main_32_09_e_26,True,,1,idle,,13,idle,,15,angry,,17,idle,,15,150,0.5,,,anis,anis,,3,idle,,5,idle,,,,,,,,,
d_main_32_09_e_27,d_main_32_09_e,Self,Locale_MainScenario:d_main_32_09_e_27,False,,1,idle,,13,idle,,15,angry,,17,idle,,L_300,L_300,1.0,,,grave,,,3,idle,,5,idle,,,,,,,,,
d_main_32_09_e_28,d_main_32_09_e,Self,Locale_MainScenario:d_main_32_09_e_28,False,,1,idle,,13,idle,,15,angry,,17,idle,,L_300,L_300,1.0,,bgm_story_danger1,grave,,,3,idle,,5,idle,,,,,,,,,
d_main_32_09_e_29,d_main_32_09_e,Speech,Locale_MainScenario:d_main_32_09_e_29,False,,1,idle,,13,idle,,15,angry,,17,idle,,L_300,L_30,1.0,,,grave,grave,,3,idle,,5,idle,,,,,,,,,
d_main_32_09_e_30,d_main_32_09_e,Speech,Locale_MainScenario:d_main_32_09_e_30,True,,1,idle,,13,idle,,15,angry,,17,idle,,1517,1517,1.0,,,anis,anis,,3,idle,,5,idle,,,,,,,,,
d_main_32_09_e_31,d_main_32_09_e,Speech,Locale_MainScenario:d_main_32_09_e_31,True,,1,idle,,13,idle,,15,angry,,17,idle,,1517,1517,1.0,,,neon,neon,,3,idle,,5,idle,,,,,,,,,
d_main_32_09_e_32,d_main_32_09_e,Monologue,Locale_MainScenario:d_main_32_09_e_32,False,,1,idle,,13,idle,,15,angry,,17,idle,,5,50,1.0,,,behemoth,,,3,idle,,5,idle,,,,,,,,,
d_main_32_09_e_33,d_main_32_09_e,Self,Locale_MainScenario:d_main_32_09_e_33,False,,1,idle,,13,idle,,15,angry,,17,idle,,50,50,1.0,,,behemoth,,,3,idle,,5,idle,,,,,,,,,
d_main_32_09_e_34,d_main_32_09_e,Monologue,Locale_MainScenario:d_main_32_09_e_34,False,,1,idle,,13,idle,,15,angry,,17,idle,,50,50,1.0,sfx_scn_gunfire,,behemoth,,,3,idle,,5,idle,,,,,,,,,
d_main_32_09_e_35,d_main_32_09_e,Monologue,Locale_MainScenario:d_main_32_09_e_35,False,,1,idle,,13,idle,,15,angry,,17,idle,,50,500,1.0,,,behemoth,,,3,idle,,5,idle,,,,,,,,,
d_main_32_09_e_36,d_main_32_09_e,Monologue,Locale_MainScenario:d_main_32_09_e_36,False,,1,idle,,13,idle,,15,angry,,17,idle,,500,500,1.0,,,behemoth,,,3,idle,,5,idle,,,,,,,,,
d_main_32_09_e_37,d_main_32_09_e,Speech,Locale_MainScenario:d_main_32_09_e_37,True,,1,idle,,13,idle,,15,angry,,17,idle,,L_30,L_300,0.5,,,grave,grave,,3,idle,,5,idle,,,,,,,,,
d_main_32_09_e_38,d_main_32_09_e,Speech,Locale_MainScenario:d_main_32_09_e_38,True,,1,idle,,13,idle,,15,angry,,17,idle,,50,500,0.5,,,behemoth,behemoth,,3,idle,,5,idle,,,,,,,,,
d_main_32_09_e_39,d_main_32_09_e,Monologue,Locale_MainScenario:d_main_32_09_e_39,False,,1,idle,,13,idle,,15,angry,,17,idle,,black,black,1.0,sfx_scn_hammerwhoosh,,behemoth,,,3,idle,,5,idle,,,,,,,,,
