id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id
d_ex_gym_02_1,d_ex_gym_02,Speech,epinel,epinel,Locale_SuddenStory:d_ex_gym_02_1,True,folkwang,1,idle,epinel,3,idle,Gym,2,2,1.0,bgm_story_orangepop,,,,,,
d_ex_gym_02_2,d_ex_gym_02,Monologue,epinel,,Locale_SuddenStory:d_ex_gym_02_2,False,,1,idle,,3,idle,,black,black,1.0,,,,,,,
d_ex_gym_02_3,d_ex_gym_02,Self,epinel,Self,Locale_SuddenStory:d_ex_gym_02_3,False,,1,idle,,3,idle,,2,2,1.0,,,,,,,
d_ex_gym_02_4,d_ex_gym_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_gym_02_4,True,,1,idle,,3,idle,,2,2,1.0,,,,,,,
d_ex_gym_02_5,d_ex_gym_02,Speech,epinel,epinel,Locale_SuddenStory:d_ex_gym_02_5,True,,1,idle,,3,idle,,2,2,1.0,,,,,,,
d_ex_gym_02_6,d_ex_gym_02,Self,epinel,Self,Locale_SuddenStory:d_ex_gym_02_6,False,,1,idle,,3,idle,,2,2,1.0,,,,,,,
d_ex_gym_02_7,d_ex_gym_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_gym_02_7,True,,1,idle,,3,idle,,2,2,1.0,,ether,15,delight,,,
d_ex_gym_02_8,d_ex_gym_02,Monologue,folkwang,,Locale_SuddenStory:d_ex_gym_02_8,False,,1,idle,,3,idle,,2,15,1.0,,,15,delight,,,
d_ex_gym_02_9,d_ex_gym_02,Speech,ether,ether,Locale_SuddenStory:d_ex_gym_02_9,False,,1,idle,,3,idle,,15,15,1.0,,,15,delight,,,
d_ex_gym_02_10,d_ex_gym_02,Self,ether,Self,Locale_SuddenStory:d_ex_gym_02_10,False,,1,idle,,3,idle,,15,XS_150,1.0,,,15,delight,,,
d_ex_gym_02_11,d_ex_gym_02,Speech,ether,ether,Locale_SuddenStory:d_ex_gym_02_11,True,,1,idle,,3,idle,,XS_150,XS_150,1.0,,,15,idle,,,
d_ex_gym_02_12,d_ex_gym_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_gym_02_12,True,,1,idle,,3,idle,,10,10,1.0,,,15,idle,,,
d_ex_gym_02_13,d_ex_gym_02,Speech,ether,ether,Locale_SuddenStory:d_ex_gym_02_13,True,,1,idle,,3,idle,,12,12,1.0,,,13,idle,,,
d_ex_gym_02_14,d_ex_gym_02,Speech,ether,ether,Locale_SuddenStory:d_ex_gym_02_14,True,,1,idle,,3,idle,,12,12,1.0,,,13,idle,,,
d_ex_gym_02_15,d_ex_gym_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_gym_02_15,True,,1,idle,,3,idle,,12,12,1.0,,,13,idle,,,
d_ex_gym_02_16,d_ex_gym_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_gym_02_16,True,,1,delight,,3,idle,,12,12,1.0,,,13,idle,,,
d_ex_gym_02_17,d_ex_gym_02,Speech,ether,ether,Locale_SuddenStory:d_ex_gym_02_17,True,,1,delight,,3,idle,,12,XS_130,1.0,,,13,delight,,,
d_ex_gym_02_18,d_ex_gym_02,Speech,ether,ether,Locale_SuddenStory:d_ex_gym_02_18,True,,1,delight,,3,idle,,XS_130,XS_130,1.0,,,13,delight,,,
d_ex_gym_02_19,d_ex_gym_02,Speech,ether,ether,Locale_SuddenStory:d_ex_gym_02_19,True,,1,delight,,3,idle,,XS_130,XS_130,1.0,,,13,delight,,,
d_ex_gym_02_20,d_ex_gym_02,Speech,ether,ether,Locale_SuddenStory:d_ex_gym_02_20,True,,1,idle,,3,idle,,12,12,1.0,,,13,idle,,,
d_ex_gym_02_21,d_ex_gym_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_gym_02_21,True,,1,idle,,3,idle,,12,12,1.0,,,13,idle,,,
d_ex_gym_02_22,d_ex_gym_02,Speech,ether,ether,Locale_SuddenStory:d_ex_gym_02_22,True,,1,idle,,3,idle,,12,12,1.0,,,13,sad,,,
d_ex_gym_02_23,d_ex_gym_02,Speech,ether,ether,Locale_SuddenStory:d_ex_gym_02_23,True,,1,idle,,3,idle,,12,12,1.0,,,13,sad,,,
