id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_flowerpark_04_1,d_ex_flowerpark_04,Monologue,arcana,Locale_SuddenStory:d_ex_flowerpark_04_1,True,FlowerGarden,3,3,1.0,bgm_story_leisuretime,,,arcana,3,idle,,,,,,,,
d_ex_flowerpark_04_2,d_ex_flowerpark_04,Speech,arcana,Locale_SuddenStory:d_ex_flowerpark_04_2,True,,3,3,1.0,,arcana,,,3,idle,,,,,,,,
d_ex_flowerpark_04_3,d_ex_flowerpark_04,Self,arcana,Locale_SuddenStory:d_ex_flowerpark_04_3,False,,3,3,1.0,,,,,3,idle,,,,,,,,
d_ex_flowerpark_04_4,d_ex_flowerpark_04,Speech,arcana,Locale_SuddenStory:d_ex_flowerpark_04_4,True,,3,3,1.0,,arcana,,,3,idle,,,,,,,,
d_ex_flowerpark_04_5,d_ex_flowerpark_04,Speech,arcana,Locale_SuddenStory:d_ex_flowerpark_04_5,True,,3,3,1.0,,arcana,,,3,idle,,,,,,,,
d_ex_flowerpark_04_6,d_ex_flowerpark_04,Self,arcana,Locale_SuddenStory:d_ex_flowerpark_04_6,False,,3,3,1.0,,,,,3,idle,,,,,,,,
d_ex_flowerpark_04_7,d_ex_flowerpark_04,Speech,arcana,Locale_SuddenStory:d_ex_flowerpark_04_7,True,,3,L_30,1.0,,arcana,,,3,smile,,,,,,,,
d_ex_flowerpark_04_8,d_ex_flowerpark_04,Speech,arcana,Locale_SuddenStory:d_ex_flowerpark_04_8,True,,L_30,L_30,1.0,,arcana,,,3,smile,,,,,,,,
d_ex_flowerpark_04_9,d_ex_flowerpark_04,Self,arcana,Locale_SuddenStory:d_ex_flowerpark_04_9,False,,L_30,L_30,1.0,,,,,3,smile,,,,,,,,
d_ex_flowerpark_04_10,d_ex_flowerpark_04,Speech,arcana,Locale_SuddenStory:d_ex_flowerpark_04_10,True,,L_30,L_30,1.0,,arcana,,,3,shy,,,,,,,,
d_ex_flowerpark_04_11,d_ex_flowerpark_04,Speech,arcana,Locale_SuddenStory:d_ex_flowerpark_04_11,True,,L_30,L_30,1.0,,arcana,,,3,shy,,,,,,,,
d_ex_flowerpark_04_12,d_ex_flowerpark_04,Self,arcana,Locale_SuddenStory:d_ex_flowerpark_04_12,False,,L_30,L_30,1.0,,,,,3,shy,,,,,,,,
d_ex_flowerpark_04_13,d_ex_flowerpark_04,Speech,rupee,Locale_SuddenStory:d_ex_flowerpark_04_13,True,,12,12,1.0,,rupee,,,3,idle,,rupee,1,idle,,helm,13,idle
d_ex_flowerpark_04_14,d_ex_flowerpark_04,Speech,helm,Locale_SuddenStory:d_ex_flowerpark_04_14,True,,12,12,1.0,,helm,,,3,idle,,,1,idle,,,13,idle
d_ex_flowerpark_04_15,d_ex_flowerpark_04,Self,helm,Locale_SuddenStory:d_ex_flowerpark_04_15,False,,12,12,1.0,,,,,3,idle,,,1,idle,,,13,idle
d_ex_flowerpark_04_16,d_ex_flowerpark_04,Speech,rupee,Locale_SuddenStory:d_ex_flowerpark_04_16,True,,12,12,1.0,,rupee,,,3,idle,,,1,idle,,,13,idle
d_ex_flowerpark_04_17,d_ex_flowerpark_04,Self,rupee,Locale_SuddenStory:d_ex_flowerpark_04_17,False,,12,12,1.0,,,,,3,idle,,,1,idle,,,13,idle
d_ex_flowerpark_04_18,d_ex_flowerpark_04,Speech,helm,Locale_SuddenStory:d_ex_flowerpark_04_18,True,,12,12,1.0,,helm,,,3,idle,,,1,idle,,,13,idle
d_ex_flowerpark_04_19,d_ex_flowerpark_04,Speech,rupee,Locale_SuddenStory:d_ex_flowerpark_04_19,True,,12,2,1.5,,rupee,,,3,idle,,,1,idle,,,13,idle
d_ex_flowerpark_04_20,d_ex_flowerpark_04,Speech,rupee,Locale_SuddenStory:d_ex_flowerpark_04_20,True,,2,2,1.0,,rupee,,,3,idle,,,1,idle,,,13,idle
d_ex_flowerpark_04_21,d_ex_flowerpark_04,Self,rupee,Locale_SuddenStory:d_ex_flowerpark_04_21,False,,2,2,1.0,,,,,3,idle,,,1,idle,,,13,idle
d_ex_flowerpark_04_22,d_ex_flowerpark_04,Monologue,rupee,Locale_SuddenStory:d_ex_flowerpark_04_22,False,,black,black,1.0,,,,,3,idle,,,1,idle,,,13,idle
d_ex_flowerpark_04_23,d_ex_flowerpark_04,Speech,rupee,Locale_SuddenStory:d_ex_flowerpark_04_23,True,,2,2,1.0,,rupee,,arcana,3,idle,,rupee,1,surprise,,helm,13,idle
d_ex_flowerpark_04_24,d_ex_flowerpark_04,Speech,rupee,Locale_SuddenStory:d_ex_flowerpark_04_24,True,,2,2,1.0,,rupee,,,3,idle,,,1,surprise,,,13,idle
d_ex_flowerpark_04_25,d_ex_flowerpark_04,Speech,arcana,Locale_SuddenStory:d_ex_flowerpark_04_25,True,,2,2,1.0,,arcana,,,3,smile,,,1,surprise,,,13,idle
d_ex_flowerpark_04_26,d_ex_flowerpark_04,Speech,arcana,Locale_SuddenStory:d_ex_flowerpark_04_26,True,,2,2,1.0,,arcana,,,3,smile,,,1,surprise,,,13,idle
d_ex_flowerpark_04_27,d_ex_flowerpark_04,Speech,arcana,Locale_SuddenStory:d_ex_flowerpark_04_27,True,,2,2,1.0,,arcana,,,3,think,,,1,surprise,,,13,idle
d_ex_flowerpark_04_28,d_ex_flowerpark_04,Speech,rupee,Locale_SuddenStory:d_ex_flowerpark_04_28,True,,2,2,1.0,,rupee,,,3,think,,,1,angry,,,13,idle
d_ex_flowerpark_04_29,d_ex_flowerpark_04,Speech,rupee,Locale_SuddenStory:d_ex_flowerpark_04_29,True,,2,2,1.0,,rupee,,,3,think,,,1,idle,,,13,idle
d_ex_flowerpark_04_30,d_ex_flowerpark_04,Speech,arcana,Locale_SuddenStory:d_ex_flowerpark_04_30,True,,2,2,1.0,,arcana,,,3,smile,,,1,idle,,,13,idle
d_ex_flowerpark_04_31,d_ex_flowerpark_04,Speech,arcana,Locale_SuddenStory:d_ex_flowerpark_04_31,True,,2,2,1.0,,arcana,,,3,smile,,,1,idle,,,13,idle
d_ex_flowerpark_04_32,d_ex_flowerpark_04,Speech,rupee,Locale_SuddenStory:d_ex_flowerpark_04_32,True,,2,2,1.0,,rupee,,,3,smile,,,1,idle,,,13,idle
d_ex_flowerpark_04_33,d_ex_flowerpark_04,Speech,rupee,Locale_SuddenStory:d_ex_flowerpark_04_33,True,,2,2,1.0,,rupee,,,3,smile,,,1,shy,,,13,idle
d_ex_flowerpark_04_34,d_ex_flowerpark_04,Speech,rupee,Locale_SuddenStory:d_ex_flowerpark_04_34,True,,2,2,1.0,,rupee,,,3,smile,,,1,shy,,,13,idle
d_ex_flowerpark_04_35,d_ex_flowerpark_04,Speech,rupee,Locale_SuddenStory:d_ex_flowerpark_04_35,True,,2,2,1.0,,rupee,,,3,smile,,,1,shy,,,13,idle
d_ex_flowerpark_04_36,d_ex_flowerpark_04,Speech,arcana,Locale_SuddenStory:d_ex_flowerpark_04_36,True,,2,2,1.0,,arcana,,,3,idle,,,1,shy,,,13,idle
d_ex_flowerpark_04_37,d_ex_flowerpark_04,Speech,arcana,Locale_SuddenStory:d_ex_flowerpark_04_37,True,,2,2,1.0,,arcana,,,3,surprise,,,1,shy,,,13,idle
d_ex_flowerpark_04_38,d_ex_flowerpark_04,Speech,rupee,Locale_SuddenStory:d_ex_flowerpark_04_38,True,,2,L_10,1.0,,rupee,,,3,surprise,,,1,idle,,,13,idle
d_ex_flowerpark_04_39,d_ex_flowerpark_04,Speech,rupee,Locale_SuddenStory:d_ex_flowerpark_04_39,True,,L_10,L_10,1.0,,rupee,,,3,surprise,,,1,idle,,,13,idle
d_ex_flowerpark_04_40,d_ex_flowerpark_04,Speech,arcana,Locale_SuddenStory:d_ex_flowerpark_04_40,True,,L_10,L_30,1.0,,arcana,,,3,surprise,,,1,idle,,,13,idle
d_ex_flowerpark_04_41,d_ex_flowerpark_04,Speech,rupee,Locale_SuddenStory:d_ex_flowerpark_04_41,True,,L_30,2,1.0,,rupee,,,3,surprise,,,1,idle,,,13,idle
d_ex_flowerpark_04_42,d_ex_flowerpark_04,Speech,rupee,Locale_SuddenStory:d_ex_flowerpark_04_42,True,,2,2,1.0,,rupee,,,3,surprise,,,1,sad,,,13,idle
d_ex_flowerpark_04_43,d_ex_flowerpark_04,Speech,rupee,Locale_SuddenStory:d_ex_flowerpark_04_43,True,,2,2,1.0,,rupee,,,3,surprise,,,1,sad,,,13,idle
d_ex_flowerpark_04_44,d_ex_flowerpark_04,Speech,arcana,Locale_SuddenStory:d_ex_flowerpark_04_44,True,,2,2,1.0,,arcana,,,3,no,,,1,sad,,,13,idle
d_ex_flowerpark_04_45,d_ex_flowerpark_04,Speech,arcana,Locale_SuddenStory:d_ex_flowerpark_04_45,True,,2,2,1.0,,arcana,,,3,no,,,1,sad,,,13,idle
d_ex_flowerpark_04_46,d_ex_flowerpark_04,Speech,rupee,Locale_SuddenStory:d_ex_flowerpark_04_46,True,,2,2,1.0,,rupee,,,3,no,,,1,surprise,,,13,idle
d_ex_flowerpark_04_47,d_ex_flowerpark_04,Speech,rupee,Locale_SuddenStory:d_ex_flowerpark_04_47,True,,2,2,1.0,,rupee,,,3,no,,,1,surprise,,,13,idle
d_ex_flowerpark_04_48,d_ex_flowerpark_04,Speech,rupee,Locale_SuddenStory:d_ex_flowerpark_04_48,True,,2,2,1.0,,rupee,,,3,no,,,1,idle,,,13,idle
d_ex_flowerpark_04_49,d_ex_flowerpark_04,Speech,arcana,Locale_SuddenStory:d_ex_flowerpark_04_49,True,,2,2,1.0,,arcana,,,3,surprise,,,1,idle,,,13,idle
d_ex_flowerpark_04_50,d_ex_flowerpark_04,Speech,rupee,Locale_SuddenStory:d_ex_flowerpark_04_50,True,,2,2,1.0,,rupee,,,3,surprise,,,1,idle,,,13,idle
d_ex_flowerpark_04_51,d_ex_flowerpark_04,Speech,rupee,Locale_SuddenStory:d_ex_flowerpark_04_51,True,,2,2,1.0,,rupee,,,3,surprise,,,1,delight,,,13,idle
d_ex_flowerpark_04_52,d_ex_flowerpark_04,Speech,arcana,Locale_SuddenStory:d_ex_flowerpark_04_52,True,,2,2,1.0,,arcana,,,3,delight,,,1,delight,,,13,idle
d_ex_flowerpark_04_53,d_ex_flowerpark_04,Speech,rupee,Locale_SuddenStory:d_ex_flowerpark_04_53,True,,2,2,1.0,,rupee,,,3,delight,,,1,delight,,,13,idle
d_ex_flowerpark_04_54,d_ex_flowerpark_04,Speech,rupee,Locale_SuddenStory:d_ex_flowerpark_04_54,True,,2,2,1.0,,rupee,,,3,delight,,,1,idle,,,13,idle
d_ex_flowerpark_04_55,d_ex_flowerpark_04,Speech,arcana,Locale_SuddenStory:d_ex_flowerpark_04_55,True,,2,2,1.0,,arcana,,,3,surprise,,,1,idle,,,13,idle
d_ex_flowerpark_04_56,d_ex_flowerpark_04,Speech,rupee,Locale_SuddenStory:d_ex_flowerpark_04_56,True,,2,2,1.0,,rupee,,,3,surprise,,,1,idle,,,13,idle
d_ex_flowerpark_04_57,d_ex_flowerpark_04,Speech,rupee,Locale_SuddenStory:d_ex_flowerpark_04_57,True,,2,2,1.0,,rupee,,,3,surprise,,,1,idle,,,13,idle
d_ex_flowerpark_04_58,d_ex_flowerpark_04,Speech,rupee,Locale_SuddenStory:d_ex_flowerpark_04_58,True,,2,2,1.0,,rupee,,,3,surprise,,,1,idle,,,13,idle
d_ex_flowerpark_04_59,d_ex_flowerpark_04,Self,rupee,Locale_SuddenStory:d_ex_flowerpark_04_59,False,,2,2,1.0,,,,,3,surprise,,,1,idle,,,13,idle
d_ex_flowerpark_04_60,d_ex_flowerpark_04,Monologue,rupee,Locale_SuddenStory:d_ex_flowerpark_04_60,False,,black,black,1.0,,,,,5,delight,,,3,idle,,,13,idle
d_ex_flowerpark_04_61,d_ex_flowerpark_04,Speech,helm,Locale_SuddenStory:d_ex_flowerpark_04_61,True,,130,130,1.0,,helm,,,5,delight,,,3,idle,,,13,no
d_ex_flowerpark_04_62,d_ex_flowerpark_04,Monologue,helm,Locale_SuddenStory:d_ex_flowerpark_04_62,True,,130,130,1.0,,,,,5,delight,,,3,idle,,,13,no
d_ex_flowerpark_04_63,d_ex_flowerpark_04,Self,helm,Locale_SuddenStory:d_ex_flowerpark_04_63,False,,130,130,1.0,,,,,5,delight,,,3,idle,,,13,no
d_ex_flowerpark_04_64,d_ex_flowerpark_04,Speech,helm,Locale_SuddenStory:d_ex_flowerpark_04_64,True,,130,130,1.0,,helm,,,5,delight,,,3,idle,,,13,no
d_ex_flowerpark_04_65,d_ex_flowerpark_04,Speech,helm,Locale_SuddenStory:d_ex_flowerpark_04_65,True,,130,130,1.0,,helm,,,5,delight,,,3,idle,,,13,no
d_ex_flowerpark_04_66,d_ex_flowerpark_04,Speech,helm,Locale_SuddenStory:d_ex_flowerpark_04_66,True,,130,130,1.0,,helm,,,5,delight,,,3,idle,,,13,no
d_ex_flowerpark_04_67,d_ex_flowerpark_04,Monologue,helm,Locale_SuddenStory:d_ex_flowerpark_04_67,False,,130,4,1.5,,,,,5,delight,,,3,idle,,,13,no
d_ex_flowerpark_04_68,d_ex_flowerpark_04,Monologue,helm,Locale_SuddenStory:d_ex_flowerpark_04_68,False,,4,4,1.0,,,,,5,delight,,,3,idle,,,13,no
d_ex_flowerpark_04_69,d_ex_flowerpark_04,Speech,helm,Locale_SuddenStory:d_ex_flowerpark_04_69,True,,130,130,1.0,,helm,,,5,delight,,,3,idle,,,13,idle
d_ex_flowerpark_04_70,d_ex_flowerpark_04,Choice,helm,Locale_SuddenStory:d_ex_flowerpark_04_70,False,,130,130,1.0,,,d_ex_flowerpark_04_74,,5,delight,,,3,idle,,,13,idle
d_ex_flowerpark_04_71,d_ex_flowerpark_04,Choice,helm,Locale_SuddenStory:d_ex_flowerpark_04_71,False,,130,130,1.0,,,d_ex_flowerpark_04_72,,5,delight,,,3,idle,,,13,idle
d_ex_flowerpark_04_72,d_ex_flowerpark_04,Speech,helm,Locale_SuddenStory:d_ex_flowerpark_04_72,True,,130,130,1.0,,helm,,,5,delight,,,3,idle,,,13,idle
d_ex_flowerpark_04_73,d_ex_flowerpark_04,Self,helm,Locale_SuddenStory:d_ex_flowerpark_04_73,False,,130,130,1.0,,,d_ex_flowerpark_04_74,,5,delight,,,3,idle,,,13,idle
d_ex_flowerpark_04_74,d_ex_flowerpark_04,Speech,rupee,Locale_SuddenStory:d_ex_flowerpark_04_74,False,,130,4,1.5,,rupee,,,5,delight,arcana,,3,idle,rupee,,13,idle
d_ex_flowerpark_04_75,d_ex_flowerpark_04,Monologue,rupee,Locale_SuddenStory:d_ex_flowerpark_04_75,False,,4,4,1.0,,,,arcana,5,smile,,rupee,3,idle,,,13,idle
d_ex_flowerpark_04_76,d_ex_flowerpark_04,Speech,rupee,Locale_SuddenStory:d_ex_flowerpark_04_76,False,,4,4,1.0,,rupee,,,5,smile,,,3,idle,,,13,idle
