id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,characters/0/hide_char_id,set_camera_shake,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/7/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id
d_main_23_01_e_1,d_main_23_01_e,Narration,Locale_MainScenario:d_main_23_01_e_1,False,BurningCity,black,black,1.0,sfx_scn_somethingdrag,bgm_enemyclose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_23_01_e_2,d_main_23_01_e,Monologue,Locale_MainScenario:d_main_23_01_e_2,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_23_01_e_3,d_main_23_01_e,Narration,Locale_MainScenario:d_main_23_01_e_3,False,,black,black,1.0,sfx_scn_somethingdrag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_23_01_e_4,d_main_23_01_e,Narration,Locale_MainScenario:d_main_23_01_e_4,False,,black,black,1.0,,,anis,3,void,neon,5,idle,rapi,13,idle,,,,,,,,,,,,,,,,,,,,,,,,
d_main_23_01_e_5,d_main_23_01_e,Monologue,Locale_MainScenario:d_main_23_01_e_5,False,,1,10,1.0,,,,3,void,,5,idle,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,
d_main_23_01_e_6,d_main_23_01_e,Monologue,Locale_MainScenario:d_main_23_01_e_6,False,,10,10,1.0,,,,3,void,,5,idle,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,
d_main_23_01_e_7,d_main_23_01_e,Monologue,Locale_MainScenario:d_main_23_01_e_7,False,,10,10,1.0,,,,3,void,,5,idle,,13,idle,dorothy,1,idle,,,,,,,,,,,,,,,,,,,,,
d_main_23_01_e_8,d_main_23_01_e,Speech,Locale_MainScenario:d_main_23_01_e_8,True,,10,10,1.0,,,,3,void,,5,idle,,13,idle,,1,idle,dorothy,dorothy,,,,,,,,,,,,,,,,,,,
d_main_23_01_e_9,d_main_23_01_e,Speech,Locale_MainScenario:d_main_23_01_e_9,True,,10,12,1.0,,,,3,void,,5,idle,,13,idle,,1,idle,rapi,rapi,,,,,,,,,,,,,,,,,,,
d_main_23_01_e_10,d_main_23_01_e,Self,Locale_MainScenario:d_main_23_01_e_10,False,,12,12,1.0,,,,3,void,,5,idle,,13,idle,,1,idle,,,,,,,,,,,,,,,,,,,,,
d_main_23_01_e_11,d_main_23_01_e,Speech,Locale_MainScenario:d_main_23_01_e_11,True,,12,12,1.0,,,,3,void,,5,idle,,13,idle,,1,idle,dorothy,dorothy,,,,,,,,,,,,,,,,,,,
d_main_23_01_e_12,d_main_23_01_e,Narration,Locale_MainScenario:d_main_23_01_e_12,False,,12,1,1.0,sfx_scn_toolpass,,,3,void,,5,idle,,13,idle,,1,idle,,,dorothy,,,,,,,,,,,,,,,,,,
d_main_23_01_e_13,d_main_23_01_e,Narration,Locale_MainScenario:d_main_23_01_e_13,False,,1,1,1.0,sfx_scn_nikkelanding,,,3,void,,5,idle,,13,idle,,,idle,,,,Low_2,,,,,,,,,,,,,,,,,
d_main_23_01_e_14,d_main_23_01_e,Monologue,Locale_MainScenario:d_main_23_01_e_14,False,,1,1,1.0,,,,3,void,,5,idle,,13,idle,,,idle,,,,,,,,,,,,,,,,,,,,,
d_main_23_01_e_15,d_main_23_01_e,Monologue,Locale_MainScenario:d_main_23_01_e_15,False,,1,1,1.0,,,,3,void,,5,idle,,13,idle,,,idle,,,,,,,,,,,,,,,,,,,,,
d_main_23_01_e_16,d_main_23_01_e,Speech,Locale_MainScenario:d_main_23_01_e_16,True,,S_50,S_50,1.0,,,,3,void,,5,idle,,13,idle,dorothy,1,idle,neon,neon,,,,,,,,,,,,,,,,,,,
d_main_23_01_e_17,d_main_23_01_e,Speech,Locale_MainScenario:d_main_23_01_e_17,True,,10,10,1.0,,,,3,void,,5,idle,,13,idle,,1,think,dorothy,dorothy,,,,,,,,,,,,,,,,,,,
d_main_23_01_e_18,d_main_23_01_e,Speech,Locale_MainScenario:d_main_23_01_e_18,True,,10,10,1.0,,,,3,void,,5,idle,,13,idle,,1,think,dorothy,dorothy,,,,,,,,,,,,,,,,,,,
d_main_23_01_e_19,d_main_23_01_e,Speech,Locale_MainScenario:d_main_23_01_e_19,True,,10,10,1.0,,,,3,void,,5,idle,,13,idle,,1,think,dorothy,dorothy,,,,,,,,,,,,,,,,,,,
d_main_23_01_e_20,d_main_23_01_e,Speech,Locale_MainScenario:d_main_23_01_e_20,True,,10,2,1.0,,,,3,void,,5,idle,,13,idle,,1,think,anis,anis,,,,,,,,,,,,,,,,,,,
d_main_23_01_e_21,d_main_23_01_e,Speech,Locale_MainScenario:d_main_23_01_e_21,True,,2,2,1.0,,,,3,void,,5,idle,,13,idle,,1,think,dorothy,dorothy,,,,,,,,,,,,,,,,,,,
d_main_23_01_e_22,d_main_23_01_e,Speech,Locale_MainScenario:d_main_23_01_e_22,True,,2,2,1.0,,,,3,void,,5,idle,,13,idle,,1,think,dorothy,dorothy,,,,,,,,,,,,,,,,,,,
d_main_23_01_e_23,d_main_23_01_e,Speech,Locale_MainScenario:d_main_23_01_e_23,True,,2,2,1.0,,,,3,void,,5,idle,,13,idle,,1,idle,dorothy,dorothy,,,,,,,,,,,,,,,,,,,
d_main_23_01_e_24,d_main_23_01_e,Speech,Locale_MainScenario:d_main_23_01_e_24,True,,2,2,1.0,,,,3,void,,5,idle,,13,idle,,1,idle,dorothy,dorothy,,,,,,,,,,,,,,,,,,,
