id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/9/hide_char_id,set_camera_shake
d_main_02_08_s_1,d_main_02_08_s,Speech,rapi,rapi,Locale_MainScenario:d_main_02_08_s_1,True,rapi,1,idle,anis,3,worry,neon,13,idle,TechIndoor,1,1,1.0,bgm_enemyclose,,,,,,,,,
d_main_02_08_s_2,d_main_02_08_s,Speech,anis,anis,Locale_MainScenario:d_main_02_08_s_2,True,,1,idle,,3,worry,,13,idle,,1,3,1.0,,,,,,,,,,
d_main_02_08_s_3,d_main_02_08_s,Speech,neon,neon,Locale_MainScenario:d_main_02_08_s_3,True,,1,idle,,3,worry,,13,idle,,3,13,1.0,,,,,,,,,,
d_main_02_08_s_4,d_main_02_08_s,Speech,anis,anis,Locale_MainScenario:d_main_02_08_s_4,True,,1,idle,,3,worry,,13,idle,,3,3,1.0,,,,,,,,,,
d_main_02_08_s_5,d_main_02_08_s,Self,anis,Self,Locale_MainScenario:d_main_02_08_s_5,True,,1,idle,,3,worry,,13,idle,,3,3,1.0,,,,,,,,,,
d_main_02_08_s_6,d_main_02_08_s,Speech,anis,anis,Locale_MainScenario:d_main_02_08_s_6,True,,1,idle,,3,worry,,13,idle,,3,30,1.0,,,,,,,,,,
d_main_02_08_s_7,d_main_02_08_s,Speech,rapi,rapi,Locale_MainScenario:d_main_02_08_s_7,True,,1,idle,,3,worry,,13,idle,,1,10,1.0,,,,,,,,,,
d_main_02_08_s_8,d_main_02_08_s,Speech,rapi,rapi,Locale_MainScenario:d_main_02_08_s_8,True,,1,idle,,3,worry,,13,idle,,10,100,1.0,,,,,,,,,,
d_main_02_08_s_9,d_main_02_08_s,Speech,anis,anis,Locale_MainScenario:d_main_02_08_s_9,True,,1,idle,,3,angry,,13,idle,,30,300,1.0,,,,,,,,,,
d_main_02_08_s_10,d_main_02_08_s,Speech,neon,neon,Locale_MainScenario:d_main_02_08_s_10,True,,1,idle,,3,worry,,13,idle,,300,13,1.0,,,,,,,,,,
d_main_02_08_s_11,d_main_02_08_s,Speech,shifty,shifty,Locale_MainScenario:d_main_02_08_s_11,True,,1,idle,,3,worry,,13,idle,,13,13,1.0,,shifty,OP_leftup,idle,,,,,,
d_main_02_08_s_12,d_main_02_08_s,Speech,rapi,rapi,Locale_MainScenario:d_main_02_08_s_12,True,,1,idle,,3,worry,,13,idle,,13,1,1.0,,,OP_leftup,idle,,,,,,
d_main_02_08_s_13,d_main_02_08_s,Speech,rapi,rapi,Locale_MainScenario:d_main_02_08_s_13,True,,1,idle,,3,worry,,13,idle,,1,1,1.0,,,OP_leftup,idle,,,,,,
d_main_02_08_s_14,d_main_02_08_s,Self,rapi,Self,Locale_MainScenario:d_main_02_08_s_14,True,,1,idle,,3,worry,,13,idle,,1,1,1.0,,,OP_leftup,idle,,,,,,
d_main_02_08_s_15,d_main_02_08_s,Speech,rapi,rapi,Locale_MainScenario:d_main_02_08_s_15,True,,1,idle,,3,worry,,13,idle,,1,1,1.0,,,OP_leftup,idle,,,,,,
d_main_02_08_s_16,d_main_02_08_s,Speech,rapi,rapi,Locale_MainScenario:d_main_02_08_s_16,True,,1,idle,,3,worry,,13,idle,,1,10,1.0,,,OP_leftup,idle,,,,,,
d_main_02_08_s_17,d_main_02_08_s,Narration,rapi,Narration,Locale_MainScenario:d_main_02_08_s_17,True,,1,idle,,3,worry,,13,idle,,10,10,1.0,none,,OP_leftup,idle,sfx_scn_rapturebeam,,,,,
d_main_02_08_s_18,d_main_02_08_s,Speech,anis,anis,Locale_MainScenario:d_main_02_08_s_18,True,,1,idle,,3,angry,,13,idle,,30,300,1.0,bgm_emergency,,OP_leftup,idle,,,,,,
d_main_02_08_s_19,d_main_02_08_s,Speech,rapi,rapi,Locale_MainScenario:d_main_02_08_s_19,True,,1,angry,,3,angry,,13,idle,,10,100,1.0,,,OP_leftup,idle,,,,,,
d_main_02_08_s_20,d_main_02_08_s,Narration,rapi,Narration,Locale_MainScenario:d_main_02_08_s_20,True,,1,angry,,3,angry,,13,idle,none,100,100,1.0,,,OP_leftup,idle,sfx_scn_rapturebeam,rapi,anis,neon,shifty,
d_main_02_08_s_21,d_main_02_08_s,Speech,neon,neon,Locale_MainScenario:d_main_02_08_s_21,True,,,,anis,3,angry,neon,13,idle,TechIndoor,S_130,S_1300,1.0,,shifty,OP_leftup,angry,,,,,,
d_main_02_08_s_22,d_main_02_08_s,Speech,anis,anis,Locale_MainScenario:d_main_02_08_s_22,True,,,,,3,angry,,13,idle,,30,300,1.0,,,OP_leftup,angry,,,,,,
d_main_02_08_s_23,d_main_02_08_s,Monologue,anis,,Locale_MainScenario:d_main_02_08_s_23,True,,,,,3,angry,,13,idle,none,300,300,1.0,,,OP_leftup,angry,,,anis,neon,shifty,
d_main_02_08_s_24,d_main_02_08_s,Monologue,anis,,Locale_MainScenario:d_main_02_08_s_24,True,,,,,3,angry,,13,idle,,300,300,1.0,,,,,,,,,,
d_main_02_08_s_25,d_main_02_08_s,Monologue,anis,,Locale_MainScenario:d_main_02_08_s_25,True,,,,,3,angry,,13,idle,,300,300,1.0,,,,,,,,,,
d_main_02_08_s_26,d_main_02_08_s,Monologue,anis,,Locale_MainScenario:d_main_02_08_s_26,True,,,,,3,angry,,13,idle,none,300,300,1.0,,,,,,,,,,
d_main_02_08_s_27,d_main_02_08_s,Speech,anis,anis,Locale_MainScenario:d_main_02_08_s_27,True,,,,anis,3,angry,neon,13,idle,TechIndoor,30,300,0.5,,,,,,,,,,
d_main_02_08_s_28,d_main_02_08_s,Narration,anis,anis,Locale_MainScenario:d_main_02_08_s_28,False,,,,,3,angry,,13,idle,,300,300,1.0,,,,,sfx_scn_earthquake,,,,,Low_2_Loop
d_main_02_08_s_29,d_main_02_08_s,Speech,anis,anis,Locale_MainScenario:d_main_02_08_s_29,True,,,,,3,angry,,13,idle,,300,30,1.0,,,,,,,,,,
d_main_02_08_s_30,d_main_02_08_s,Speech,shifty,shifty,Locale_MainScenario:d_main_02_08_s_30,True,,,,,3,angry,,13,idle,,30,30,1.0,,shifty,OP_leftup,angry,,,,,,
d_main_02_08_s_31,d_main_02_08_s,Speech,anis,anis,Locale_MainScenario:d_main_02_08_s_31,True,,,,,3,angry,,13,idle,,30,30,1.0,,,OP_leftup,angry,,,,,,
d_main_02_08_s_32,d_main_02_08_s,Speech,anis,anis,Locale_MainScenario:d_main_02_08_s_32,True,,,,,3,angry,,13,idle,,30,30,1.0,,,OP_leftup,angry,,,,,,
d_main_02_08_s_33,d_main_02_08_s,Speech,anis,anis,Locale_MainScenario:d_main_02_08_s_33,True,,,,,3,angry,,13,idle,,30,300,1.0,,,OP_leftup,angry,,,,,,
d_main_02_08_s_34,d_main_02_08_s,Speech,shifty,shifty,Locale_MainScenario:d_main_02_08_s_34,True,,,,,3,angry,,13,idle,,300,300,1.0,,,OP_leftup,angry,,,,,,
d_main_02_08_s_35,d_main_02_08_s,Speech,anis,anis,Locale_MainScenario:d_main_02_08_s_35,True,,,,,3,angry,,13,idle,,300,300,1.0,,,OP_leftup,angry,,,,,,
d_main_02_08_s_36,d_main_02_08_s,Speech,neon,neon,Locale_MainScenario:d_main_02_08_s_36,True,,,,,3,angry,,13,idle,,S_130,S_1300,1.0,,,OP_leftup,angry,,,,,,
