id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,set_camera_shake,play_sound,set_filter_01,fade,set_filter_02,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_ex_library_03_1,d_ex_library_03,Monologue,Locale_SuddenStory:d_ex_library_03_1,False,Library,black,black,1.0,bgm_story_orangepop,,,,,,,,,,,,
d_ex_library_03_2,d_ex_library_03,Monologue,Locale_SuddenStory:d_ex_library_03_2,False,,15,1,2.0,,,,,,,,,,pepper,1,surprise,
d_ex_library_03_3,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_3,True,,1,XS_10,1.0,,pepper,pepper,,,,,,,,1,surprise,
d_ex_library_03_4,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_4,True,,XS_10,XS_10,1.0,,pepper,pepper,,,,,,,,1,delight,
d_ex_library_03_5,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_5,True,,XS_10,XS_10,1.0,,pepper,pepper,,,,,,,,1,idle,
d_ex_library_03_6,d_ex_library_03,Self,Locale_SuddenStory:d_ex_library_03_6,False,,XS_10,XS_10,1.0,,pepper,,,,,,,,,1,idle,
d_ex_library_03_7,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_7,True,,XS_10,XS_10,1.0,,pepper,pepper,,,,,,,,1,idle,
d_ex_library_03_8,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_8,True,,XS_10,XS_10,1.0,,pepper,pepper,,,,,,,,1,delight,
d_ex_library_03_9,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_9,True,,XS_10,XS_100,2.0,,pepper,pepper,,,,,,,,1,shy,
d_ex_library_03_10,d_ex_library_03,Self,Locale_SuddenStory:d_ex_library_03_10,False,,XS_100,XS_100,1.0,,pepper,,,,,,,,,1,shy,
d_ex_library_03_11,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_11,True,,XS_100,XS_100,1.0,,pepper,pepper,,,,,,,,1,angry,
d_ex_library_03_12,d_ex_library_03,Narration,Locale_SuddenStory:d_ex_library_03_12,False,,XS_100,1,2.0,,pepper,,,,,,,,,1,angry,
d_ex_library_03_13,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_13,True,,1,1,1.0,,pepper,pepper,,,,,,,,1,angry,
d_ex_library_03_14,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_14,True,,1,1,1.0,,pepper,pepper,,,,,,,,1,angry,
d_ex_library_03_15,d_ex_library_03,Choice,Locale_SuddenStory:d_ex_library_03_15,False,,1,1,1.0,,pepper,,d_ex_library_03_17,,,,,,,1,angry,
d_ex_library_03_16,d_ex_library_03,Choice,Locale_SuddenStory:d_ex_library_03_16,False,,1,1,1.0,,pepper,,d_ex_library_03_24,,,,,,,1,angry,
d_ex_library_03_17,d_ex_library_03,Monologue,Locale_SuddenStory:d_ex_library_03_17,False,,1,XS_100,2.0,,pepper,,,,,,,,,1,angry,
d_ex_library_03_18,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_18,True,,XS_100,XS_100,1.0,,pepper,pepper,,,,,,,,1,shy,
d_ex_library_03_19,d_ex_library_03,Self,Locale_SuddenStory:d_ex_library_03_19,False,,XS_100,XS_100,1.0,,pepper,,,,,,,,,1,shy,
d_ex_library_03_20,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_20,True,,XS_100,XS_10,0.5,,pepper,pepper,,,,,,,,1,surprise,
d_ex_library_03_21,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_21,True,,XS_10,XS_10,1.0,,pepper,pepper,,,,,,,,1,special,
d_ex_library_03_22,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_22,True,,XS_10,XS_10,1.0,,pepper,pepper,,,,,,,,1,special,
d_ex_library_03_23,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_23,True,,XS_10,XS_10,1.0,,pepper,pepper,d_ex_library_03_42,,,,,,,1,special,
d_ex_library_03_24,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_24,True,,1,XS_10,2.0,,pepper,pepper,,,,,,,,1,angry,
d_ex_library_03_25,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_25,True,,XS_10,XS_10,1.0,,pepper,pepper,,,,,,,,1,angry,
d_ex_library_03_26,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_26,True,,XS_10,6001,0.5,,pepper,pepper,,Low_2,,,,,,1,surprise,pepper
d_ex_library_03_27,d_ex_library_03,Monologue,Locale_SuddenStory:d_ex_library_03_27,False,,black,black,1.0,,pepper,,,,,,,,,1,surprise,
d_ex_library_03_28,d_ex_library_03,Narration,Locale_SuddenStory:d_ex_library_03_28,False,,black,black,1.0,,pepper,,,,sfx_scn_heavytrip,,,,,1,surprise,
d_ex_library_03_29,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_29,True,,6001,XS_10,2.0,,pepper,pepper,,,,,,,pepper,1,shy,
d_ex_library_03_30,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_30,True,,XS_10,XS_100,0.5,,pepper,pepper,,,,,,,,1,surprise,
d_ex_library_03_31,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_31,True,,XS_100,XS_100,1.0,,pepper,pepper,,,,,,,,1,shy,
d_ex_library_03_32,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_32,True,,XS_100,XS_100,1.0,,pepper,pepper,,,,,,,,1,shy,
d_ex_library_03_33,d_ex_library_03,Self,Locale_SuddenStory:d_ex_library_03_33,False,,XS_100,XS_100,1.0,,pepper,,,,,,,,,1,shy,
d_ex_library_03_34,d_ex_library_03,Self,Locale_SuddenStory:d_ex_library_03_34,False,,XS_100,XS_100,1.0,,pepper,,,,,,,,,1,shy,
d_ex_library_03_35,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_35,True,,XS_100,XS_100,1.0,,pepper,pepper,,,,,,,,1,shy,
d_ex_library_03_36,d_ex_library_03,Self,Locale_SuddenStory:d_ex_library_03_36,False,,XS_100,XS_100,1.0,,pepper,,,,,,,,,1,shy,
d_ex_library_03_37,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_37,True,,XS_100,XS_100,1.0,,pepper,pepper,,,,,,,,1,surprise,
d_ex_library_03_38,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_38,True,,XS_100,XS_100,1.0,,pepper,pepper,,,,,,,,1,surprise,
d_ex_library_03_39,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_39,True,,XS_100,XS_10,0.5,,pepper,pepper,,,,,,,,1,surprise,
d_ex_library_03_40,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_40,True,,XS_10,XS_10,1.0,,pepper,pepper,,,,,,,,1,delight,
d_ex_library_03_41,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_41,True,,XS_10,XS_10,1.0,,pepper,pepper,,,,,,,,1,special,
d_ex_library_03_42,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_42,True,,XS_10,XS_10,1.0,,pepper,pepper,,,,,,,,1,idle,
d_ex_library_03_43,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_43,True,,XS_10,XS_10,1.0,,pepper,pepper,,,,,,,,1,idle,
d_ex_library_03_44,d_ex_library_03,Self,Locale_SuddenStory:d_ex_library_03_44,False,,XS_10,XS_10,1.0,,pepper,,,,,,,,,1,idle,
d_ex_library_03_45,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_45,True,,XS_10,XS_10,1.0,,pepper,pepper,,,,,,,,1,idle,
d_ex_library_03_46,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_46,True,,XS_10,XS_10,1.0,,pepper,pepper,,,,,,,,1,idle,
d_ex_library_03_47,d_ex_library_03,Self,Locale_SuddenStory:d_ex_library_03_47,False,,XS_10,XS_10,1.0,,pepper,,,,,,,,,1,idle,
d_ex_library_03_48,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_48,True,,XS_10,XS_10,1.0,,pepper,pepper,,,,,,,,1,delight,
d_ex_library_03_49,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_49,True,,XS_10,XS_10,1.0,,pepper,pepper,,,,,,,,1,good,
d_ex_library_03_50,d_ex_library_03,Monologue,Locale_SuddenStory:d_ex_library_03_50,False,,black,black,1.0,,pepper,,,,,,,,,1,idle,
d_ex_library_03_51,d_ex_library_03,Monologue,Locale_SuddenStory:d_ex_library_03_51,False,,XS_50,XS_10,2.0,,pepper,,,,,,,,,1,idle,
d_ex_library_03_52,d_ex_library_03,Monologue,Locale_SuddenStory:d_ex_library_03_52,False,,XS_10,XS_10,1.0,,pepper,,,,,Blur_Middle,,,,1,idle,
d_ex_library_03_53,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_53,True,,XS_10,XS_100,0.5,,pepper,pepper,,,,,,,,1,idle,
d_ex_library_03_54,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_54,True,,XS_100,XS_100,1.0,,pepper,pepper,,,,,,,,1,idle,
d_ex_library_03_55,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_55,True,,XS_100,XS_100,1.0,,pepper,pepper,,,,,,,,1,delight,
d_ex_library_03_56,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_56,True,,XS_100,XS_10,1.0,,pepper,pepper,,,,,,,,1,surprise,
d_ex_library_03_57,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_57,True,,XS_10,XS_10,1.0,,pepper,pepper,,,,,,,,1,surprise,
d_ex_library_03_58,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_58,True,,XS_10,XS_10,1.0,,pepper,pepper,,,,,,,,1,shy,
d_ex_library_03_59,d_ex_library_03,Choice,Locale_SuddenStory:d_ex_library_03_59,False,,XS_10,XS_10,1.0,,pepper,,d_ex_library_03_61,,,,,,,1,shy,
d_ex_library_03_60,d_ex_library_03,Choice,Locale_SuddenStory:d_ex_library_03_60,False,,XS_10,XS_10,1.0,,pepper,,d_ex_library_03_62,,,,,,,1,shy,
d_ex_library_03_61,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_61,True,,XS_10,XS_10,1.0,,pepper,pepper,d_ex_library_03_64,,,,,,,1,surprise,
d_ex_library_03_62,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_62,True,,XS_10,XS_10,1.0,,pepper,pepper,,,,,,,,1,angry,
d_ex_library_03_63,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_63,True,,XS_10,XS_10,1.0,,pepper,pepper,,,,,,,,1,angry,
d_ex_library_03_64,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_64,True,,XS_10,XS_10,1.0,,pepper,pepper,,,,,,,,1,special,
d_ex_library_03_65,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_65,True,,XS_10,XS_10,1.0,,pepper,pepper,,,,,,,,1,special,
d_ex_library_03_66,d_ex_library_03,Self,Locale_SuddenStory:d_ex_library_03_66,False,,XS_10,XS_10,1.0,,pepper,,,,,,,,,1,special,
d_ex_library_03_67,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_67,True,,XS_10,XS_100,2.0,,pepper,pepper,,,,,,,,1,delight,
d_ex_library_03_68,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_68,True,,XS_100,XS_100,1.0,,pepper,pepper,,,,,,,,1,idle,
d_ex_library_03_69,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_69,True,,XS_100,XS_100,1.0,,pepper,pepper,,,,,,,,1,idle,
d_ex_library_03_70,d_ex_library_03,Monologue,Locale_SuddenStory:d_ex_library_03_70,False,,XS_100,XS_100,1.0,,pepper,,,,,Blur_Middle,,,,1,special,
d_ex_library_03_71,d_ex_library_03,Monologue,Locale_SuddenStory:d_ex_library_03_71,False,,black,black,1.0,none,pepper,,,,,,,,,1,special,pepper
d_ex_library_03_72,d_ex_library_03,Self,Locale_SuddenStory:d_ex_library_03_72,False,,black,black,1.0,,pepper,,,,,,black,,,,,
d_ex_library_03_73,d_ex_library_03,Self,Locale_SuddenStory:d_ex_library_03_73,False,,1,1,1.0,,pepper,,,,,,,,,,,
d_ex_library_03_74,d_ex_library_03,Monologue,Locale_SuddenStory:d_ex_library_03_74,False,,1,XS_10,2.0,,pepper,,,,,,,,,,,
d_ex_library_03_75,d_ex_library_03,Monologue,Locale_SuddenStory:d_ex_library_03_75,False,,black,black,1.0,,pepper,,,,,,,,pepper,1,idle,
d_ex_library_03_76,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_76,True,,XS_10,XS_10,1.0,bgm_story_orangepop,pepper,pepper,,,,Grey,,Vignetting,,1,idle,
d_ex_library_03_77,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_77,True,,XS_10,XS_10,1.0,,pepper,pepper,,,,Grey,,Vignetting,,1,idle,
d_ex_library_03_78,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_78,True,,XS_10,XS_10,1.0,,pepper,pepper,,,,Grey,,Vignetting,,1,angry,
d_ex_library_03_79,d_ex_library_03,Speech,Locale_SuddenStory:d_ex_library_03_79,True,,XS_10,XS_10,1.0,,pepper,pepper,,,,Grey,,Vignetting,,1,delight,
