id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_subquest_1192_e_1,d_subquest_1192_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1192_e_1,True,Desert_01,2,20,0.3,bgm_emergency,,,,rapi,4,idle,anis,2,angry,neon,12,idle,,,,
d_subquest_1192_e_2,d_subquest_1192_e,Monologue,,,Locale_SubScenario:d_subquest_1192_e_2,False,,black,black,1.0,,,,,,4,idle,,2,angry,,12,idle,,,,
d_subquest_1192_e_3,d_subquest_1192_e,Narration,,Narration,Locale_SubScenario:d_subquest_1192_e_3,False,,black,black,1.0,,sfx_scn_trip,,,,4,idle,,2,angry,,12,idle,,,,
d_subquest_1192_e_4,d_subquest_1192_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1192_e_4,True,,4,40,0.5,,,,,,4,angry,,2,angry,,12,idle,,,,
d_subquest_1192_e_5,d_subquest_1192_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1192_e_5,True,,S_120,S_120,1.0,,,,,,4,angry,,2,angry,,12,idle,,,,
d_subquest_1192_e_6,d_subquest_1192_e,Self,neon,Self,Locale_SubScenario:d_subquest_1192_e_6,False,,S_120,S_120,1.0,none,,,,,4,angry,,2,angry,,12,idle,,,,
d_subquest_1192_e_7,d_subquest_1192_e,Monologue,,,Locale_SubScenario:d_subquest_1192_e_7,False,,black,black,2.0,,,Low_2,,,4,idle,,2,idle,,12,idle,,,,
d_subquest_1192_e_8,d_subquest_1192_e,Speech,voltjr,voltjr,Locale_SubScenario:d_subquest_1192_e_8,True,,1,1,1.0,,,,,,4,idle,,2,idle,,12,idle,voltjr,1,idle,
d_subquest_1192_e_9,d_subquest_1192_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1192_e_9,True,,1,1,1.0,,,,,,4,idle,,2,worry,,12,idle,,1,idle,
d_subquest_1192_e_10,d_subquest_1192_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1192_e_10,True,,1,1,1.0,,,,,,4,idle,,2,angry,,12,idle,,1,idle,
d_subquest_1192_e_11,d_subquest_1192_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1192_e_11,True,,1,S_120,2.0,,,,,,4,idle,,2,angry,,12,idle,,1,idle,
d_subquest_1192_e_12,d_subquest_1192_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1192_e_12,True,,S_120,S_120,1.0,,,,,,4,idle,,2,angry,,12,idle,,1,idle,
d_subquest_1192_e_13,d_subquest_1192_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1192_e_13,True,,S_120,S_120,1.0,,,,,,4,idle,,2,angry,,12,idle,,1,idle,
d_subquest_1192_e_14,d_subquest_1192_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1192_e_14,True,,S_120,20,0.5,,,,,,4,idle,,2,angry,,12,idle,,1,idle,
d_subquest_1192_e_15,d_subquest_1192_e,Speech,voltjr,voltjr,Locale_SubScenario:d_subquest_1192_e_15,True,,6002,6002,1.0,,,,,,4,idle,,2,angry,,12,idle,,1,idle,
d_subquest_1192_e_16,d_subquest_1192_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1192_e_16,True,,6002,20,2.0,bgm_story_weare,,,,,4,idle,,2,worry,,12,idle,,1,idle,
d_subquest_1192_e_17,d_subquest_1192_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1192_e_17,True,,20,3,1.0,,,,,,4,idle,,2,worry,,12,idle,,1,idle,
d_subquest_1192_e_18,d_subquest_1192_e,Self,,Self,Locale_SubScenario:d_subquest_1192_e_18,False,,3,3,1.0,,,,,,4,idle,,2,void,,12,idle,,1,idle,
