id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,play_sound,set_camera_shake,fade,effects/0/play_effect_id,effects/0/set_effect_position
d_main_22_12_e_1,d_main_22_12_e,Speech,nihilister,nihilister,Locale_MainScenario:d_main_22_12_e_1,True,enikk,1,special,rapi,3,angry,neon,5,idle,poli,7,angry,miranda,9,idle,anis,13,angry,nihilister,15,angry,EnikkRoom,15,150,1.0,bgm_disaster,,,,,,,,,,,,
d_main_22_12_e_2,d_main_22_12_e,Speech,nihilister,nihilister,Locale_MainScenario:d_main_22_12_e_2,True,,1,special,,3,angry,,5,idle,,7,angry,,9,idle,,13,angry,,15,idle,,150,150,1.0,,,,,,,,,,,,,
d_main_22_12_e_3,d_main_22_12_e,Speech,nihilister,nihilister,Locale_MainScenario:d_main_22_12_e_3,True,,1,special,,3,angry,,5,idle,,7,angry,,9,idle,,13,angry,,15,idle,,150,150,1.0,,,,,,,,,,,,,
d_main_22_12_e_4,d_main_22_12_e,Speech,nihilister,nihilister,Locale_MainScenario:d_main_22_12_e_4,True,,1,special,,3,angry,,5,idle,,7,angry,,9,idle,,13,angry,,15,angry,,150,150,1.0,,,,,,,,,,,,,
d_main_22_12_e_5,d_main_22_12_e,Narration,,,Locale_MainScenario:d_main_22_12_e_5,False,,1,special,,3,angry,,5,idle,,7,angry,,9,idle,,13,angry,,15,angry,EventScene_Chap_22_03,black,black,1.0,,enikk,rapi,neon,poli,miranda,anis,nihilister,mba002_phase2_4,,,,
d_main_22_12_e_6,d_main_22_12_e,Monologue,,,Locale_MainScenario:d_main_22_12_e_6,False,,,,,,,,,,,,,,,,,,,,,,,nihilisterattack_01,nihilisterattack_01,1.0,,,,,,,,,,,,,
d_main_22_12_e_7,d_main_22_12_e,Speech,rapi,rapi,Locale_MainScenario:d_main_22_12_e_7,True,,,,,,,,,,,,,,,,,,,,,,,nihilisterattack_01,nihilisterattack_01,1.0,,,,,,,,,,,,,
d_main_22_12_e_8,d_main_22_12_e,Speech,nihilister,nihilister,Locale_MainScenario:d_main_22_12_e_8,True,,,,,,,,,,,,,,,,,,,,,,,nihilisterattack_01,nihilisterattack_02,3.0,,,,,,,,,,,,,
d_main_22_12_e_9,d_main_22_12_e,Speech,rapi,rapi,Locale_MainScenario:d_main_22_12_e_9,True,,,,,,,,,,,,,,,,,,,,,,,nihilisterattack_02,nihilisterattack_02,1.0,,,,,,,,,,,,,
d_main_22_12_e_10,d_main_22_12_e,Speech,enikk,enikk,Locale_MainScenario:d_main_22_12_e_10,True,,,,,,,,,,,,,,,,,,,,,,,nihilisterattack_02,nihilisterattack_02,1.0,,,,,,,,,,,,,
d_main_22_12_e_11,d_main_22_12_e,Speech,nihilister,nihilister,Locale_MainScenario:d_main_22_12_e_11,True,,,,,,,,,,,,,,,,,,,,,,,nihilisterattack_02,nihilisterattack_01,3.0,,,,,,,,,,Low_2,,,
d_main_22_12_e_12,d_main_22_12_e,Narration,,,Locale_MainScenario:d_main_22_12_e_12,False,,,,,,,,,,,,,,,,,,,,,,,nihilisterattack_01,nihilisterattack_01,1.0,,,,,,,,,sfx_scn_firebreath,,,,
d_main_22_12_e_13,d_main_22_12_e,Narration,,,Locale_MainScenario:d_main_22_12_e_13,False,,,,,,,,,,,,,,,,,,,,,,,nihilisterattack_01,nihilisterattack_03,3.0,,,,,,,,,,,,,
d_main_22_12_e_14,d_main_22_12_e,Speech,miranda,miranda,Locale_MainScenario:d_main_22_12_e_14,True,,,,,,,,,,,,,,,,,,,,,,,nihilisterattack_03,nihilisterattack_03,1.0,,,,,,,,,,,,,
d_main_22_12_e_15,d_main_22_12_e,Speech,miranda,miranda,Locale_MainScenario:d_main_22_12_e_15,True,,,,,,,,,,,,,,,,,,,,,,,nihilisterattack_03,nihilisterattack_03,1.0,,,,,,,,,,,,,
d_main_22_12_e_16,d_main_22_12_e,Speech,poli,poli,Locale_MainScenario:d_main_22_12_e_16,True,,,,,,,,,,,,,,,,,,,,,,,nihilisterattack_03,nihilisterattack_03,1.0,,,,,,,,,,,,,
d_main_22_12_e_17,d_main_22_12_e,Speech,anis,anis,Locale_MainScenario:d_main_22_12_e_17,True,,,,,,,,,,,,,,,,,,,,,,,nihilisterattack_03,nihilisterattack_03,1.0,,,,,,,,,,,,,
d_main_22_12_e_18,d_main_22_12_e,Speech,neon,neon,Locale_MainScenario:d_main_22_12_e_18,True,,,,,,,,,,,,,,,,,,,,,,,nihilisterattack_03,nihilisterattack_03,1.0,,,,,,,,,,,,,
d_main_22_12_e_19,d_main_22_12_e,Speech,enikk,enikk,Locale_MainScenario:d_main_22_12_e_19,True,,,,,,,,,,,,,,,,,,,,,,,nihilisterattack_03,nihilisterattack_04,1.0,,,,,,,,,,,,,
d_main_22_12_e_20,d_main_22_12_e,Speech,anis,anis,Locale_MainScenario:d_main_22_12_e_20,True,,,,,,,,,,,,,,,,,,,,,,,nihilisterattack_04,nihilisterattack_04,1.0,,,,,,,,,,,,,
d_main_22_12_e_21,d_main_22_12_e,Speech,neon,neon,Locale_MainScenario:d_main_22_12_e_21,True,,,,,,,,,,,,,,,,,,,,,,,nihilisterattack_04,nihilisterattack_04,1.0,,,,,,,,,,,,,
d_main_22_12_e_22,d_main_22_12_e,Speech,nihilister,nihilister,Locale_MainScenario:d_main_22_12_e_22,True,,,,,,,,,,,,,,,,,,,,,,,nihilisterattack_04,nihilisterattack_02,3.0,,,,,,,,,,Low_2,,,
d_main_22_12_e_23,d_main_22_12_e,Speech,rapi,rapi,Locale_MainScenario:d_main_22_12_e_23,True,,,,,,,,,,,,,,,,,,,,,,,nihilisterattack_02,nihilisterattack_02,1.0,,,,,,,,,,,,,
d_main_22_12_e_24,d_main_22_12_e,Speech,enikk,enikk,Locale_MainScenario:d_main_22_12_e_24,True,,,,,,,,,,,,,,,,,,,,,,,nihilisterattack_02,nihilisterattack_02,1.0,,,,,,,,,,,,,
d_main_22_12_e_25,d_main_22_12_e,Speech,enikk,enikk,Locale_MainScenario:d_main_22_12_e_25,True,,,,,,,,,,,,,,,,,,,,,,,nihilisterattack_02,nihilisterattack_01,2.0,,,,,,,,,,,,,
d_main_22_12_e_26,d_main_22_12_e,Self,,,Locale_MainScenario:d_main_22_12_e_26,False,,,,,,,,,,,,,,,,,,,,,,,nihilisterattack_01,nihilisterattack_01,1.0,,,,,,,,,,,,,
d_main_22_12_e_27,d_main_22_12_e,Narration,,,Locale_MainScenario:d_main_22_12_e_27,False,,,,,,,,,,,,,,,,,,,,,,EventScene_Chap_22_04,black,black,0.5,none,,,,,,,,sfx_scn_flashlightpass,,,,
d_main_22_12_e_28,d_main_22_12_e,Speech,nihilister,nihilister,Locale_MainScenario:d_main_22_12_e_28,True,,,,,,,,,,,,,,,,,,,,,,,nihilisterend_01,nihilisterend_01,1.0,,,,,,,,,,Low_2,,,
