id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_camera_shake,play_sound,jump_target,characters/0/hide_char_id
d_ex_powerplant_04_1,d_ex_powerplant_04,Monologue,Locale_SuddenStory:d_ex_powerplant_04_1,False,TechIndoor,3,13,2.0,bgm_story_armageddon,,,,,,,,,,,,,,,
d_ex_powerplant_04_2,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_2,True,,13,130,0.5,,maxwell,maxwell,admi,1,surprise,maxwell,13,angry,,,,,,,
d_ex_powerplant_04_3,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_3,True,,XS_10,XS_10,1.0,,admi,admi,,1,surprise,,13,angry,,,,,,,
d_ex_powerplant_04_4,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_4,True,,XS_10,12,1.0,,maxwell,maxwell,,1,surprise,,13,angry,,,,,,,
d_ex_powerplant_04_5,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_5,True,,12,12,1.0,,maxwell,maxwell,,1,surprise,,13,angry,,,,,,,
d_ex_powerplant_04_6,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_6,True,,12,12,1.0,,admi,admi,,1,surprise,,13,angry,,,,,,,
d_ex_powerplant_04_7,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_7,True,,12,12,1.0,,maxwell,maxwell,,1,surprise,,13,angry,,,,,,,
d_ex_powerplant_04_8,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_8,True,,12,130,0.5,,maxwell,maxwell,,1,surprise,,13,angry,,,,,,,
d_ex_powerplant_04_9,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_9,True,,130,XS_10,2.0,,admi,admi,,1,surprise,,13,angry,,,,,,,
d_ex_powerplant_04_10,d_ex_powerplant_04,Self,Locale_SuddenStory:d_ex_powerplant_04_10,False,,XS_10,XS_10,1.0,,admi,,,1,surprise,,13,angry,,,,,,,
d_ex_powerplant_04_11,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_11,True,,XS_10,12,1.0,,maxwell,maxwell,,1,surprise,,13,delight,,,,,,,
d_ex_powerplant_04_12,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_12,True,,12,12,1.0,,maxwell,maxwell,,1,surprise,,13,idle,,,,,,,
d_ex_powerplant_04_13,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_13,True,,12,12,1.0,,admi,admi,,1,surprise,,13,idle,,,,,,,
d_ex_powerplant_04_14,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_14,True,,12,12,1.0,,admi,admi,,1,surprise,,13,idle,,,,,,,
d_ex_powerplant_04_15,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_15,True,,12,12,1.0,,maxwell,maxwell,,1,surprise,,13,angry,,,,,,,
d_ex_powerplant_04_16,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_16,True,,12,12,1.0,,maxwell,maxwell,,1,surprise,,13,angry,,,,,,,
d_ex_powerplant_04_17,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_17,True,,12,12,1.0,,maxwell,maxwell,,1,surprise,,13,angry,,,,,,,
d_ex_powerplant_04_18,d_ex_powerplant_04,Self,Locale_SuddenStory:d_ex_powerplant_04_18,False,,12,12,1.0,,maxwell,,,1,surprise,,13,angry,,,,,,,
d_ex_powerplant_04_19,d_ex_powerplant_04,Self,Locale_SuddenStory:d_ex_powerplant_04_19,False,,12,12,1.0,,maxwell,,,1,surprise,,13,angry,,,,,,,
d_ex_powerplant_04_20,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_20,True,,12,130,0.5,none,maxwell,maxwell,,1,idle,,13,idle,,,,,,,
d_ex_powerplant_04_21,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_21,True,,XS_10,XS_10,1.0,,admi,admi,,1,idle,,13,idle,,,,,,,
d_ex_powerplant_04_22,d_ex_powerplant_04,Self,Locale_SuddenStory:d_ex_powerplant_04_22,False,,XS_10,XS_10,1.0,,admi,,,1,idle,,13,idle,,,,,,,
d_ex_powerplant_04_23,d_ex_powerplant_04,Self,Locale_SuddenStory:d_ex_powerplant_04_23,False,,XS_10,XS_10,1.0,bgm_story_herecomestrouble,admi,,,1,idle,,13,idle,,,,,,,
d_ex_powerplant_04_24,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_24,True,,XS_10,S_50,2.0,,jackal,jackal,,1,idle,,13,idle,jackal,5,crazy,,,,
d_ex_powerplant_04_25,d_ex_powerplant_04,Self,Locale_SuddenStory:d_ex_powerplant_04_25,False,,S_50,S_50,1.0,,jackal,,,1,idle,,13,idle,,5,crazy,,,,
d_ex_powerplant_04_26,d_ex_powerplant_04,Monologue,Locale_SuddenStory:d_ex_powerplant_04_26,False,,S_50,S_500,0.5,,jackal,,,1,idle,,13,idle,,5,crazy,Low_2,,,
d_ex_powerplant_04_27,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_27,True,,S_500,S_500,1.0,,jackal,jackal,,1,idle,,13,idle,,5,crazy,,,,
d_ex_powerplant_04_28,d_ex_powerplant_04,Narration,Locale_SuddenStory:d_ex_powerplant_04_28,False,,S_500,S_500,1.0,,jackal,,,1,idle,,13,idle,,5,crazy,Low_2,sfx_scn_spark,,
d_ex_powerplant_04_29,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_29,True,,S_500,S_50,0.5,,jackal,jackal,,1,surprise,,13,idle,,5,shy_02,,,,
d_ex_powerplant_04_30,d_ex_powerplant_04,Narration,Locale_SuddenStory:d_ex_powerplant_04_30,False,,S_50,S_50,1.0,,jackal,,,1,surprise,,13,angry,,5,shy_02,Low_2,sfx_scn_spark,,
d_ex_powerplant_04_31,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_31,True,,12,12,1.0,,maxwell,maxwell,,1,surprise,,13,angry,,5,shy_02,,,,
d_ex_powerplant_04_32,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_32,True,,12,12,1.0,,admi,admi,,1,surprise,,13,angry,,5,shy_02,,,,
d_ex_powerplant_04_33,d_ex_powerplant_04,Self,Locale_SuddenStory:d_ex_powerplant_04_33,False,,12,12,1.0,,admi,,,1,surprise,,13,angry,,5,shy_02,,,,
d_ex_powerplant_04_34,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_34,True,,S_50,S_50,1.0,,jackal,jackal,,1,surprise,,13,angry,,5,crazy,,,,
d_ex_powerplant_04_35,d_ex_powerplant_04,Narration,Locale_SuddenStory:d_ex_powerplant_04_35,False,,S_50,S_50,1.0,,jackal,,,1,surprise,,13,angry,,5,crazy,Low_2,sfx_scn_heavyspark,,
d_ex_powerplant_04_36,d_ex_powerplant_04,Monologue,Locale_SuddenStory:d_ex_powerplant_04_36,True,,S_50,S_50,1.0,,jackal,,,1,surprise,,13,angry,,5,crazy,,,,
d_ex_powerplant_04_37,d_ex_powerplant_04,Monologue,Locale_SuddenStory:d_ex_powerplant_04_37,False,,S_50,S_50,1.0,,jackal,,,1,surprise,,13,angry,,5,crazy,,,,
d_ex_powerplant_04_38,d_ex_powerplant_04,Choice,Locale_SuddenStory:d_ex_powerplant_04_38,False,,S_50,S_50,1.0,,jackal,,,1,surprise,,13,angry,,5,crazy,,,d_ex_powerplant_04_43,
d_ex_powerplant_04_39,d_ex_powerplant_04,Choice,Locale_SuddenStory:d_ex_powerplant_04_39,False,,S_50,S_50,1.0,,jackal,,,1,surprise,,13,angry,,5,crazy,,,d_ex_powerplant_04_40,
d_ex_powerplant_04_40,d_ex_powerplant_04,Monologue,Locale_SuddenStory:d_ex_powerplant_04_40,False,,S_50,S_50,1.0,,jackal,,,1,surprise,,13,angry,,5,crazy,,,,
d_ex_powerplant_04_41,d_ex_powerplant_04,Monologue,Locale_SuddenStory:d_ex_powerplant_04_41,False,,S_50,S_50,1.0,,jackal,,,1,surprise,,13,angry,,5,crazy,,,,
d_ex_powerplant_04_42,d_ex_powerplant_04,Monologue,Locale_SuddenStory:d_ex_powerplant_04_42,False,,S_50,S_50,1.0,,jackal,,,1,surprise,,13,angry,,5,crazy,,,d_ex_powerplant_04_43,
d_ex_powerplant_04_43,d_ex_powerplant_04,Self,Locale_SuddenStory:d_ex_powerplant_04_43,False,,S_50,S_50,1.0,,jackal,,,1,surprise,,13,angry,,5,crazy,,,,
d_ex_powerplant_04_44,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_44,True,,S_50,S_500,0.5,,jackal,jackal,,1,surprise,,13,angry,,5,shy_01,,,,
d_ex_powerplant_04_45,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_45,True,,S_500,S_500,1.0,,jackal,jackal,,1,surprise,,13,angry,,5,crazy,,,,
d_ex_powerplant_04_46,d_ex_powerplant_04,Self,Locale_SuddenStory:d_ex_powerplant_04_46,False,,S_500,S_500,1.0,,jackal,,,1,surprise,,13,angry,,5,crazy,,,,
d_ex_powerplant_04_47,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_47,True,,S_500,S_50,0.5,,jackal,jackal,,1,surprise,,13,angry,,5,shy_02,,,,
d_ex_powerplant_04_48,d_ex_powerplant_04,Monologue,Locale_SuddenStory:d_ex_powerplant_04_48,False,,S_50,S_30,1.0,,jackal,,,1,surprise,,13,angry,,3,shy_02,Low_2,,,
d_ex_powerplant_04_49,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_49,True,,S_30,S_30,1.0,,jackal,jackal,,1,surprise,,13,angry,,3,shy_02,,,,
d_ex_powerplant_04_50,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_50,False,,S_30,12,2.0,,maxwell,maxwell,,1,surprise,,13,angry,,3,shy_02,,,,
d_ex_powerplant_04_51,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_51,False,,12,12,1.0,,admi,admi,,1,surprise,,13,angry,,3,shy_02,,,,
d_ex_powerplant_04_52,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_52,True,,S_30,S_30,1.0,,jackal,jackal,,1,surprise,,13,angry,,3,crazy,,,,
d_ex_powerplant_04_53,d_ex_powerplant_04,Self,Locale_SuddenStory:d_ex_powerplant_04_53,False,,S_30,S_30,1.0,,jackal,,,1,surprise,,13,angry,,3,crazy,,,,
d_ex_powerplant_04_54,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_54,True,,S_30,S_300,0.5,,jackal,jackal,,1,surprise,,13,angry,,3,shy_02,,,,
d_ex_powerplant_04_55,d_ex_powerplant_04,Monologue,Locale_SuddenStory:d_ex_powerplant_04_55,False,,S_300,3,2.0,,jackal,,,1,surprise,,13,angry,,3,shy_02,,,,jackal
d_ex_powerplant_04_56,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_56,True,,3,12,2.0,,maxwell,maxwell,,1,surprise,,13,angry,,,,,,,
d_ex_powerplant_04_57,d_ex_powerplant_04,Speech,Locale_SuddenStory:d_ex_powerplant_04_57,True,,12,12,1.0,,admi,admi,,1,surprise,,13,angry,,,,,,,
