id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_ex_church_05_1,d_ex_church_05,Monologue,Monologue,Locale_SuddenStory:d_ex_church_05_1,False,Church,5,1,2.0,bgm_story_fairytalesend_if,,,,,,,,,
d_ex_church_05_2,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_2,True,,1,1,1.0,,d,d,1,idle,,,,,
d_ex_church_05_3,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_3,True,,1,1,1.0,,d,,1,idle,,,,,
d_ex_church_05_4,d_ex_church_05,Choice,,Locale_SuddenStory:d_ex_church_05_4,False,,1,1,1.0,,,,1,idle,d_ex_church_05_6,,,,
d_ex_church_05_5,d_ex_church_05,Choice,,Locale_SuddenStory:d_ex_church_05_5,False,,1,1,1.0,,,,1,idle,d_ex_church_05_12,,,,
d_ex_church_05_6,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_6,True,,1,1,1.0,,d,,1,idle,,,,,
d_ex_church_05_7,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_7,False,,1,10,2.0,,d,,1,think,,,,,
d_ex_church_05_8,d_ex_church_05,Self,Self,Locale_SuddenStory:d_ex_church_05_8,False,,10,10,1.0,,,,1,think,,,,,
d_ex_church_05_9,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_9,True,,10,10,1.0,,d,,1,idle,,,,,
d_ex_church_05_10,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_10,True,,10,10,1.0,,d,,1,idle,,,,,
d_ex_church_05_11,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_11,True,,10,10,1.0,,d,,1,idle,d_ex_church_05_25,,,,
d_ex_church_05_12,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_12,True,,1,1,1.0,,d,,1,idle,,,,,
d_ex_church_05_13,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_13,True,,1,1,1.0,,d,,1,idle,,,,,
d_ex_church_05_14,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_14,True,,1,10,2.0,,d,,1,idle,,,,,
d_ex_church_05_15,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_15,True,,10,10,1.0,,d,,1,idle,,,,,
d_ex_church_05_16,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_16,True,,10,10,1.0,,d,,1,idle,,,,,
d_ex_church_05_17,d_ex_church_05,Choice,,Locale_SuddenStory:d_ex_church_05_17,False,,10,10,1.0,,,,1,idle,d_ex_church_05_19,,,,
d_ex_church_05_18,d_ex_church_05,Choice,,Locale_SuddenStory:d_ex_church_05_18,False,,10,10,1.0,,,,1,idle,d_ex_church_05_21,,,,
d_ex_church_05_19,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_19,True,,10,10,1.0,,d,,1,idle,,,,,
d_ex_church_05_20,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_20,True,,10,10,1.0,,d,,1,idle,d_ex_church_05_25,,,,
d_ex_church_05_21,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_21,False,,10,10,1.0,,d,,1,think,,,,,
d_ex_church_05_22,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_22,True,,10,10,1.0,,d,,1,idle,,,,,
d_ex_church_05_23,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_23,True,,10,10,1.0,,d,,1,idle,,,,,
d_ex_church_05_24,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_24,True,,10,10,1.0,,d,,1,idle,,,,,
d_ex_church_05_25,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_25,False,,10,10,1.0,,d,,1,idle,,,,,
d_ex_church_05_26,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_26,True,,10,1,2.0,,d,,1,idle,,,,,
d_ex_church_05_27,d_ex_church_05,Narration,Narration,Locale_SuddenStory:d_ex_church_05_27,False,,1,5,1.0,none,,,1,idle,,sfx_scn_machinewing,,,
d_ex_church_05_28,d_ex_church_05,Monologue,Monologue,Locale_SuddenStory:d_ex_church_05_28,False,,5,5,1.0,,,,1,idle,,,,,
d_ex_church_05_29,d_ex_church_05,Monologue,Monologue,Locale_SuddenStory:d_ex_church_05_29,False,,5,5,1.0,,,,1,idle,,,isabel,5,idle
d_ex_church_05_30,d_ex_church_05,Monologue,Monologue,Locale_SuddenStory:d_ex_church_05_30,False,,5,12,0.7,,,,12,idle,,,,5,idle
d_ex_church_05_31,d_ex_church_05,Speech,isabel,Locale_SuddenStory:d_ex_church_05_31,True,,S_50,S_50,1.0,bgm_story_kneeldownfools,isabel,,12,idle,,,,5,surprise
d_ex_church_05_32,d_ex_church_05,Speech,isabel,Locale_SuddenStory:d_ex_church_05_32,True,,S_50,S_50,1.0,,isabel,,12,idle,,,,5,surprise
d_ex_church_05_33,d_ex_church_05,Speech,isabel,Locale_SuddenStory:d_ex_church_05_33,True,,S_50,5,2.0,,isabel,,12,idle,,,,5,shy
d_ex_church_05_34,d_ex_church_05,Speech,isabel,Locale_SuddenStory:d_ex_church_05_34,True,,5,5,1.0,,isabel,,12,idle,,,,5,shy
d_ex_church_05_35,d_ex_church_05,Speech,isabel,Locale_SuddenStory:d_ex_church_05_35,False,,5,5,1.0,,isabel,,12,idle,,,,5,shy
d_ex_church_05_36,d_ex_church_05,Speech,isabel,Locale_SuddenStory:d_ex_church_05_36,True,,5,5,1.0,,isabel,,12,idle,,,,5,idle
d_ex_church_05_37,d_ex_church_05,Speech,isabel,Locale_SuddenStory:d_ex_church_05_37,True,,5,5,1.0,,isabel,,12,idle,,,,5,idle
d_ex_church_05_38,d_ex_church_05,Monologue,Monologue,Locale_SuddenStory:d_ex_church_05_38,False,,120,120,1.0,,,,12,idle,,,,5,idle
d_ex_church_05_39,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_39,True,,120,120,1.0,,d,,12,angry,,,,5,idle
d_ex_church_05_40,d_ex_church_05,Choice,,Locale_SuddenStory:d_ex_church_05_40,False,,120,120,1.0,,,,12,angry,d_ex_church_05_42,,,5,idle
d_ex_church_05_41,d_ex_church_05,Choice,,Locale_SuddenStory:d_ex_church_05_41,False,,120,120,1.0,,,,12,angry,d_ex_church_05_46,,,5,idle
d_ex_church_05_42,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_42,False,,120,120,1.0,,d,,12,surprise,,,,5,idle
d_ex_church_05_43,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_43,True,,120,120,1.0,,d,,12,surprise,,,,5,idle
d_ex_church_05_44,d_ex_church_05,Self,Self,Locale_SuddenStory:d_ex_church_05_44,False,,120,120,1.0,,,,12,surprise,,,,5,idle
d_ex_church_05_45,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_45,False,,120,120,1.0,,d,,12,think,d_ex_church_05_50,,,5,idle
d_ex_church_05_46,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_46,True,,120,120,1.0,,d,,12,surprise,,,,5,idle
d_ex_church_05_47,d_ex_church_05,Self,Self,Locale_SuddenStory:d_ex_church_05_47,False,,120,120,1.0,,,,12,surprise,,,,5,idle
d_ex_church_05_48,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_48,True,,120,120,1.0,,d,,12,idle,,,,5,idle
d_ex_church_05_49,d_ex_church_05,Self,Self,Locale_SuddenStory:d_ex_church_05_49,False,,120,120,1.0,,,,12,idle,,,,5,idle
d_ex_church_05_50,d_ex_church_05,Speech,isabel,Locale_SuddenStory:d_ex_church_05_50,True,,5,5,1.0,,isabel,,12,idle,,,,5,idle
d_ex_church_05_51,d_ex_church_05,Monologue,Monologue,Locale_SuddenStory:d_ex_church_05_51,False,,black,black,1.0,,,,12,idle,,sfx_scn_rustle,,5,idle
d_ex_church_05_52,d_ex_church_05,Speech,isabel,Locale_SuddenStory:d_ex_church_05_52,True,,5,5,1.0,,isabel,,12,idle,,,,5,idle
d_ex_church_05_53,d_ex_church_05,Speech,isabel,Locale_SuddenStory:d_ex_church_05_53,True,,5,5,1.0,,isabel,,12,idle,,,,5,idle
d_ex_church_05_54,d_ex_church_05,Speech,isabel,Locale_SuddenStory:d_ex_church_05_54,True,,5,5,1.0,,isabel,,12,idle,,,,5,idle
d_ex_church_05_55,d_ex_church_05,Monologue,Monologue,Locale_SuddenStory:d_ex_church_05_55,False,,black,black,1.0,,,,12,idle,,sfx_scn_rustle,,5,idle
d_ex_church_05_56,d_ex_church_05,Monologue,Monologue,Locale_SuddenStory:d_ex_church_05_56,False,,black,black,1.0,,,,12,idle,,sfx_scn_soup,,5,idle
d_ex_church_05_57,d_ex_church_05,Speech,isabel,Locale_SuddenStory:d_ex_church_05_57,True,,5,5,1.0,,isabel,,12,idle,,,,5,good
d_ex_church_05_58,d_ex_church_05,Speech,isabel,Locale_SuddenStory:d_ex_church_05_58,True,,5,5,1.0,,isabel,,12,idle,,,,5,idle
d_ex_church_05_59,d_ex_church_05,Speech,isabel,Locale_SuddenStory:d_ex_church_05_59,True,,5,S_50,2.0,,isabel,,12,idle,,,,5,shy
