id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,fade,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,set_camera_shake
d_main_23_11_e_1,d_main_23_11_e,Speech,rapi,rapi,Locale_MainScenario:d_main_23_11_e_1,True,rapi,1,idle,anis,3,worry,neon,13,idle,BurningCity,2,2,1.0,bgm_greyhaze_b,,,,,,,,,,
d_main_23_11_e_2,d_main_23_11_e,Speech,anis,anis,Locale_MainScenario:d_main_23_11_e_2,True,,1,idle,,3,worry,,13,idle,,2,2,1.0,,,,,,,,,,,
d_main_23_11_e_3,d_main_23_11_e,Speech,neon,neon,Locale_MainScenario:d_main_23_11_e_3,False,,1,idle,,3,worry,,13,worry,,2,12,1.0,,,,,,,,,,,
d_main_23_11_e_4,d_main_23_11_e,Monologue,,,Locale_MainScenario:d_main_23_11_e_4,False,,1,idle,,3,worry,,13,worry,,12,17,1.0,,,,,,,,,,,
d_main_23_11_e_5,d_main_23_11_e,Monologue,,,Locale_MainScenario:d_main_23_11_e_5,False,,1,idle,,3,worry,,13,worry,,17,17,1.0,,,,,,,,,,,
d_main_23_11_e_6,d_main_23_11_e,Monologue,,,Locale_MainScenario:d_main_23_11_e_6,False,,1,idle,,3,worry,,13,worry,,17,17,1.0,,,,,,,,,,,
d_main_23_11_e_7,d_main_23_11_e,Narration,,,Locale_MainScenario:d_main_23_11_e_7,False,,1,idle,,3,worry,,13,worry,,17,17,1.0,,sfx_scn_phonevibration,,,,,,,,,
d_main_23_11_e_8,d_main_23_11_e,Self,,,Locale_MainScenario:d_main_23_11_e_8,False,,1,idle,,3,worry,,13,worry,,17,17,1.0,,,,,,,,,,,
d_main_23_11_e_9,d_main_23_11_e,Monologue,,,Locale_MainScenario:d_main_23_11_e_9,False,,1,idle,,3,worry,,13,worry,,17,17,1.0,,,,,,,,,,,
d_main_23_11_e_10,d_main_23_11_e,Monologue,,,Locale_MainScenario:d_main_23_11_e_10,False,,1,idle,,3,worry,,13,worry,,17,17,1.0,,,,,,,,,,,
