id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,fade,set_filter_01,set_camera_shake
d_ex_shopping_01_1,d_ex_shopping_01,Speech,privaty,privaty,Locale_SuddenStory:d_ex_shopping_01_1,True,privaty,1,sad,ShoppingMall,1,1,1.0,bgm_story_orangepop,,,,,,,,,,
d_ex_shopping_01_2,d_ex_shopping_01,Speech,privaty,privaty,Locale_SuddenStory:d_ex_shopping_01_2,True,,1,sad,,1,1,1.0,,,,,,,,,,,
d_ex_shopping_01_3,d_ex_shopping_01,Speech,privaty,privaty,Locale_SuddenStory:d_ex_shopping_01_3,True,,1,delight,,1,10,0.3,,,,,,,,,,,
d_ex_shopping_01_4,d_ex_shopping_01,Speech,privaty,privaty,Locale_SuddenStory:d_ex_shopping_01_4,True,,1,delight,,10,10,1.0,,,,,,,,,,,
d_ex_shopping_01_5,d_ex_shopping_01,Speech,privaty,privaty,Locale_SuddenStory:d_ex_shopping_01_5,True,,1,delight,,10,10,1.0,,,,,,,,,,,
d_ex_shopping_01_6,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_6,True,,1,delight,,10,10,1.0,,dolla,13,idle,,,,,,,
d_ex_shopping_01_7,d_ex_shopping_01,Speech,privaty,privaty,Locale_SuddenStory:d_ex_shopping_01_7,True,,1,surprise,,10,10,1.0,,,13,idle,,,,,,,
d_ex_shopping_01_8,d_ex_shopping_01,Speech,privaty,privaty,Locale_SuddenStory:d_ex_shopping_01_8,True,,1,surprise,,10,12,0.3,,,13,idle,,,,,,,
d_ex_shopping_01_9,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_9,True,,1,surprise,,12,12,1.0,,,13,idle,,,,,,,
d_ex_shopping_01_10,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_10,True,,1,surprise,,12,12,1.0,,,13,idle,,,,,,,
d_ex_shopping_01_11,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_11,True,,1,surprise,,12,12,1.0,,,13,good,,,,,,,
d_ex_shopping_01_12,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_12,True,,1,surprise,,12,S_130,2.0,,,13,good,,,,,,,
d_ex_shopping_01_13,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_13,True,,1,surprise,,S_130,S_130,1.0,,,13,good,,,,,,,
d_ex_shopping_01_14,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_14,True,,1,surprise,,S_130,S_130,1.0,,,13,good,,,,,,,
d_ex_shopping_01_15,d_ex_shopping_01,Speech,privaty,privaty,Locale_SuddenStory:d_ex_shopping_01_15,True,,1,surprise,,S_130,10,0.3,,,13,good,,,,,,,
d_ex_shopping_01_16,d_ex_shopping_01,Speech,privaty,privaty,Locale_SuddenStory:d_ex_shopping_01_16,True,,1,shy,,10,10,1.0,,,13,good,,,,,,,
d_ex_shopping_01_17,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_17,True,,1,shy,,10,12,2.0,,,13,good,,,,,,,
d_ex_shopping_01_18,d_ex_shopping_01,Choice,dolla,,Locale_SuddenStory:d_ex_shopping_01_18,True,,1,shy,,12,12,1.0,,,13,good,d_ex_shopping_01_20,,,,,,
d_ex_shopping_01_19,d_ex_shopping_01,Choice,dolla,,Locale_SuddenStory:d_ex_shopping_01_19,True,,1,shy,,12,12,1.0,,,13,good,d_ex_shopping_01_20,,,,,,
d_ex_shopping_01_20,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_20,True,,1,shy,,12,12,1.0,,,13,good,,,,,,,
d_ex_shopping_01_21,d_ex_shopping_01,Narration,dolla,,Locale_SuddenStory:d_ex_shopping_01_21,True,,1,shy,,12,S_130,1.0,none,,13,idle,,,,,,,
d_ex_shopping_01_22,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_22,True,,1,shy,,S_130,S_130,1.0,,,13,idle,,sfx_scn_radiocall,,,,,
d_ex_shopping_01_23,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_23,True,,1,shy,,S_130,S_130,1.0,,,13,idle,,,,,,,
d_ex_shopping_01_24,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_24,True,,1,shy,,S_130,S_130,1.0,,,13,idle,,,,,,,
d_ex_shopping_01_25,d_ex_shopping_01,Narration,dolla,,Locale_SuddenStory:d_ex_shopping_01_25,True,,1,shy,GoodOffice,4,12,2.0,bgm_story_whosdumber,,13,idle,,,privaty,dolla,black,,
