id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/1/hide_char_id
d_main_10_03_s_1,d_main_10_03_s,Speech,anis,anis,Locale_MainScenario:d_main_10_03_s_1,True,anis,1,idle,vesti,13,shy,emma,15,worry,Desert_01,12,12,1.0,bgm_areah_a,,,,,
d_main_10_03_s_2,d_main_10_03_s,Speech,anis,anis,Locale_MainScenario:d_main_10_03_s_2,True,,1,idle,,13,shy,,15,worry,,12,12,1.0,,,,,,
d_main_10_03_s_3,d_main_10_03_s,Speech,vesti,vesti,Locale_MainScenario:d_main_10_03_s_3,False,,1,idle,,13,shy,,15,worry,,12,12,1.0,,,,,,
d_main_10_03_s_4,d_main_10_03_s,Speech,anis,anis,Locale_MainScenario:d_main_10_03_s_4,True,,1,worry,,13,shy,,15,worry,,12,12,1.0,,,,,,
d_main_10_03_s_5,d_main_10_03_s,Speech,anis,anis,Locale_MainScenario:d_main_10_03_s_5,True,,1,worry,,13,shy,,15,worry,,12,12,1.0,,,,,,
d_main_10_03_s_6,d_main_10_03_s,Speech,vesti,vesti,Locale_MainScenario:d_main_10_03_s_6,True,,1,worry,,13,idle,,15,worry,,12,12,1.0,,,,,,
d_main_10_03_s_7,d_main_10_03_s,Speech,anis,anis,Locale_MainScenario:d_main_10_03_s_7,True,,1,worry,,13,idle,,15,worry,,12,12,1.0,,,,,,
d_main_10_03_s_8,d_main_10_03_s,Speech,vesti,vesti,Locale_MainScenario:d_main_10_03_s_8,True,,1,worry,,13,delight,,15,worry,,12,12,1.0,,,,,,
d_main_10_03_s_9,d_main_10_03_s,Speech,vesti,vesti,Locale_MainScenario:d_main_10_03_s_9,True,,1,worry,,13,delight,,15,worry,,12,12,1.0,,,,,,
d_main_10_03_s_10,d_main_10_03_s,Speech,anis,anis,Locale_MainScenario:d_main_10_03_s_10,False,,1,void,,13,delight,,15,worry,,12,12,1.0,,,,,,
d_main_10_03_s_11,d_main_10_03_s,Speech,vesti,vesti,Locale_MainScenario:d_main_10_03_s_11,True,,1,void,,13,idle,,15,worry,,12,12,1.0,,,,,,
d_main_10_03_s_12,d_main_10_03_s,Speech,anis,anis,Locale_MainScenario:d_main_10_03_s_12,True,,1,idle,,13,idle,,15,worry,,12,12,1.0,,,,,,
d_main_10_03_s_13,d_main_10_03_s,Speech,anis,anis,Locale_MainScenario:d_main_10_03_s_13,True,,1,idle,,13,idle,,15,worry,,12,12,1.0,,,,,,
d_main_10_03_s_14,d_main_10_03_s,Speech,shifty,shifty,Locale_MainScenario:d_main_10_03_s_14,True,,1,void,,13,idle,,15,worry,,12,12,1.0,,shifty,OP_leftup,idle,,
d_main_10_03_s_15,d_main_10_03_s,Speech,shifty,shifty,Locale_MainScenario:d_main_10_03_s_15,True,,1,void,,13,idle,,15,worry,,12,12,1.0,,,OP_leftup,idle,,
d_main_10_03_s_16,d_main_10_03_s,Speech,emma,emma,Locale_MainScenario:d_main_10_03_s_16,True,,1,void,,13,idle,,15,worry,,15,15,1.0,,,OP_leftup,idle,shifty,
d_main_10_03_s_17,d_main_10_03_s,Speech,vesti,vesti,Locale_MainScenario:d_main_10_03_s_17,True,,1,void,,13,idle,,15,worry,,15,12,1.0,,,,,,
d_main_10_03_s_18,d_main_10_03_s,Speech,anis,anis,Locale_MainScenario:d_main_10_03_s_18,True,,1,void,,13,idle,,15,worry,,12,12,1.0,,,,,,
d_main_10_03_s_19,d_main_10_03_s,Speech,vesti,vesti,Locale_MainScenario:d_main_10_03_s_19,True,,1,void,,13,idle,,15,worry,,12,XS_130,1.0,,,,,,
d_main_10_03_s_20,d_main_10_03_s,Speech,vesti,vesti,Locale_MainScenario:d_main_10_03_s_20,True,,1,void,,13,idle,,15,worry,,XS_130,XS_130,1.0,,,,,,
d_main_10_03_s_21,d_main_10_03_s,Speech,vesti,vesti,Locale_MainScenario:d_main_10_03_s_21,True,,1,void,,13,angry,,15,worry,,XS_130,XS_1300,1.0,,,,,,
d_main_10_03_s_22,d_main_10_03_s,Narration,,Narration,Locale_MainScenario:d_main_10_03_s_22,False,,1,void,,5,angry,,15,worry,,XS_1300,13,1.0,,,,,,
d_main_10_03_s_23,d_main_10_03_s,Speech,anis,anis,Locale_MainScenario:d_main_10_03_s_23,True,,1,angry,,5,angry,,15,worry,,13,1,1.0,,,,,,vesti
d_main_10_03_s_24,d_main_10_03_s,Speech,emma,emma,Locale_MainScenario:d_main_10_03_s_24,True,,1,angry,,,,,13,delight,,1,12,1.0,,,,,,
d_main_10_03_s_25,d_main_10_03_s,Speech,anis,anis,Locale_MainScenario:d_main_10_03_s_25,True,,1,angry,,,,,13,delight,,12,12,1.0,,,,,,
d_main_10_03_s_26,d_main_10_03_s,Speech,emma,emma,Locale_MainScenario:d_main_10_03_s_26,True,,1,angry,,,,,13,idle,,12,130,1.0,,,,,,
d_main_10_03_s_27,d_main_10_03_s,Speech,emma,emma,Locale_MainScenario:d_main_10_03_s_27,True,,1,angry,,,,,13,idle,,130,130,1.0,,,,,,
