id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_main_13af_04_1,d_main_13af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_13af_04_1,True,CommanderRoom,black,black,1.0,bgm_emergency,,neon,3,idle,,,,anis,13,angry,,,
d_main_13af_04_2,d_main_13af_04,Speech,anis,anis,Locale_MainScenario:d_main_13af_04_2,True,,black,black,1.0,,,,3,idle,,,,,13,angry,,,
d_main_13af_04_3,d_main_13af_04,Speech,neon,neon,Locale_MainScenario:d_main_13af_04_3,True,,black,black,1.0,,,,3,worry,,,,,13,angry,,,
d_main_13af_04_4,d_main_13af_04,Speech,anis,anis,Locale_MainScenario:d_main_13af_04_4,True,,13,130,0.5,,,,3,worry,,,,,13,angry,,,
d_main_13af_04_5,d_main_13af_04,Speech,neon,neon,Locale_MainScenario:d_main_13af_04_5,True,,S_30,S_30,1.0,,,,3,idle,,,,,13,angry,,,
d_main_13af_04_6,d_main_13af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_13af_04_6,True,,black,black,2.0,,,,3,idle,,,,,13,angry,,,
d_main_13af_04_7,d_main_13af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_13af_04_7,True,,black,black,1.0,,,,3,idle,,,,,13,angry,,,
d_main_13af_04_8,d_main_13af_04,Speech,anis,anis,Locale_MainScenario:d_main_13af_04_8,True,,130,1300,0.5,,,,3,idle,,,,,13,angry,,,
d_main_13af_04_9,d_main_13af_04,Speech,anis,anis,Locale_MainScenario:d_main_13af_04_9,True,,1300,1300,1.0,,,,3,idle,,,,,13,angry,,,
d_main_13af_04_10,d_main_13af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_13af_04_10,False,,black,black,1.0,,,,3,idle,rapi,1,think,,13,angry,,,
d_main_13af_04_11,d_main_13af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_13af_04_11,True,,1300,12,2.0,,,,3,idle,,1,idle,,13,void,,,
d_main_13af_04_12,d_main_13af_04,Speech,anis,anis,Locale_MainScenario:d_main_13af_04_12,False,,12,12,1.0,,,,3,idle,,1,idle,,13,void,,,
d_main_13af_04_13,d_main_13af_04,Narration,anis,,Locale_MainScenario:d_main_13af_04_13,False,,12,130,2.0,,,,3,idle,,1,idle,,13,void,,,
d_main_13af_04_14,d_main_13af_04,Speech,anis,anis,Locale_MainScenario:d_main_13af_04_14,True,,130,130,1.0,none,,,3,idle,,1,idle,,13,sad,,,
d_main_13af_04_15,d_main_13af_04,Speech,neon,neon,Locale_MainScenario:d_main_13af_04_15,False,,S_30,S_30,1.0,,,,3,worry,,1,idle,,13,sad,,,
d_main_13af_04_16,d_main_13af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_13af_04_16,True,,S_30,2,1.0,,,,3,worry,,1,worry,,13,sad,,,
d_main_13af_04_17,d_main_13af_04,Speech,neon,neon,Locale_MainScenario:d_main_13af_04_17,True,,2,2,1.0,,,,3,idle,,1,idle,,13,void,,,
d_main_13af_04_18,d_main_13af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_13af_04_18,False,,2,2,1.0,bgm_inark,,,3,idle,,1,think,,13,void,,,
d_main_13af_04_19,d_main_13af_04,Speech,anis,anis,Locale_MainScenario:d_main_13af_04_19,True,,2,12,1.0,,,,3,idle,,1,idle,,13,void,,,
d_main_13af_04_20,d_main_13af_04,Speech,anis,anis,Locale_MainScenario:d_main_13af_04_20,True,,12,12,1.0,,,,3,idle,,1,idle,,13,void,,,
d_main_13af_04_21,d_main_13af_04,Speech,neon,neon,Locale_MainScenario:d_main_13af_04_21,False,,12,2,1.0,,,,3,idle,,1,idle,,13,void,,,
d_main_13af_04_22,d_main_13af_04,Speech,neon,neon,Locale_MainScenario:d_main_13af_04_22,True,,2,2,1.0,,,,3,idle,,1,idle,,13,void,,,
d_main_13af_04_23,d_main_13af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_13af_04_23,True,,2,2,1.0,,,,3,idle,,1,think,,13,void,,,
d_main_13af_04_24,d_main_13af_04,Speech,neon,neon,Locale_MainScenario:d_main_13af_04_24,True,,2,S_30,2.0,,,,3,no,,1,idle,,13,void,,,
d_main_13af_04_25,d_main_13af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_13af_04_25,False,,S_30,10,1.0,,,,3,no,,1,idle,,13,void,,,
d_main_13af_04_26,d_main_13af_04,Speech,neon,neon,Locale_MainScenario:d_main_13af_04_26,True,,10,2,1.0,,,,3,delight,,1,idle,,13,void,,,
d_main_13af_04_27,d_main_13af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_13af_04_27,True,,2,2,1.0,,,,3,idle,,1,delight,,13,void,,,
d_main_13af_04_28,d_main_13af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_13af_04_28,True,,2,10,1.0,,,,3,idle,,1,idle,,13,void,,,
d_main_13af_04_29,d_main_13af_04,Speech,anis,anis,Locale_MainScenario:d_main_13af_04_29,True,,10,130,2.0,,,,3,idle,,1,idle,,13,sad,,,
d_main_13af_04_30,d_main_13af_04,Speech,neon,neon,Locale_MainScenario:d_main_13af_04_30,True,,S_30,S_30,1.0,,,,3,idle,,1,idle,,13,idle,,,
d_main_13af_04_31,d_main_13af_04,Speech,neon,neon,Locale_MainScenario:d_main_13af_04_31,True,,S_30,S_30,1.0,,,,3,idle,,1,idle,,13,idle,,,
d_main_13af_04_32,d_main_13af_04,Speech,anis,anis,Locale_MainScenario:d_main_13af_04_32,True,,130,130,1.0,,,,3,idle,,1,idle,,13,angry,,,
d_main_13af_04_33,d_main_13af_04,Speech,anis,anis,Locale_MainScenario:d_main_13af_04_33,True,,130,1300,1.0,,,,3,idle,,1,idle,,13,worry,,,
d_main_13af_04_34,d_main_13af_04,Speech,neon,neon,Locale_MainScenario:d_main_13af_04_34,True,,S_30,S_30,1.0,,,,3,delight,,1,idle,,13,worry,,,
d_main_13af_04_35,d_main_13af_04,Speech,anis,anis,Locale_MainScenario:d_main_13af_04_35,True,,S_30,S_30,1.0,,,,3,delight,,1,idle,,13,no,,,
d_main_13af_04_36,d_main_13af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_13af_04_36,True,,S_30,10,1.0,,,,3,idle,,1,idle,,13,no,,,
d_main_13af_04_37,d_main_13af_04,Speech,anis,anis,Locale_MainScenario:d_main_13af_04_37,False,,130,130,1.0,,,,3,idle,,1,idle,,13,worry,,,
d_main_13af_04_38,d_main_13af_04,Speech,anis,anis,Locale_MainScenario:d_main_13af_04_38,True,,130,130,1.0,,,,3,idle,,1,idle,,13,sad,,,
d_main_13af_04_39,d_main_13af_04,Speech,anis,anis,Locale_MainScenario:d_main_13af_04_39,True,,130,130,1.0,,,,3,idle,,1,idle,,13,sad,,,
d_main_13af_04_40,d_main_13af_04,Speech,anis,anis,Locale_MainScenario:d_main_13af_04_40,True,,130,130,1.0,,,,3,idle,,1,idle,,13,sad,,,
d_main_13af_04_41,d_main_13af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_13af_04_41,True,,130,12,2.0,,,,3,idle,,1,think,,13,worry,,,
d_main_13af_04_42,d_main_13af_04,Speech,neon,neon,Locale_MainScenario:d_main_13af_04_42,True,,12,2,1.0,,,,3,worry,,1,think,,13,worry,,,
d_main_13af_04_43,d_main_13af_04,Speech,anis,anis,Locale_MainScenario:d_main_13af_04_43,True,,130,130,1.0,,,,3,worry,,1,think,,13,sad,,,
d_main_13af_04_44,d_main_13af_04,Narration,anis,,Locale_MainScenario:d_main_13af_04_44,False,,130,130,1.0,,sfx_scn_autodooropen,,3,worry,,1,think,,13,sad,,,
d_main_13af_04_45,d_main_13af_04,Speech,anis,anis,Locale_MainScenario:d_main_13af_04_45,True,,130,130,1.0,,,,3,idle,,1,worry,,13,void,mary,15,idle
d_main_13af_04_46,d_main_13af_04,Speech,anis,anis,Locale_MainScenario:d_main_13af_04_46,False,,130,14,1.0,,,,3,idle,,1,worry,,13,void,,15,idle
d_main_13af_04_47,d_main_13af_04,Speech,anis,anis,Locale_MainScenario:d_main_13af_04_47,True,,14,14,1.0,,,,3,idle,,1,worry,,13,angry,,15,idle
d_main_13af_04_48,d_main_13af_04,Speech,anis,anis,Locale_MainScenario:d_main_13af_04_48,True,,14,14,1.0,,,,3,idle,,1,worry,,13,angry,,15,idle
d_main_13af_04_49,d_main_13af_04,Speech,mary,mary,Locale_MainScenario:d_main_13af_04_49,True,,14,14,1.0,,,,3,idle,,1,idle,,13,angry,,15,idle
d_main_13af_04_50,d_main_13af_04,Speech,anis,anis,Locale_MainScenario:d_main_13af_04_50,True,,14,14,1.0,,,,3,idle,,1,idle,,13,angry,,15,idle
d_main_13af_04_51,d_main_13af_04,Speech,mary,mary,Locale_MainScenario:d_main_13af_04_51,True,,14,14,1.0,,,,3,idle,,1,idle,,13,angry,,15,idle
d_main_13af_04_52,d_main_13af_04,Speech,anis,anis,Locale_MainScenario:d_main_13af_04_52,True,,14,14,1.0,,,,3,idle,,1,idle,,13,angry,,15,idle
d_main_13af_04_53,d_main_13af_04,Speech,mary,mary,Locale_MainScenario:d_main_13af_04_53,True,,14,XS_150,1.0,,,,3,idle,,1,idle,,13,angry,,15,idle
d_main_13af_04_54,d_main_13af_04,Speech,mary,mary,Locale_MainScenario:d_main_13af_04_54,True,,XS_150,XS_150,1.0,,,,3,idle,,1,idle,,13,angry,,15,idle
d_main_13af_04_55,d_main_13af_04,Speech,anis,anis,Locale_MainScenario:d_main_13af_04_55,True,,XS_150,130,1.0,,,,3,idle,,1,idle,,13,sad,,15,idle
d_main_13af_04_56,d_main_13af_04,Speech,anis,anis,Locale_MainScenario:d_main_13af_04_56,True,,130,130,1.0,,,,3,idle,,1,idle,,13,sad,,15,idle
