id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_main_12_03_1,d_main_12_03,Speech,rapi,rapi,Locale_MainScenario:d_main_12_03_1,True,Factory,10,10,1.0,bgm_groundfall,rapi,1,idle,,,,,eunhwa,13,idle,,,,,,
d_main_12_03_2,d_main_12_03,Speech,shifty,shifty,Locale_MainScenario:d_main_12_03_2,True,,10,10,1.0,,,,idle,shifty,OP_leftup,idle,,,,idle,,,,,,
d_main_12_03_3,d_main_12_03,Speech,rapi,rapi,Locale_MainScenario:d_main_12_03_3,True,,10,100,1.0,,,,idle,,OP_leftup,idle,,,,idle,,,,,,
d_main_12_03_4,d_main_12_03,Speech,shifty,shifty,Locale_MainScenario:d_main_12_03_4,True,,100,100,1.0,,,,idle,,OP_leftup,idle,,,,idle,,,,,,
d_main_12_03_5,d_main_12_03,Speech,rapi,rapi,Locale_MainScenario:d_main_12_03_5,True,,100,10,1.0,,,,idle,,OP_leftup,idle,,,,idle,,,,,,
d_main_12_03_6,d_main_12_03,Speech,shifty,shifty,Locale_MainScenario:d_main_12_03_6,True,,10,10,1.0,,,,idle,,OP_leftup,idle,,,,idle,,,,,,
d_main_12_03_7,d_main_12_03,Speech,rapi,rapi,Locale_MainScenario:d_main_12_03_7,True,,10,10,1.0,,,,idle,,OP_leftup,idle,,,,idle,,,,,,
d_main_12_03_8,d_main_12_03,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_12_03_8,True,,10,113,1.0,,,,idle,,OP_leftup,idle,shifty,,,idle,,,,,,
d_main_12_03_9,d_main_12_03,Speech,rapi,rapi,Locale_MainScenario:d_main_12_03_9,True,,113,113,1.0,,,,idle,,,,,,,idle,,,,,,
d_main_12_03_10,d_main_12_03,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_12_03_10,True,,113,113,1.0,,,,idle,,,,,,,idle,anis,15,delight,,,
d_main_12_03_11,d_main_12_03,Speech,anis,anis,Locale_MainScenario:d_main_12_03_11,True,,113,1315,1.0,,,,idle,,,,,,,idle,,,delight,,,
d_main_12_03_12,d_main_12_03,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_12_03_12,True,,1315,1315,1.0,,,,idle,,,,,,,angry,,,delight,,,
d_main_12_03_13,d_main_12_03,Speech,anis,anis,Locale_MainScenario:d_main_12_03_13,True,,1315,1315,1.0,,,,idle,,,,,,,angry,,,delight,,,
d_main_12_03_14,d_main_12_03,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_12_03_14,False,,1315,1315,1.0,,,,idle,,,,,,,angry,,,delight,vesti,17,delight
d_main_12_03_15,d_main_12_03,Speech,vesti,vesti,Locale_MainScenario:d_main_12_03_15,True,,1315,XS_170,1.0,,,,idle,,,,,,,angry,,,delight,,,delight
