id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/hide_char_id,play_sound,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_main_31_09_e_1,d_main_31_09_e,Speech,mana,mana,Locale_MainScenario:d_main_31_09_e_1,True,mana,1,idle,rapi,13,idle,anis,15,void,HarmonyCube,1,10,1.0,bgm_story_discussion,,,,,,
d_main_31_09_e_2,d_main_31_09_e,Speech,mana,mana,Locale_MainScenario:d_main_31_09_e_2,True,,1,idle,,13,idle,,15,void,,10,10,1.0,,,,,,,
d_main_31_09_e_3,d_main_31_09_e,Speech,mana,mana,Locale_MainScenario:d_main_31_09_e_3,True,,1,idle,,13,idle,,15,void,,10,10,1.0,,,,,,,
d_main_31_09_e_4,d_main_31_09_e,Self,mana,,Locale_MainScenario:d_main_31_09_e_4,False,,1,idle,,13,idle,,15,void,,10,10,1.0,,,,,,,
d_main_31_09_e_5,d_main_31_09_e,Self,mana,,Locale_MainScenario:d_main_31_09_e_5,False,,1,idle,,13,idle,,15,void,,10,10,1.0,,,,,,,
d_main_31_09_e_6,d_main_31_09_e,Speech,mana,mana,Locale_MainScenario:d_main_31_09_e_6,True,,1,idle,,13,idle,,15,void,,10,10,1.0,,,,,,,
d_main_31_09_e_7,d_main_31_09_e,Speech,mana,mana,Locale_MainScenario:d_main_31_09_e_7,True,,1,idle,,13,idle,,15,void,,10,10,1.0,,,,,,,
d_main_31_09_e_8,d_main_31_09_e,Self,mana,,Locale_MainScenario:d_main_31_09_e_8,False,,1,idle,,13,idle,,15,void,,10,10,1.0,,,,,,,
d_main_31_09_e_9,d_main_31_09_e,Speech,mana,mana,Locale_MainScenario:d_main_31_09_e_9,False,,1,idle,,13,idle,,15,void,,10,1,1.0,,,,,,,
d_main_31_09_e_10,d_main_31_09_e,Speech,mana,mana,Locale_MainScenario:d_main_31_09_e_10,True,,1,idle,,13,idle,,15,void,,1,1,1.0,,,,,,,
d_main_31_09_e_11,d_main_31_09_e,Speech,mana,mana,Locale_MainScenario:d_main_31_09_e_11,True,,1,idle,,13,idle,,15,void,,1,1,1.0,,,,,,,
d_main_31_09_e_12,d_main_31_09_e,Speech,mana,mana,Locale_MainScenario:d_main_31_09_e_12,True,,1,idle,,13,idle,,15,void,,1,1,1.0,,,,,,,
d_main_31_09_e_13,d_main_31_09_e,Speech,rapi,rapi,Locale_MainScenario:d_main_31_09_e_13,True,,1,idle,,13,idle,,15,void,,14,14,1.0,,,,,,,
d_main_31_09_e_14,d_main_31_09_e,Speech,anis,anis,Locale_MainScenario:d_main_31_09_e_14,True,,1,idle,,13,idle,,15,void,,14,14,1.0,,,,,,,
d_main_31_09_e_15,d_main_31_09_e,Speech,mana,mana,Locale_MainScenario:d_main_31_09_e_15,True,,1,idle,,13,idle,eunhwa,15,idle,,1,1,1.0,,anis,,,,,
d_main_31_09_e_16,d_main_31_09_e,Speech,mana,mana,Locale_MainScenario:d_main_31_09_e_16,True,,1,idle,,13,idle,,15,idle,,1,1,1.0,,,,,,,
d_main_31_09_e_17,d_main_31_09_e,Self,mana,,Locale_MainScenario:d_main_31_09_e_17,False,,1,idle,,13,idle,,15,idle,,1,1,1.0,,,,,,,
d_main_31_09_e_18,d_main_31_09_e,Speech,mana,mana,Locale_MainScenario:d_main_31_09_e_18,True,,1,idle,,13,idle,,15,idle,,1,10,1.0,,,,,,,
d_main_31_09_e_19,d_main_31_09_e,Speech,mana,mana,Locale_MainScenario:d_main_31_09_e_19,True,,1,idle,,13,idle,,15,idle,,10,10,1.0,,,,,,,
d_main_31_09_e_20,d_main_31_09_e,Speech,mana,mana,Locale_MainScenario:d_main_31_09_e_20,True,,1,idle,,13,idle,,15,idle,,10,10,1.0,,,,,,,
d_main_31_09_e_21,d_main_31_09_e,Speech,mana,mana,Locale_MainScenario:d_main_31_09_e_21,True,,1,idle,,13,idle,,15,idle,,10,10,1.0,,,,,,,
d_main_31_09_e_22,d_main_31_09_e,Speech,mana,mana,Locale_MainScenario:d_main_31_09_e_22,True,,1,idle,,13,idle,,15,idle,,10,10,1.0,,,,,,,
d_main_31_09_e_23,d_main_31_09_e,Speech,mana,mana,Locale_MainScenario:d_main_31_09_e_23,True,,1,idle,,13,idle,,15,idle,,10,10,1.0,,,,,,,
d_main_31_09_e_24,d_main_31_09_e,Self,mana,,Locale_MainScenario:d_main_31_09_e_24,False,,1,idle,,13,idle,,15,idle,,10,10,1.0,,,,,,,
d_main_31_09_e_25,d_main_31_09_e,Speech,mana,mana,Locale_MainScenario:d_main_31_09_e_25,True,,1,idle,,13,idle,,15,idle,,10,10,1.0,,,,,,,
d_main_31_09_e_26,d_main_31_09_e,Speech,rapi,rapi,Locale_MainScenario:d_main_31_09_e_26,True,,1,idle,,13,idle,,15,idle,,10,12,1.0,,,,,,,
d_main_31_09_e_27,d_main_31_09_e,Speech,mana,mana,Locale_MainScenario:d_main_31_09_e_27,True,,1,idle,,13,idle,,15,idle,,12,12,1.0,,,,,,,
d_main_31_09_e_28,d_main_31_09_e,Speech,mana,mana,Locale_MainScenario:d_main_31_09_e_28,True,,1,idle,,13,idle,,15,idle,,12,12,1.0,,,,,,,
d_main_31_09_e_29,d_main_31_09_e,Self,mana,,Locale_MainScenario:d_main_31_09_e_29,False,,1,idle,,13,idle,,15,idle,,12,12,1.0,,,,,,,
d_main_31_09_e_30,d_main_31_09_e,Speech,rapi,rapi,Locale_MainScenario:d_main_31_09_e_30,True,,1,idle,,13,think,,15,idle,,12,13,1.0,,,,,,,
d_main_31_09_e_31,d_main_31_09_e,Self,rapi,,Locale_MainScenario:d_main_31_09_e_31,False,,1,idle,,13,think,,15,idle,,13,13,1.0,,,,,,,
d_main_31_09_e_32,d_main_31_09_e,Self,rapi,,Locale_MainScenario:d_main_31_09_e_32,False,,1,idle,,13,think,,15,idle,,13,13,1.0,,,,,,,
d_main_31_09_e_33,d_main_31_09_e,Speech,rapi,rapi,Locale_MainScenario:d_main_31_09_e_33,True,,1,idle,,13,idle,,15,idle,,13,13,1.0,,,,,,,
d_main_31_09_e_34,d_main_31_09_e,Self,rapi,,Locale_MainScenario:d_main_31_09_e_34,False,,1,idle,,13,idle,,15,idle,,13,13,1.0,,,,,,,
d_main_31_09_e_35,d_main_31_09_e,Speech,rapi,rapi,Locale_MainScenario:d_main_31_09_e_35,False,,1,idle,,13,worry,,15,idle,,13,130,0.5,,,,,,,
d_main_31_09_e_36,d_main_31_09_e,Self,rapi,,Locale_MainScenario:d_main_31_09_e_36,False,,1,idle,,13,worry,,15,idle,,130,130,1.0,,,,,,,
