id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_main_35_09_e_1,d_main_35_09_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35_09_e_1,True,rapi_red,5,think,cinderella,3,idle,grave_p,1,idle,maxwell,13,idle_02,laplace,15,angry,drake,17,idle,Bog,4,4,1.0,bgm_story_empathize,,,,,,,,,,,
d_main_35_09_e_2,d_main_35_09_e,Speech,cinderella,cinderella,Locale_MainScenario:d_main_35_09_e_2,True,,5,think,,3,idle,,1,idle,,13,idle_02,,15,angry,,17,idle,,4,4,1.0,,,,,,,,,,,,
d_main_35_09_e_3,d_main_35_09_e,Speech,grave_p,grave_p,Locale_MainScenario:d_main_35_09_e_3,True,,5,think,,3,idle,,1,idle,,13,idle_02,,15,angry,,17,idle,,4,12,1.0,,,,,,,,,,,,
d_main_35_09_e_4,d_main_35_09_e,Speech,maxwell,maxwell,Locale_MainScenario:d_main_35_09_e_4,True,,5,think,,3,idle,,1,idle,,13,idle_02,,15,angry,,17,idle,,12,12,1.0,,,,,,,,,,,,
d_main_35_09_e_5,d_main_35_09_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35_09_e_5,False,,5,idle,,3,idle,,1,idle,,13,idle_02,,15,angry,,17,idle,,50,50,1.0,,,,,,,,,,,,
d_main_35_09_e_6,d_main_35_09_e,Monologue,rapi_red,,Locale_MainScenario:d_main_35_09_e_6,False,,5,idle,,3,idle,,1,idle,,13,idle_02,,15,angry,,17,idle,,50,50,1.0,,,,,,,,,,,,
d_main_35_09_e_7,d_main_35_09_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35_09_e_7,True,,5,idle,,3,idle,,1,idle,,13,idle_02,,15,angry,,17,idle,,50,5,1.0,,,,,,,,,,,,
d_main_35_09_e_8,d_main_35_09_e,Speech,laplace,laplace,Locale_MainScenario:d_main_35_09_e_8,True,,5,idle,,3,idle,,1,idle,,13,idle_02,,15,angry,,17,idle,,S_150,S_150,1.0,,,,,,,,,,,,
d_main_35_09_e_9,d_main_35_09_e,Speech,laplace,laplace,Locale_MainScenario:d_main_35_09_e_9,True,,5,idle,,3,idle,,1,idle,,13,idle_02,,15,angry,,17,idle,,S_150,16,1.0,,,,,,,,,,,,
d_main_35_09_e_10,d_main_35_09_e,Speech,drake,drake,Locale_MainScenario:d_main_35_09_e_10,True,,5,idle,,3,idle,,1,idle,,13,idle_02,,15,angry,,17,delight,,16,16,1.0,,,,,,,,,,,,
