id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_main_19_01_1,d_main_19_01,Speech,rapi,rapi,Locale_MainScenario:d_main_19_01_1,True,WasteLand_01,2,2,1.0,bgm_peripeteia_a,,neon,6,idle,anis,4,idle,rapi,2,idle,,,
d_main_19_01_2,d_main_19_01,Speech,anis,anis,Locale_MainScenario:d_main_19_01_2,True,,2,3,1.5,,,,6,idle,,4,idle,,2,idle,,,
d_main_19_01_3,d_main_19_01,Speech,anis,anis,Locale_MainScenario:d_main_19_01_3,True,,3,3,1.0,,,,6,idle,,4,idle,,2,idle,,,
d_main_19_01_4,d_main_19_01,Speech,anis,anis,Locale_MainScenario:d_main_19_01_4,True,,3,3,1.0,,,,6,idle,,4,void,,2,idle,,,
d_main_19_01_5,d_main_19_01,Speech,anis,anis,Locale_MainScenario:d_main_19_01_5,True,,3,3,1.0,,,,6,idle,,4,void,,2,idle,,,
d_main_19_01_6,d_main_19_01,Speech,neon,neon,Locale_MainScenario:d_main_19_01_6,True,,3,5,1.0,,,,6,surprise,,4,void,,2,idle,,,
d_main_19_01_7,d_main_19_01,Speech,anis,anis,Locale_MainScenario:d_main_19_01_7,True,,5,5,1.0,,,,6,surprise,,4,void,,2,idle,,,
d_main_19_01_8,d_main_19_01,Self,anis,Self,Locale_MainScenario:d_main_19_01_8,False,,5,5,1.0,,,,6,surprise,,4,void,,2,idle,,,
d_main_19_01_9,d_main_19_01,Speech,anis,anis,Locale_MainScenario:d_main_19_01_9,True,,2,2,1.0,,,,6,idle,,4,worry,,2,idle,,,
d_main_19_01_10,d_main_19_01,Speech,rapi,rapi,Locale_MainScenario:d_main_19_01_10,False,,2,20,2.0,,,,6,idle,,4,worry,,2,idle,,,
d_main_19_01_11,d_main_19_01,Speech,rapi,rapi,Locale_MainScenario:d_main_19_01_11,True,,20,20,1.0,none,,,6,idle,,4,idle,,2,idle,,,
d_main_19_01_12,d_main_19_01,Speech,rapi,rapi,Locale_MainScenario:d_main_19_01_12,True,,20,20,1.0,,,,6,idle,,4,idle,,2,idle,,,
d_main_19_01_13,d_main_19_01,Speech,rapi,rapi,Locale_MainScenario:d_main_19_01_13,True,,20,20,1.0,,,,6,idle,,4,idle,,2,idle,,,
d_main_19_01_14,d_main_19_01,Speech,unknown,unknown,Locale_MainScenario:d_main_19_01_14,False,,black,black,1.0,,,,6,idle,,4,idle,,2,idle,,,
d_main_19_01_15,d_main_19_01,Speech,rapi,rapi,Locale_MainScenario:d_main_19_01_15,True,,20,20,1.0,,,,6,idle,,4,idle,,2,idle,,,
d_main_19_01_16,d_main_19_01,Speech,papillon,papillon,Locale_MainScenario:d_main_19_01_16,True,,20,1,2.0,bgm_story_stormbreakers,,,6,idle,,4,idle,,2,idle,papillon,12,idle
d_main_19_01_17,d_main_19_01,Speech,papillon,papillon,Locale_MainScenario:d_main_19_01_17,True,,1,1,1.0,,,,6,idle,,4,idle,,2,idle,,12,idle
d_main_19_01_18,d_main_19_01,Speech,papillon,papillon,Locale_MainScenario:d_main_19_01_18,True,,1,1,1.0,,,,6,idle,,4,idle,,2,idle,,12,angry
