id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,set_camera_shake,characters/9/hide_char_id,play_sound
d_main_04_07_1,d_main_04_07,Speech,rapi,rapi,Locale_MainScenario:d_main_04_07_1,True,rapi,1,idle,anis,3,void,neon,13,idle,mihara,17,idle,yuni,19,think,RuinIndoor,1,1,1.0,ambient_scn_wind,,,,,,,
d_main_04_07_2,d_main_04_07,Speech,rapi,rapi,Locale_MainScenario:d_main_04_07_2,True,,1,idle,,3,void,,13,idle,,17,idle,,19,think,,1,1,1.0,,,,,,,,
d_main_04_07_3,d_main_04_07,Speech,rapi,rapi,Locale_MainScenario:d_main_04_07_3,True,,1,idle,,3,void,,13,idle,,17,idle,,19,think,,1,10,1.0,,,,,,,,
d_main_04_07_4,d_main_04_07,Speech,anis,anis,Locale_MainScenario:d_main_04_07_4,True,,1,idle,,3,void,,13,idle,,17,idle,,19,think,,30,30,1.0,,,,,,,,
d_main_04_07_5,d_main_04_07,Speech,neon,neon,Locale_MainScenario:d_main_04_07_5,True,,1,idle,,3,void,,13,idle,,17,idle,,19,think,,S_130,S_130,1.0,,,,,,,,
d_main_04_07_6,d_main_04_07,Narration,neon,Narration,Locale_MainScenario:d_main_04_07_6,True,,1,idle,,9,void,,9,idle,,17,idle,,19,think,,S_130,1719,1.0,,,,,,,,
d_main_04_07_7,d_main_04_07,Speech,mihara,mihara,Locale_MainScenario:d_main_04_07_7,False,,1,idle,,,,,,,,17,idle,,19,think,,1719,1719,1.0,,,,,,,,
d_main_04_07_8,d_main_04_07,Speech,yuni,yuni,Locale_MainScenario:d_main_04_07_8,False,,1,idle,,,,,,,,17,idle,,19,think,,1719,1719,1.0,,,,,,,,
d_main_04_07_9,d_main_04_07,Speech,mihara,mihara,Locale_MainScenario:d_main_04_07_9,True,,1,idle,,,,,,,,17,idle,,19,think,,1719,1719,1.0,,,,,,,,
d_main_04_07_10,d_main_04_07,Speech,yuni,yuni,Locale_MainScenario:d_main_04_07_10,True,,1,idle,,,,,,,,17,idle,,19,think,,1719,1719,1.0,,,,,,,,
d_main_04_07_11,d_main_04_07,Speech,mihara,mihara,Locale_MainScenario:d_main_04_07_11,True,,1,idle,,,,,,,,17,idle,,19,think,,1719,1719,1.0,,,,,,,,
d_main_04_07_12,d_main_04_07,Speech,yuni,yuni,Locale_MainScenario:d_main_04_07_12,True,,1,idle,,,,,,,,17,idle,,19,think,,1719,1719,1.0,,,,,,,,
d_main_04_07_13,d_main_04_07,Speech,mihara,mihara,Locale_MainScenario:d_main_04_07_13,True,,1,idle,,,,,,,,17,idle,,19,think,,1719,1719,1.0,,,,,,,,
d_main_04_07_14,d_main_04_07,Speech,yuni,yuni,Locale_MainScenario:d_main_04_07_14,True,,1,idle,,,,,,,,17,idle,,19,think,,1719,S_190,1.0,,,,,,,,
d_main_04_07_15,d_main_04_07,Speech,mihara,mihara,Locale_MainScenario:d_main_04_07_15,True,,1,idle,,,,,,,,17,idle,,19,think,,S_190,170,1.0,,,,,,,,
d_main_04_07_16,d_main_04_07,Speech,yuni,yuni,Locale_MainScenario:d_main_04_07_16,True,,1,idle,,,,,,,,17,idle,,19,think,,170,1719,1.0,,,,,,,,
d_main_04_07_17,d_main_04_07,Self,yuni,Self,Locale_MainScenario:d_main_04_07_17,True,,1,idle,,,,,,,,17,idle,,19,think,,1719,1719,1.0,,,,,,,,
d_main_04_07_18,d_main_04_07,Speech,mihara,mihara,Locale_MainScenario:d_main_04_07_18,True,,1,idle,,,,,,,,17,idle,,19,think,,1719,1719,1.0,,,,,,,,
d_main_04_07_19,d_main_04_07,Self,mihara,Self,Locale_MainScenario:d_main_04_07_19,True,,1,idle,,,,,,,,17,idle,,19,think,,1719,1719,1.0,,,,,,,,
d_main_04_07_20,d_main_04_07,Speech,mihara,mihara,Locale_MainScenario:d_main_04_07_20,False,,1,idle,,,,,,,,17,idle,,19,think,,1719,1719,1.0,,,,,,,,
d_main_04_07_21,d_main_04_07,Speech,mihara,mihara,Locale_MainScenario:d_main_04_07_21,True,,1,idle,,,,,,,,17,idle,,19,think,,1719,1719,1.0,,,,,,,,
d_main_04_07_22,d_main_04_07,Speech,rapi,rapi,Locale_MainScenario:d_main_04_07_22,True,,1,idle,,,,,,,,17,idle,,19,think,,1719,1,1.0,,,,,,,,
d_main_04_07_23,d_main_04_07,Speech,rapi,rapi,Locale_MainScenario:d_main_04_07_23,True,,1,idle,,,,,,,,17,idle,,19,think,,1,1,1.0,bgm_floraltribute_b,,,,,,,
d_main_04_07_24,d_main_04_07,Self,rapi,Self,Locale_MainScenario:d_main_04_07_24,False,,1,idle,,,,,,,,17,idle,,19,think,,1,1,1.0,,,,,,,,
d_main_04_07_25,d_main_04_07,Speech,rapi,rapi,Locale_MainScenario:d_main_04_07_25,True,,1,idle,,,,,,,,17,idle,,19,think,,1,1,1.0,,,,,,,,
d_main_04_07_26,d_main_04_07,Speech,rapi,rapi,Locale_MainScenario:d_main_04_07_26,True,,1,idle,,,,,,,,17,idle,,19,think,,1,10,1.0,,,,,,,,
d_main_04_07_27,d_main_04_07,Self,rapi,Self,Locale_MainScenario:d_main_04_07_27,True,,1,idle,,,,,,,,17,idle,,19,think,,10,100,1.0,,rapi,,,,,,
d_main_04_07_28,d_main_04_07,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_04_07_28,True,,,,,,,,,,,17,idle,,19,think,,100,1,1.0,,,shifty_c,OP_center,angry,Low_1,,
d_main_04_07_29,d_main_04_07,Self,shifty_c,Self,Locale_MainScenario:d_main_04_07_29,False,,,,,,,,,,,17,idle,,19,think,,1,1,1.0,,,,OP_center,angry,,,
d_main_04_07_30,d_main_04_07,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_04_07_30,True,,,,,,,,,,,17,idle,,19,think,,1,1,1.0,,,,OP_center,angry,,,
d_main_04_07_31,d_main_04_07,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_04_07_31,True,,,,,,,,,,,17,idle,,19,think,,1,1,1.0,,,,OP_center,angry,,,
d_main_04_07_32,d_main_04_07,Self,shifty_c,Self,Locale_MainScenario:d_main_04_07_32,True,,,,,,,,,,,17,idle,,19,think,,1,1,1.0,,,,OP_center,angry,,,
d_main_04_07_33,d_main_04_07,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_04_07_33,True,,,,,,,,,,,17,idle,,19,think,,1,1,1.0,,,,OP_center,angry,,,
d_main_04_07_34,d_main_04_07,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_04_07_34,False,,,,,,,,,,,17,idle,,19,think,,1,1,1.0,,,,OP_center,think,,,
d_main_04_07_35,d_main_04_07,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_04_07_35,True,,,,,,,,,,,17,idle,,19,think,,1,1,1.0,,,,OP_center,think,,,
