id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_subquest_1011_1,d_subquest_1011,Speech,anis,anis,Locale_SubScenario:d_subquest_1011_1,True,CityForest_01,1,1,1.0,bgm_story_whosdumber,,,anis,1,idle,neon,3,idle,rapi,13,idle
d_subquest_1011_2,d_subquest_1011,Speech,neon,neon,Locale_SubScenario:d_subquest_1011_2,True,,1,2,1.0,,,,,1,idle,,3,idle,,13,idle
d_subquest_1011_3,d_subquest_1011,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1011_3,True,,2,13,2.0,,,,,1,idle,,3,idle,,13,idle
d_subquest_1011_4,d_subquest_1011,Monologue,rapi,,Locale_SubScenario:d_subquest_1011_4,False,,13,13,1.0,,,,,1,idle,,3,idle,,13,idle
d_subquest_1011_5,d_subquest_1011,Monologue,rapi,,Locale_SubScenario:d_subquest_1011_5,False,,13,13,1.0,,,,,1,idle,,3,idle,,13,idle
d_subquest_1011_6,d_subquest_1011,Speech,anis,anis,Locale_SubScenario:d_subquest_1011_6,True,,13,1,1.0,,,,,1,worry,,3,idle,,13,idle
d_subquest_1011_7,d_subquest_1011,Speech,anis,anis,Locale_SubScenario:d_subquest_1011_7,True,,1,1,1.0,,,,,1,worry,,3,idle,,13,idle
d_subquest_1011_8,d_subquest_1011,Self,anis,,Locale_SubScenario:d_subquest_1011_8,False,,1,1,1.0,,,,,1,worry,,3,idle,,13,idle
d_subquest_1011_9,d_subquest_1011,Speech,anis,anis,Locale_SubScenario:d_subquest_1011_9,True,,1,10,2.0,,,,,1,void,,3,idle,,13,idle
d_subquest_1011_10,d_subquest_1011,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1011_10,True,,10,130,1.0,,,,,1,void,,3,idle,,13,idle
d_subquest_1011_11,d_subquest_1011,Narration,rapi,,Locale_SubScenario:d_subquest_1011_11,False,,black,black,1.0,,sfx_scn_wooddissolve,,,1,void,,3,idle,,13,idle
d_subquest_1011_12,d_subquest_1011,Speech,neon,neon,Locale_SubScenario:d_subquest_1011_12,True,,3,S_30,0.5,,,Low_2,,1,void,,3,angry,,13,idle
d_subquest_1011_13,d_subquest_1011,Speech,anis,anis,Locale_SubScenario:d_subquest_1011_13,True,,1,10,0.5,,,Low_2,,1,angry,,3,angry,,13,idle
d_subquest_1011_14,d_subquest_1011,Speech,neon,neon,Locale_SubScenario:d_subquest_1011_14,True,,10,2,2.0,,,,,1,angry,,3,no,,13,idle
d_subquest_1011_15,d_subquest_1011,Speech,anis,anis,Locale_SubScenario:d_subquest_1011_15,True,,2,2,1.0,,,,,1,angry,,3,no,,13,idle
d_subquest_1011_16,d_subquest_1011,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1011_16,True,,2,12,2.0,,,,,1,angry,,3,no,,13,idle
d_subquest_1011_17,d_subquest_1011,Monologue,rapi,,Locale_SubScenario:d_subquest_1011_17,False,,12,12,1.0,,,,,1,angry,,3,idle,,13,idle
d_subquest_1011_18,d_subquest_1011,Speech,anis,anis,Locale_SubScenario:d_subquest_1011_18,True,,12,2,1.0,,,,,1,void,,3,idle,,13,idle
d_subquest_1011_19,d_subquest_1011,Speech,neon,neon,Locale_SubScenario:d_subquest_1011_19,True,,2,2,1.0,,,,,1,void,,3,no,,13,idle
d_subquest_1011_20,d_subquest_1011,Speech,anis,anis,Locale_SubScenario:d_subquest_1011_20,True,,2,2,1.0,,,,,1,worry,,3,no,,13,idle
d_subquest_1011_21,d_subquest_1011,Speech,neon,neon,Locale_SubScenario:d_subquest_1011_21,True,,2,S_30,0.5,,,Low_2,,1,worry,,3,angry,,13,idle
d_subquest_1011_22,d_subquest_1011,Speech,anis,anis,Locale_SubScenario:d_subquest_1011_22,True,,S_30,10,0.5,,,,,1,no,,3,angry,,13,idle
d_subquest_1011_23,d_subquest_1011,Speech,neon,neon,Locale_SubScenario:d_subquest_1011_23,True,,S_30,S_30,1.0,,,,,1,no,,3,surprise,,13,idle
d_subquest_1011_24,d_subquest_1011,Speech,anis,anis,Locale_SubScenario:d_subquest_1011_24,True,,10,10,1.0,,,,,1,worry,,3,surprise,,13,idle
