id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,fade,set_camera_shake,set_filter_01,set_filter_02
d_ex_powerplant_03_1,d_ex_powerplant_03,Narration,Locale_SuddenStory:d_ex_powerplant_03_1,True,TechIndoor,black,black,1.0,sfx_scn_autodooropen,bgm_story_tuffguys,,,,,,,,,,,,,,,
d_ex_powerplant_03_2,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_2,True,,1,10,2.0,,,frima,frima,frima,1,delight,milk,13,delight,,,,,,,
d_ex_powerplant_03_3,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_3,False,,10,10,1.0,,,frima,frima,,1,idle,,13,idle,,,,,,,
d_ex_powerplant_03_4,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_4,True,,10,S_130,1.0,,,milk,milk,,1,idle,,13,idle,,,,,,,
d_ex_powerplant_03_5,d_ex_powerplant_03,Choice,Locale_SuddenStory:d_ex_powerplant_03_5,True,,S_130,S_130,1.0,,,milk,,,1,idle,,13,idle,d_ex_powerplant_03_10,,,,,,
d_ex_powerplant_03_6,d_ex_powerplant_03,Choice,Locale_SuddenStory:d_ex_powerplant_03_6,True,,S_130,S_130,1.0,,,milk,,,1,idle,,13,idle,d_ex_powerplant_03_7,,,,,,
d_ex_powerplant_03_7,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_7,True,,S_130,S_130,1.0,,,milk,milk,,1,idle,,13,idle,,,,,,,
d_ex_powerplant_03_8,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_8,True,,S_130,S_130,1.0,,,milk,milk,,1,idle,,13,delight,,,,,,,
d_ex_powerplant_03_9,d_ex_powerplant_03,Choice,Locale_SuddenStory:d_ex_powerplant_03_9,True,,S_130,S_130,1.0,,,milk,,,1,idle,,13,delight,d_ex_powerplant_03_10,,,,,,
d_ex_powerplant_03_10,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_10,True,,S_130,S_1300,1.0,,,milk,milk,,1,idle,,13,good,,,,,,,
d_ex_powerplant_03_11,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_11,True,,S_1300,S_1300,1.0,,,milk,milk,,1,idle,,13,good,,,,,,,
d_ex_powerplant_03_12,d_ex_powerplant_03,Self,Locale_SuddenStory:d_ex_powerplant_03_12,True,,S_1300,S_1300,1.0,,,milk,,,1,idle,,13,good,,,,,,,
d_ex_powerplant_03_13,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_13,True,,S_1300,12,1.0,,,frima,frima,,1,idle,,13,good,,,,,,,
d_ex_powerplant_03_14,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_14,True,,12,12,1.0,,,milk,milk,,1,idle,,13,good,,,,,,,
d_ex_powerplant_03_15,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_15,True,,12,12,1.0,,,milk,milk,,1,idle,,13,good,,,,,,,
d_ex_powerplant_03_16,d_ex_powerplant_03,Self,Locale_SuddenStory:d_ex_powerplant_03_16,True,,12,12,1.0,,,milk,,,1,idle,,13,good,,,,,,,
d_ex_powerplant_03_17,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_17,True,,12,12,1.0,,,milk,milk,,1,idle,,13,good,,,,,,,
d_ex_powerplant_03_18,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_18,True,,12,S_130,1.0,,,milk,milk,,1,idle,,13,good,,,,,,,
d_ex_powerplant_03_19,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_19,True,,S_130,S_130,1.0,,,milk,milk,,1,idle,,13,good,,,,,,,
d_ex_powerplant_03_20,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_20,True,,S_130,S_130,1.0,,,milk,milk,,1,idle,,13,good,,,,,,,
d_ex_powerplant_03_21,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_21,True,,S_130,10,1.0,,,frima,frima,,1,delight,,13,good,,,,,,,
d_ex_powerplant_03_22,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_22,True,,10,S_130,1.0,,,milk,milk,,1,idle,,13,good,,,,,,,
d_ex_powerplant_03_23,d_ex_powerplant_03,Monologue,Locale_SuddenStory:d_ex_powerplant_03_23,False,,S_130,12,2.0,,,milk,,,1,idle,,13,good,,frima,milk,,,,
d_ex_powerplant_03_24,d_ex_powerplant_03,Monologue,Locale_SuddenStory:d_ex_powerplant_03_24,True,,12,12,1.0,,,milk,,,,,,,,,,,,,,
d_ex_powerplant_03_25,d_ex_powerplant_03,Choice,Locale_SuddenStory:d_ex_powerplant_03_25,True,,12,12,1.0,,,milk,,,,,,,,d_ex_powerplant_03_27,,,,,,
d_ex_powerplant_03_26,d_ex_powerplant_03,Choice,Locale_SuddenStory:d_ex_powerplant_03_26,True,,12,12,1.0,,,milk,,,,,,,,d_ex_powerplant_03_30,,,,,,
d_ex_powerplant_03_27,d_ex_powerplant_03,Monologue,Locale_SuddenStory:d_ex_powerplant_03_27,False,,12,12,1.0,,,milk,,,,,,,,,,,,,,
d_ex_powerplant_03_28,d_ex_powerplant_03,Monologue,Locale_SuddenStory:d_ex_powerplant_03_28,True,,12,12,1.0,,,milk,,,,,,,,,,,,,,
