id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id
d_main_32_af_02_1,d_main_32_af_02,Speech,rapi,rapi,Locale_MainScenario:d_main_32_af_02_1,True,rapi,1,idle,emma,3,idle,eunhwa,13,idle,Hospital,10,10,1.0,bgm_story_discussion,,
d_main_32_af_02_2,d_main_32_af_02,Speech,rapi,rapi,Locale_MainScenario:d_main_32_af_02_2,True,,1,idle,,3,idle,,13,idle,,10,10,1.0,,,
d_main_32_af_02_3,d_main_32_af_02,Speech,emma,emma,Locale_MainScenario:d_main_32_af_02_3,True,,1,idle,,3,idle,,13,idle,,10,31,1.0,,,
d_main_32_af_02_4,d_main_32_af_02,Speech,rapi,rapi,Locale_MainScenario:d_main_32_af_02_4,True,,1,idle,,3,idle,,13,idle,,31,31,1.0,,,
d_main_32_af_02_5,d_main_32_af_02,Speech,emma,emma,Locale_MainScenario:d_main_32_af_02_5,True,,1,idle,,3,idle,,13,idle,,31,31,1.0,,,
d_main_32_af_02_6,d_main_32_af_02,Speech,emma,emma,Locale_MainScenario:d_main_32_af_02_6,True,,1,idle,,3,idle,,13,idle,,31,31,1.0,,,
d_main_32_af_02_7,d_main_32_af_02,Speech,rapi,rapi,Locale_MainScenario:d_main_32_af_02_7,True,,1,idle,,3,idle,,13,idle,,31,31,1.0,,,
d_main_32_af_02_8,d_main_32_af_02,Speech,rapi,rapi,Locale_MainScenario:d_main_32_af_02_8,True,,1,idle,,3,idle,,13,idle,,31,113,1.0,,,
d_main_32_af_02_9,d_main_32_af_02,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_32_af_02_9,True,,1,idle,,3,idle,,13,idle,,113,113,1.0,,,
d_main_32_af_02_10,d_main_32_af_02,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_32_af_02_10,True,,1,idle,,3,idle,,13,idle,,113,113,1.0,,,
