id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,fade,jump_target
d_main_19af_02_1,d_main_19af_02,Speech,anis,anis,Locale_MainScenario:d_main_19af_02_1,True,rapi,4,idle,anis,2,shy,papillon,12,idle,neon,14,idle,EdenIndoor,2,20,0.5,bgm_story_leisuretime,,,,,,,
d_main_19af_02_2,d_main_19af_02,Speech,anis,anis,Locale_MainScenario:d_main_19af_02_2,True,,4,idle,,2,shy,,12,idle,,14,idle,,20,20,1.0,,,,,,,,
d_main_19af_02_3,d_main_19af_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19af_02_3,True,,4,idle,,2,shy,,12,delight,,14,idle,,20,S_1200,0.7,,,,,,,,
d_main_19af_02_4,d_main_19af_02,Monologue,,Monologue,Locale_MainScenario:d_main_19af_02_4,False,,4,idle,,2,idle,,12,delight,,14,idle,,S_1200,S_1200,1.0,,,,,,,,
d_main_19af_02_5,d_main_19af_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19af_02_5,True,,4,idle,,2,idle,,12,idle,,14,idle,,S_1200,S_1200,1.0,,,,,,,,
d_main_19af_02_6,d_main_19af_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19af_02_6,True,,4,idle,,2,idle,,12,idle,,14,idle,,S_1200,S_1200,1.0,,,,,,,,
d_main_19af_02_7,d_main_19af_02,Self,,Self,Locale_MainScenario:d_main_19af_02_7,False,,4,idle,,2,idle,,12,idle,,14,idle,,S_1200,S_1200,1.0,,,,,,,,
d_main_19af_02_8,d_main_19af_02,Speech,neon,neon,Locale_MainScenario:d_main_19af_02_8,False,,4,idle,,2,idle,,12,idle,,14,no,,S_1200,S_140,2.0,,,,,,,,
d_main_19af_02_9,d_main_19af_02,Speech,neon,neon,Locale_MainScenario:d_main_19af_02_9,True,,4,idle,,2,idle,,12,idle,,14,no,,S_140,S_1400,1.0,,,,,,,,
d_main_19af_02_10,d_main_19af_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19af_02_10,True,,4,idle,,2,idle,,12,surprise,,14,no,,S_1200,S_120,0.3,,Low_2,,,,,,
d_main_19af_02_11,d_main_19af_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19af_02_11,True,,4,idle,,2,idle,,12,surprise,,14,no,,S_120,S_120,1.0,,,,,,,,
d_main_19af_02_12,d_main_19af_02,Speech,neon,neon,Locale_MainScenario:d_main_19af_02_12,True,,4,idle,,2,idle,,12,surprise,,14,angry,,S_140,S_140,1.0,,,,,,,,
d_main_19af_02_13,d_main_19af_02,Speech,neon,neon,Locale_MainScenario:d_main_19af_02_13,True,,4,idle,,2,idle,,12,surprise,,14,angry,,S_140,S_140,1.0,,,,,,,,
d_main_19af_02_14,d_main_19af_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19af_02_14,True,,4,idle,,2,idle,,12,angry,,14,angry,,S_120,S_120,1.0,,,,,,,,
d_main_19af_02_15,d_main_19af_02,Self,,Self,Locale_MainScenario:d_main_19af_02_15,False,,4,idle,,2,idle,,12,angry,,14,idle,,S_120,S_120,1.0,,,,,,,,
d_main_19af_02_16,d_main_19af_02,Speech,rapi,rapi,Locale_MainScenario:d_main_19af_02_16,True,,4,idle,,2,void,,12,idle,,14,idle,,3,3,1.0,,,,,,,,
d_main_19af_02_17,d_main_19af_02,Speech,anis,anis,Locale_MainScenario:d_main_19af_02_17,True,,4,idle,,2,void,,12,idle,,14,idle,,3,3,1.0,,,,,,,,
d_main_19af_02_18,d_main_19af_02,Speech,anis,anis,Locale_MainScenario:d_main_19af_02_18,True,,4,idle,,2,angry,,12,idle,,14,idle,,3,3,1.0,,,,,,,,
d_main_19af_02_19,d_main_19af_02,Speech,anis,anis,Locale_MainScenario:d_main_19af_02_19,True,,4,idle,,2,angry,,12,idle,,14,idle,,3,3,1.0,,,,,,,,
d_main_19af_02_20,d_main_19af_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19af_02_20,True,,4,idle,,2,angry,,12,think,,14,idle,,3,1,1.0,,,,,,,,
d_main_19af_02_21,d_main_19af_02,Self,,Self,Locale_MainScenario:d_main_19af_02_21,False,,4,idle,,2,idle,,12,think,,14,idle,,1,1,1.0,,,,,,,,
d_main_19af_02_22,d_main_19af_02,Speech,anis,anis,Locale_MainScenario:d_main_19af_02_22,True,,4,idle,,2,worry,,12,idle,,14,idle,,1,1,1.0,,,,,,,,
d_main_19af_02_23,d_main_19af_02,Speech,neon,neon,Locale_MainScenario:d_main_19af_02_23,True,,4,idle,,2,worry,,12,idle,,14,surprise,,1,13,0.3,,,,,,,,
d_main_19af_02_24,d_main_19af_02,Monologue,,Monologue,Locale_MainScenario:d_main_19af_02_24,False,,4,idle,,2,idle,,12,idle,,14,idle,,black,black,1.0,,,,,,,,
d_main_19af_02_25,d_main_19af_02,Speech,anis,anis,Locale_MainScenario:d_main_19af_02_25,True,,4,idle,,2,worry,,12,idle,,14,idle,,20,20,1.0,,,,,,,,
d_main_19af_02_26,d_main_19af_02,Speech,anis,anis,Locale_MainScenario:d_main_19af_02_26,True,,4,idle,,2,worry,,12,idle,,14,idle,,20,20,1.0,,,,,,,,
d_main_19af_02_27,d_main_19af_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19af_02_27,True,,4,idle,,2,idle,,12,idle,,14,idle,,S_120,S_120,1.0,,,,,,,,
d_main_19af_02_28,d_main_19af_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19af_02_28,True,,4,idle,,2,idle,,12,idle,,14,idle,,S_120,S_120,1.0,,,,,,,,
d_main_19af_02_29,d_main_19af_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19af_02_29,True,,4,idle,,2,idle,,12,idle,,14,idle,,S_120,S_120,1.0,,,,,,,,
d_main_19af_02_30,d_main_19af_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19af_02_30,True,,4,idle,,2,idle,,12,idle,,14,idle,,S_120,S_120,1.0,,,,,,,,
d_main_19af_02_31,d_main_19af_02,Speech,anis,anis,Locale_MainScenario:d_main_19af_02_31,False,,4,idle,,2,void,,12,idle,,14,idle,,S_120,20,2.0,,,,,,,,
d_main_19af_02_32,d_main_19af_02,Speech,anis,anis,Locale_MainScenario:d_main_19af_02_32,True,,4,idle,,2,void,,12,idle,,14,idle,,20,20,1.0,,,,,,,,
d_main_19af_02_33,d_main_19af_02,Self,,Self,Locale_MainScenario:d_main_19af_02_33,False,,4,idle,,2,void,,12,idle,,14,idle,,20,20,1.0,,,,,,,,
d_main_19af_02_34,d_main_19af_02,Speech,anis,anis,Locale_MainScenario:d_main_19af_02_34,True,,4,idle,,2,void,,12,idle,,14,idle,,20,20,1.0,,,,,,,,
d_main_19af_02_35,d_main_19af_02,Self,,Self,Locale_MainScenario:d_main_19af_02_35,False,,4,idle,,2,void,,12,idle,,14,idle,,20,20,1.0,,,,,,,,
d_main_19af_02_36,d_main_19af_02,Speech,anis,anis,Locale_MainScenario:d_main_19af_02_36,True,,4,idle,,2,worry,,12,idle,,14,idle,,20,20,1.0,,,,,,,,
d_main_19af_02_37,d_main_19af_02,Speech,anis,anis,Locale_MainScenario:d_main_19af_02_37,True,,4,idle,,2,worry,,12,idle,,14,idle,,20,20,1.0,,,,,,,,
d_main_19af_02_38,d_main_19af_02,Speech,anis,anis,Locale_MainScenario:d_main_19af_02_38,True,,4,idle,,2,worry,,12,idle,,14,idle,,20,20,1.0,,,,,,,,
d_main_19af_02_39,d_main_19af_02,Speech,anis,anis,Locale_MainScenario:d_main_19af_02_39,True,,4,idle,,2,worry,,12,idle,,14,idle,,20,20,1.0,,,,,,,,
d_main_19af_02_40,d_main_19af_02,Self,,Self,Locale_MainScenario:d_main_19af_02_40,False,,4,idle,,2,worry,,12,idle,,14,idle,,20,20,1.0,,,,,,,,
d_main_19af_02_41,d_main_19af_02,Speech,anis,anis,Locale_MainScenario:d_main_19af_02_41,True,,4,idle,,2,idle,,12,idle,,14,idle,,20,20,1.0,,,,,,,,
d_main_19af_02_42,d_main_19af_02,Speech,neon,neon,Locale_MainScenario:d_main_19af_02_42,True,,4,idle,,2,idle,,12,idle,,14,delight,,S_140,S_140,1.0,,,,,,,,
d_main_19af_02_43,d_main_19af_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19af_02_43,True,,4,idle,,2,idle,,12,delight,,14,delight,,S_140,13,2.0,,,,,,,,
