id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_filter_01,set_filter_02,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
d_main_06_01_1,d_main_06_01,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_01_1,True,MachineRoom,1,10,3.0,bgm_mystery,,,,,alice,3,idle,,ludmilla,1,idle,,rapi,13,idle,,anis,15,idle,,neon,17,idle,,,,,
d_main_06_01_2,d_main_06_01,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_01_2,True,,10,100,1.0,,,,,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,idle,,,,,
d_main_06_01_3,d_main_06_01,Speech,rapi,rapi,Locale_MainScenario:d_main_06_01_3,True,,100,113,1.0,,,,,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,idle,,,,,
d_main_06_01_4,d_main_06_01,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_01_4,True,,113,113,1.0,,,,,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,idle,,,,,
d_main_06_01_5,d_main_06_01,Speech,anis,anis,Locale_MainScenario:d_main_06_01_5,True,,113,15,1.0,,,,,,,3,idle,,,1,idle,,,13,idle,,,15,void,,,17,idle,,,,,
d_main_06_01_6,d_main_06_01,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_01_6,True,,15,1,1.0,,,,,,,3,idle,,,1,idle,,,13,idle,,,15,void,,,17,idle,,,,,
d_main_06_01_7,d_main_06_01,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_01_7,True,,1,1,1.0,,,,,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,idle,,,,,
d_main_06_01_8,d_main_06_01,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_01_8,True,,1,1,1.0,,,,,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,idle,,,,,
d_main_06_01_9,d_main_06_01,Speech,neon,neon,Locale_MainScenario:d_main_06_01_9,True,,1,17,0.5,,,,,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,no,,,,,
d_main_06_01_10,d_main_06_01,Narration,neon,Narration,Locale_MainScenario:d_main_06_01_10,True,,17,S_1700,0.2,,sfx_scn_aim,,,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,no,,,,,
