id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_workshop_01_1,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_1,True,Workshop,XS_10,XS_10,1.0,bgm_story_kneeldownfools,,,noah,1,idle,,centi,13,idle,
d_ex_workshop_01_2,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_2,True,,XS_10,XS_10,1.0,,,,,1,idle,,,13,idle,
d_ex_workshop_01_3,d_ex_workshop_01,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_01_3,True,,XS_10,113,1.0,,,,,1,idle,,,13,idle,
d_ex_workshop_01_4,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_4,True,,113,113,1.0,,,,,1,surprise,,,13,idle,
d_ex_workshop_01_5,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_5,True,,113,113,1.0,,,,,1,good,,,13,idle,
d_ex_workshop_01_6,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_6,True,,113,113,1.0,,,,,1,good,,,13,idle,
d_ex_workshop_01_7,d_ex_workshop_01,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_01_7,False,,113,113,1.0,,,,,1,good,,,13,surprise,
d_ex_workshop_01_8,d_ex_workshop_01,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_01_8,True,,113,113,1.0,,,,,1,good,,,13,surprise,
d_ex_workshop_01_9,d_ex_workshop_01,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_01_9,True,,113,113,1.0,,,,,1,good,,,13,surprise,
d_ex_workshop_01_10,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_10,True,,113,XS_10,1.0,,,,,1,surprise,,,13,surprise,
d_ex_workshop_01_11,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_11,True,,XS_10,XS_10,1.0,,,,,1,idle,,,13,surprise,
d_ex_workshop_01_12,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_12,True,,XS_10,XS_10,1.0,,,,,1,idle,,,13,surprise,
d_ex_workshop_01_13,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_13,True,,XS_10,XS_10,1.0,,,,,1,idle,,,13,surprise,
d_ex_workshop_01_14,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_14,True,,XS_10,XS_10,1.0,,,,,1,idle,,,13,surprise,
d_ex_workshop_01_15,d_ex_workshop_01,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_01_15,False,,XS_10,113,1.0,,,,,1,idle,,,13,angry,
d_ex_workshop_01_16,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_16,True,,113,113,1.0,,,,,1,idle,,,13,angry,
d_ex_workshop_01_17,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_17,True,,113,113,1.0,,,,,1,idle,,,13,angry,
d_ex_workshop_01_18,d_ex_workshop_01,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_01_18,True,,113,113,1.0,,,,,1,idle,,,13,idle,
d_ex_workshop_01_19,d_ex_workshop_01,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_01_19,True,,113,113,1.0,,,,,1,idle,,,13,idle,
d_ex_workshop_01_20,d_ex_workshop_01,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_01_20,True,,113,113,1.0,,,,,1,idle,,,13,idle,
d_ex_workshop_01_21,d_ex_workshop_01,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_01_21,True,,113,113,1.0,,,,,1,idle,,,13,idle,
d_ex_workshop_01_22,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_22,True,,113,113,1.0,,,,,1,surprise,,,13,idle,
d_ex_workshop_01_23,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_23,True,,113,113,1.0,,,,,1,shy,,,13,idle,
d_ex_workshop_01_24,d_ex_workshop_01,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_01_24,True,,113,L_130,1.0,,,,,1,shy,,,13,idle,
d_ex_workshop_01_25,d_ex_workshop_01,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_01_25,True,,L_130,L_130,1.0,,,,,1,shy,,,13,idle,
d_ex_workshop_01_26,d_ex_workshop_01,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_01_26,True,,L_130,L_130,1.0,,,,,1,shy,,,13,idle,
d_ex_workshop_01_27,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_27,True,,L_130,XS_10,1.0,,,,,1,shy,,,13,idle,
d_ex_workshop_01_28,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_28,True,,XS_10,XS_10,1.0,,,,,1,shy,,,13,idle,
d_ex_workshop_01_29,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_29,True,,XS_10,XS_10,1.0,,,,,1,shy,,,13,idle,
d_ex_workshop_01_30,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_30,True,,XS_10,XS_10,1.0,,,,,1,idle,,,13,idle,
d_ex_workshop_01_31,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_31,True,,XS_10,XS_100,0.5,,,,,1,idle,,,13,idle,
d_ex_workshop_01_32,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_32,True,,XS_100,XS_100,1.0,,,,,1,idle,,,13,idle,
d_ex_workshop_01_33,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_33,True,,XS_100,XS_100,1.0,,,,,1,idle,,,13,idle,
d_ex_workshop_01_34,d_ex_workshop_01,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_01_34,False,,XS_100,L_1300,1.0,,,,,1,idle,noah,,13,angry,
d_ex_workshop_01_35,d_ex_workshop_01,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_01_35,True,,L_1300,L_1300,1.0,,,,,,,,,13,angry,
d_ex_workshop_01_36,d_ex_workshop_01,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_01_36,True,,L_1300,L_1300,1.0,,,,,,,,,13,angry,
d_ex_workshop_01_37,d_ex_workshop_01,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_01_37,True,,L_1300,L_1300,1.0,,,,,,,,,13,angry,
d_ex_workshop_01_38,d_ex_workshop_01,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_01_38,True,,L_1300,L_1300,1.0,,,,,,,,,13,angry,
d_ex_workshop_01_39,d_ex_workshop_01,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_01_39,True,,L_1300,L_1300,1.0,,,,,,,,,13,angry,
d_ex_workshop_01_40,d_ex_workshop_01,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_01_40,True,,L_1300,L_1300,1.0,,,,,,,,,13,angry,
d_ex_workshop_01_41,d_ex_workshop_01,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_01_41,True,,L_1300,L_1300,1.0,,,,,,,,,13,angry,
d_ex_workshop_01_42,d_ex_workshop_01,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_01_42,True,,L_1300,L_130,0.5,,,,,,,,,13,angry,
d_ex_workshop_01_43,d_ex_workshop_01,Narration,,,Locale_SuddenStory:d_ex_workshop_01_43,False,OutpostOut,black,black,1.0,none,,,noah,1,shy,,,13,angry,centi
d_ex_workshop_01_44,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_44,False,,1,1,1.0,bgm_story_whosdumber,,,,1,shy,,,,,
d_ex_workshop_01_45,d_ex_workshop_01,Self,noah,Self,Locale_SuddenStory:d_ex_workshop_01_45,True,,1,1,1.0,,,,,1,shy,,,,,
d_ex_workshop_01_46,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_46,True,,1,XS_10,0.5,,,,,1,pain,,,,,
d_ex_workshop_01_47,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_47,True,,XS_10,XS_10,1.0,,,,,1,pain,,,,,
d_ex_workshop_01_48,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_48,True,,XS_10,XS_10,1.0,,,,,1,pain,,,,,
d_ex_workshop_01_49,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_49,True,,XS_10,XS_10,1.0,,,,,1,pain,,,,,
d_ex_workshop_01_50,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_50,True,,XS_10,XS_10,1.0,,,,,1,pain,,,,,
d_ex_workshop_01_51,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_51,True,,XS_10,XS_10,1.0,,,,,1,pain,,,,,
d_ex_workshop_01_52,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_52,True,,XS_10,XS_10,1.0,,,,,1,pain,,,,,
d_ex_workshop_01_53,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_53,True,,XS_10,XS_10,1.0,,,,,1,pain,,,,,
d_ex_workshop_01_54,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_54,True,,XS_10,XS_10,1.0,,,,,1,pain,,,,,
d_ex_workshop_01_55,d_ex_workshop_01,Self,noah,Self,Locale_SuddenStory:d_ex_workshop_01_55,True,,XS_10,XS_10,1.0,,,,,1,pain,,,,,
d_ex_workshop_01_56,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_56,True,,XS_10,XS_10,1.0,,,,,1,surprise,,,,,
d_ex_workshop_01_57,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_57,True,,XS_10,XS_10,1.0,,,,,1,surprise,,,,,
d_ex_workshop_01_58,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_58,True,,XS_10,XS_10,1.0,,,,,1,good,,,,,
d_ex_workshop_01_59,d_ex_workshop_01,Narration,noah,Narration,Locale_SuddenStory:d_ex_workshop_01_59,True,Workshop,black,black,1.0,,,,,1,good,,centi,15,angry,
d_ex_workshop_01_60,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_60,True,,XS_100,XS_100,1.0,,,,,1,surprise,,,15,angry,
d_ex_workshop_01_61,d_ex_workshop_01,Choice,noah,,Locale_SuddenStory:d_ex_workshop_01_61,True,,XS_100,XS_100,1.0,,d_ex_workshop_01_64,,,1,surprise,,,15,angry,
d_ex_workshop_01_62,d_ex_workshop_01,Choice,noah,,Locale_SuddenStory:d_ex_workshop_01_62,True,,XS_100,XS_100,1.0,,d_ex_workshop_01_63,,,1,surprise,,,15,angry,
d_ex_workshop_01_63,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_63,True,,XS_100,XS_10,1.0,,,,,1,angry,,,15,angry,
d_ex_workshop_01_64,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_64,False,,XS_10,XS_10,1.0,,,,,1,angry,,,15,angry,
d_ex_workshop_01_65,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_65,True,,XS_10,XS_10,1.0,,,,,1,angry,,,15,angry,
d_ex_workshop_01_66,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_66,True,,XS_10,XS_10,1.0,,,,,1,angry,,,15,angry,
d_ex_workshop_01_67,d_ex_workshop_01,Speech,noah,noah,Locale_SuddenStory:d_ex_workshop_01_67,True,,XS_10,XS_10,1.0,,,,,1,angry,,,15,angry,
