id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/hide_char_id,characters/4/hide_char_id
d_main_39_af_03_1,d_main_39_af_03,Speech,eh,eh,Locale_MainScenario:d_main_39_af_03_1,True,neon,1,idle,eh,3,idle,viper,13,idle,endless,15,idle,eternity,17,idle,OuterRim,black,black,1.0,bgm_story_eh,,
d_main_39_af_03_2,d_main_39_af_03,Narration,eternity,,Locale_MainScenario:d_main_39_af_03_2,False,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,1517,1517,1.0,,,
d_main_39_af_03_3,d_main_39_af_03,Speech,eternity,neon,Locale_MainScenario:d_main_39_af_03_3,False,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,1517,1517,1.0,,,
d_main_39_af_03_4,d_main_39_af_03,Speech,eternity,neon,Locale_MainScenario:d_main_39_af_03_4,False,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,1517,1517,1.0,,,
d_main_39_af_03_5,d_main_39_af_03,Speech,eternity,jackal,Locale_MainScenario:d_main_39_af_03_5,False,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,1517,1517,1.0,,,
d_main_39_af_03_6,d_main_39_af_03,Speech,eternity,eh,Locale_MainScenario:d_main_39_af_03_6,False,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,1500,1500,1.0,,,
d_main_39_af_03_7,d_main_39_af_03,Speech,eternity,eh,Locale_MainScenario:d_main_39_af_03_7,False,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,1500,S_1700,1.0,,,
d_main_39_af_03_8,d_main_39_af_03,Speech,eternity,eh,Locale_MainScenario:d_main_39_af_03_8,True,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,31,31,2.0,,,
d_main_39_af_03_9,d_main_39_af_03,Speech,neon,neon,Locale_MainScenario:d_main_39_af_03_9,True,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,31,31,1.0,,,
d_main_39_af_03_10,d_main_39_af_03,Speech,eh,eh,Locale_MainScenario:d_main_39_af_03_10,True,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,31,31,1.0,,,
d_main_39_af_03_11,d_main_39_af_03,Speech,neon,neon,Locale_MainScenario:d_main_39_af_03_11,True,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,31,31,1.0,,,
d_main_39_af_03_12,d_main_39_af_03,Speech,eh,eh,Locale_MainScenario:d_main_39_af_03_12,True,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,31,31,1.0,,,
d_main_39_af_03_13,d_main_39_af_03,Speech,eh,eh,Locale_MainScenario:d_main_39_af_03_13,True,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,31,31,1.0,,,
d_main_39_af_03_14,d_main_39_af_03,Speech,eh,eh,Locale_MainScenario:d_main_39_af_03_14,True,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,31,31,1.0,,,
d_main_39_af_03_15,d_main_39_af_03,Speech,neon,neon,Locale_MainScenario:d_main_39_af_03_15,True,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,31,31,1.0,,,
d_main_39_af_03_16,d_main_39_af_03,Speech,viper,viper,Locale_MainScenario:d_main_39_af_03_16,True,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,31,113,1.5,,endless,eternity
d_main_39_af_03_17,d_main_39_af_03,Speech,viper,viper,Locale_MainScenario:d_main_39_af_03_17,True,,1,idle,,3,idle,,13,idle,,,,,,,,113,113,1.0,,,
d_main_39_af_03_18,d_main_39_af_03,Speech,viper,viper,Locale_MainScenario:d_main_39_af_03_18,True,,1,idle,,3,idle,,13,idle,,,,,,,,113,113,1.0,,,
d_main_39_af_03_19,d_main_39_af_03,Speech,viper,viper,Locale_MainScenario:d_main_39_af_03_19,True,,1,idle,,3,idle,,13,idle,,,,,,,,113,113,1.0,,,
d_main_39_af_03_20,d_main_39_af_03,Speech,neon,neon,Locale_MainScenario:d_main_39_af_03_20,True,,1,idle,,3,idle,,13,idle,,,,,,,,113,113,1.0,,,
d_main_39_af_03_21,d_main_39_af_03,Speech,viper,viper,Locale_MainScenario:d_main_39_af_03_21,True,,1,idle,,3,idle,,13,idle,,,,,,,,113,113,1.0,,,
d_main_39_af_03_22,d_main_39_af_03,Speech,viper,viper,Locale_MainScenario:d_main_39_af_03_22,True,,1,idle,,3,idle,,13,idle,,,,,,,,113,113,1.0,,,
d_main_39_af_03_23,d_main_39_af_03,Speech,neon,neon,Locale_MainScenario:d_main_39_af_03_23,True,,1,idle,,3,idle,,13,idle,,,,,,,,113,113,1.0,,,
d_main_39_af_03_24,d_main_39_af_03,Speech,viper,viper,Locale_MainScenario:d_main_39_af_03_24,True,,1,idle,,3,idle,,13,idle,,,,,,,,113,113,1.0,,,
d_main_39_af_03_25,d_main_39_af_03,Speech,eh,eh,Locale_MainScenario:d_main_39_af_03_25,True,,1,idle,,3,idle,,13,idle,,,,,,,,113,31,1.5,,,
d_main_39_af_03_26,d_main_39_af_03,Speech,eh,eh,Locale_MainScenario:d_main_39_af_03_26,True,,1,idle,,3,idle,,13,idle,,,,,,,,31,31,1.0,,,
d_main_39_af_03_27,d_main_39_af_03,Speech,eh,eh,Locale_MainScenario:d_main_39_af_03_27,True,,1,idle,,3,idle,,13,idle,,,,,,,,31,31,1.0,,,
d_main_39_af_03_28,d_main_39_af_03,Speech,neon,neon,Locale_MainScenario:d_main_39_af_03_28,True,,1,worry,,3,idle,,13,idle,,,,,,,,31,31,1.0,,,
d_main_39_af_03_29,d_main_39_af_03,Speech,eh,eh,Locale_MainScenario:d_main_39_af_03_29,False,,1,worry,,3,idle,,13,idle,,,,,,,,31,31,1.0,,,
d_main_39_af_03_30,d_main_39_af_03,Speech,eh,eh,Locale_MainScenario:d_main_39_af_03_30,True,,1,worry,,3,idle,,13,idle,,,,,,,,31,31,1.0,,,
d_main_39_af_03_31,d_main_39_af_03,Speech,neon,neon,Locale_MainScenario:d_main_39_af_03_31,True,,1,surprise,,3,idle,,13,idle,,,,,,,,31,31,1.0,,,
d_main_39_af_03_32,d_main_39_af_03,Speech,viper,viper,Locale_MainScenario:d_main_39_af_03_32,True,,1,surprise,,3,idle,,13,idle,,,,,,,,130,1300,1.0,,,
d_main_39_af_03_33,d_main_39_af_03,Speech,viper,viper,Locale_MainScenario:d_main_39_af_03_33,True,,1,surprise,,3,idle,,13,idle,,,,,,,,1300,1300,1.0,,,
d_main_39_af_03_34,d_main_39_af_03,Speech,neon,neon,Locale_MainScenario:d_main_39_af_03_34,False,,1,idle,,3,idle,,13,idle,,,,,,,,1300,S_100,1.0,,,
d_main_39_af_03_35,d_main_39_af_03,Speech,neon,neon,Locale_MainScenario:d_main_39_af_03_35,True,,1,idle,,3,idle,,13,idle,,,,,,,,S_100,S_10,1.0,,,
d_main_39_af_03_36,d_main_39_af_03,Speech,viper,viper,Locale_MainScenario:d_main_39_af_03_36,True,,1,idle,,3,idle,,13,idle,,,,,,,,S_10,113,1.0,,,
d_main_39_af_03_37,d_main_39_af_03,Speech,viper,viper,Locale_MainScenario:d_main_39_af_03_37,True,,1,idle,,3,idle,,13,idle,,,,,,,,113,113,1.0,,,
d_main_39_af_03_38,d_main_39_af_03,Speech,neon,neon,Locale_MainScenario:d_main_39_af_03_38,True,,1,idle,,3,idle,,13,idle,,,,,,,,113,113,1.0,,,
d_main_39_af_03_39,d_main_39_af_03,Speech,neon,neon,Locale_MainScenario:d_main_39_af_03_39,True,,1,idle,,3,idle,,13,idle,,,,,,,,113,113,1.0,,,
d_main_39_af_03_40,d_main_39_af_03,Speech,eh,eh,Locale_MainScenario:d_main_39_af_03_40,True,,1,idle,,3,idle,,13,idle,,,,,,,,300,30,1.0,,,
d_main_39_af_03_41,d_main_39_af_03,Speech,eh,eh,Locale_MainScenario:d_main_39_af_03_41,True,,1,idle,,3,idle,,13,idle,,,,,,,,30,30,1.0,,,
d_main_39_af_03_42,d_main_39_af_03,Speech,eh,eh,Locale_MainScenario:d_main_39_af_03_42,True,,1,idle,,3,idle,,13,idle,,,,,,,,30,30,1.0,,,
d_main_39_af_03_43,d_main_39_af_03,Speech,eh,eh,Locale_MainScenario:d_main_39_af_03_43,True,,1,idle,,3,idle,,13,idle,,,,,,,,30,30,1.0,,,
d_main_39_af_03_44,d_main_39_af_03,Speech,eh,eh,Locale_MainScenario:d_main_39_af_03_44,True,,1,idle,,3,idle,,13,idle,,,,,,,,30,30,1.0,,,
d_main_39_af_03_45,d_main_39_af_03,Speech,eh,eh,Locale_MainScenario:d_main_39_af_03_45,True,,1,idle,,3,idle,,13,idle,,,,,,,,30,30,1.0,,,
d_main_39_af_03_46,d_main_39_af_03,Speech,eh,eh,Locale_MainScenario:d_main_39_af_03_46,True,,1,idle,,3,idle,,13,idle,,,,,,,,30,30,1.0,,,
d_main_39_af_03_47,d_main_39_af_03,Speech,neon,neon,Locale_MainScenario:d_main_39_af_03_47,True,,1,idle,,3,idle,,13,idle,,,,,,,,30,31,1.0,,,
d_main_39_af_03_48,d_main_39_af_03,Speech,viper,viper,Locale_MainScenario:d_main_39_af_03_48,True,,1,idle,,3,idle,,13,idle,,,,,,,,31,113,1.5,,,
d_main_39_af_03_49,d_main_39_af_03,Speech,neon,neon,Locale_MainScenario:d_main_39_af_03_49,True,,1,idle,,3,idle,,13,idle,,,,,,,,113,113,1.0,,,
d_main_39_af_03_50,d_main_39_af_03,Speech,viper,viper,Locale_MainScenario:d_main_39_af_03_50,True,,1,idle,,3,idle,,13,idle,,,,,,,,113,113,1.0,,,
d_main_39_af_03_51,d_main_39_af_03,Speech,neon,neon,Locale_MainScenario:d_main_39_af_03_51,True,,1,idle,,3,idle,,13,idle,,,,,,,,113,113,1.0,,,
d_main_39_af_03_52,d_main_39_af_03,Speech,viper,viper,Locale_MainScenario:d_main_39_af_03_52,True,,1,idle,,3,idle,,13,idle,,,,,,,,113,113,1.0,,,
d_main_39_af_03_53,d_main_39_af_03,Speech,viper,viper,Locale_MainScenario:d_main_39_af_03_53,True,,1,idle,,3,idle,,13,idle,,,,,,,,113,130,1.0,,,
d_main_39_af_03_54,d_main_39_af_03,Speech,viper,viper,Locale_MainScenario:d_main_39_af_03_54,True,,1,idle,,3,idle,,13,idle,,,,,,,,130,130,1.0,,,
d_main_39_af_03_55,d_main_39_af_03,Speech,viper,viper,Locale_MainScenario:d_main_39_af_03_55,True,,1,idle,,3,idle,,13,idle,,,,,,,,130,130,1.0,,,
d_main_39_af_03_56,d_main_39_af_03,Speech,viper,viper,Locale_MainScenario:d_main_39_af_03_56,True,,1,idle,,3,idle,,13,idle,,,,,,,,130,130,1.0,,,
d_main_39_af_03_57,d_main_39_af_03,Speech,eh,eh,Locale_MainScenario:d_main_39_af_03_57,False,,1,idle,,3,idle,,13,idle,,,,,,,,30,30,1.0,,,
d_main_39_af_03_58,d_main_39_af_03,Speech,neon,neon,Locale_MainScenario:d_main_39_af_03_58,False,,1,idle,,3,idle,,13,idle,,,,,,,,30,S_10,1.0,,,
d_main_39_af_03_59,d_main_39_af_03,Speech,viper,viper,Locale_MainScenario:d_main_39_af_03_59,True,,1,idle,,3,idle,,13,idle,,,,,,,,S_10,130,1.0,,,
d_main_39_af_03_60,d_main_39_af_03,Speech,viper,viper,Locale_MainScenario:d_main_39_af_03_60,True,,1,idle,,3,idle,,13,idle,,,,,,,,130,1300,1.0,,,
d_main_39_af_03_61,d_main_39_af_03,Speech,viper,viper,Locale_MainScenario:d_main_39_af_03_61,True,,1,idle,,3,idle,,13,idle,,,,,,,,1300,1300,1.0,,,
d_main_39_af_03_62,d_main_39_af_03,Speech,viper,viper,Locale_MainScenario:d_main_39_af_03_62,True,,1,idle,,3,idle,,13,idle,,,,,,,,1300,1300,1.0,,,
d_main_39_af_03_63,d_main_39_af_03,Speech,eh,eh,Locale_MainScenario:d_main_39_af_03_63,True,,1,idle,,3,idle,,13,idle,,,,,,,,300,300,1.0,,,
d_main_39_af_03_64,d_main_39_af_03,Speech,eh,eh,Locale_MainScenario:d_main_39_af_03_64,True,,1,idle,,3,idle,,13,idle,,,,,,,,300,300,1.0,,,
d_main_39_af_03_65,d_main_39_af_03,Speech,eh,eh,Locale_MainScenario:d_main_39_af_03_65,True,,1,idle,,3,idle,,13,idle,,,,,,,,300,300,1.0,,,
d_main_39_af_03_66,d_main_39_af_03,Speech,eh,eh,Locale_MainScenario:d_main_39_af_03_66,True,,1,idle,,3,idle,,13,idle,,,,,,,,300,300,1.0,,,
