id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake,characters/1/hide_char_id
d_ex_clothingstore_09_1,d_ex_clothingstore_09,Narration,Locale_SuddenStory:d_ex_clothingstore_09_1,False,ClothingStore,black,black,1.0,sfx_scn_toyshopbell,none,,,,,,,,,,
d_ex_clothingstore_09_2,d_ex_clothingstore_09,Speech,Locale_SuddenStory:d_ex_clothingstore_09_2,True,,1,1,1.0,,bgm_story_orangepop,ludmilla,ludmilla,ludmilla,1,idle,,,,,
d_ex_clothingstore_09_3,d_ex_clothingstore_09,Speech,Locale_SuddenStory:d_ex_clothingstore_09_3,True,,1,10,1.0,,,ludmilla,ludmilla,,1,idle,,,,,
d_ex_clothingstore_09_4,d_ex_clothingstore_09,Speech,Locale_SuddenStory:d_ex_clothingstore_09_4,True,,3,3,1.0,,,elegg,elegg,,1,idle,elegg,3,idle,,
d_ex_clothingstore_09_5,d_ex_clothingstore_09,Speech,Locale_SuddenStory:d_ex_clothingstore_09_5,True,,3,S_30,1.0,,,elegg,elegg,,1,idle,,3,idle,,
d_ex_clothingstore_09_6,d_ex_clothingstore_09,Speech,Locale_SuddenStory:d_ex_clothingstore_09_6,True,,S_30,S_30,1.0,,,elegg,elegg,,1,idle,,3,idle,,
d_ex_clothingstore_09_7,d_ex_clothingstore_09,Speech,Locale_SuddenStory:d_ex_clothingstore_09_7,True,,S_30,2,1.0,,,ludmilla,ludmilla,,1,idle,,3,idle,,
d_ex_clothingstore_09_8,d_ex_clothingstore_09,Self,Locale_SuddenStory:d_ex_clothingstore_09_8,False,,2,2,1.0,,,,,,1,idle,,3,idle,,
d_ex_clothingstore_09_9,d_ex_clothingstore_09,Speech,Locale_SuddenStory:d_ex_clothingstore_09_9,True,,2,2,1.0,,,elegg,elegg,,1,idle,,3,idle,,
d_ex_clothingstore_09_10,d_ex_clothingstore_09,Speech,Locale_SuddenStory:d_ex_clothingstore_09_10,True,,2,2,1.0,,,elegg,elegg,,1,idle,,3,idle,,
d_ex_clothingstore_09_11,d_ex_clothingstore_09,Speech,Locale_SuddenStory:d_ex_clothingstore_09_11,True,,2,2,1.0,,,elegg,elegg,,1,idle,,3,idle,,
d_ex_clothingstore_09_12,d_ex_clothingstore_09,Self,Locale_SuddenStory:d_ex_clothingstore_09_12,False,,2,2,1.0,,,,,,1,idle,,3,idle,,
d_ex_clothingstore_09_13,d_ex_clothingstore_09,Speech,Locale_SuddenStory:d_ex_clothingstore_09_13,True,,2,2,1.0,,,ludmilla,ludmilla,,1,delight,,3,idle,,
d_ex_clothingstore_09_14,d_ex_clothingstore_09,Speech,Locale_SuddenStory:d_ex_clothingstore_09_14,True,,2,2,1.0,,,ludmilla,ludmilla,,1,idle,,3,idle,,
d_ex_clothingstore_09_15,d_ex_clothingstore_09,Speech,Locale_SuddenStory:d_ex_clothingstore_09_15,True,,2,2,1.0,,,elegg,elegg,,1,idle,,3,idle,,
d_ex_clothingstore_09_16,d_ex_clothingstore_09,Speech,Locale_SuddenStory:d_ex_clothingstore_09_16,True,,2,2,1.0,,,elegg,elegg,,1,idle,,3,idle,,
d_ex_clothingstore_09_17,d_ex_clothingstore_09,Speech,Locale_SuddenStory:d_ex_clothingstore_09_17,True,,2,2,1.0,,,ludmilla,ludmilla,,1,idle,,3,idle,,
d_ex_clothingstore_09_18,d_ex_clothingstore_09,Monologue,Locale_SuddenStory:d_ex_clothingstore_09_18,False,,2,2,1.0,,,Monologue,Monologue,,1,idle,,3,idle,,
d_ex_clothingstore_09_19,d_ex_clothingstore_09,Speech,Locale_SuddenStory:d_ex_clothingstore_09_19,True,,2,10,1.0,,,ludmilla,ludmilla,,1,think,,3,idle,,
d_ex_clothingstore_09_20,d_ex_clothingstore_09,Speech,Locale_SuddenStory:d_ex_clothingstore_09_20,True,,10,S_30,1.0,,,elegg,elegg,,1,idle,,3,idle,,
d_ex_clothingstore_09_21,d_ex_clothingstore_09,Speech,Locale_SuddenStory:d_ex_clothingstore_09_21,True,,S_30,S_30,1.0,,,elegg,elegg,,1,idle,,3,idle,,
d_ex_clothingstore_09_22,d_ex_clothingstore_09,Speech,Locale_SuddenStory:d_ex_clothingstore_09_22,True,,S_30,2,1.0,,,ludmilla,ludmilla,,1,think,,3,idle,,
d_ex_clothingstore_09_23,d_ex_clothingstore_09,Speech,Locale_SuddenStory:d_ex_clothingstore_09_23,True,,2,2,1.0,,,ludmilla,ludmilla,,1,idle,,3,idle,,
d_ex_clothingstore_09_24,d_ex_clothingstore_09,Speech,Locale_SuddenStory:d_ex_clothingstore_09_24,True,,2,2,1.0,,,ludmilla,ludmilla,,1,idle,,3,idle,,
d_ex_clothingstore_09_25,d_ex_clothingstore_09,Speech,Locale_SuddenStory:d_ex_clothingstore_09_25,True,,2,2,1.0,,,elegg,elegg,,1,idle,,3,surprise,,
d_ex_clothingstore_09_26,d_ex_clothingstore_09,Speech,Locale_SuddenStory:d_ex_clothingstore_09_26,True,,2,2,1.0,,,elegg,elegg,,1,idle,,3,idle,,
d_ex_clothingstore_09_27,d_ex_clothingstore_09,Speech,Locale_SuddenStory:d_ex_clothingstore_09_27,True,,2,2,1.0,,,ludmilla,ludmilla,,1,idle,,3,idle,,
d_ex_clothingstore_09_28,d_ex_clothingstore_09,Speech,Locale_SuddenStory:d_ex_clothingstore_09_28,True,,2,2,1.0,,,ludmilla,ludmilla,,1,idle,,3,idle,,
