id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,play_sound
d_ex_wingofvictory_03_1,d_ex_wingofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_wingofvictory_03_1,True,ether,5,sad,Park,5,53,2.0,bgm_story_orangepop,,,,,,,,,,,,
d_ex_wingofvictory_03_2,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_2,True,,5,sad,,53,53,1.0,,harran,3,idle,,,,,,,,,
d_ex_wingofvictory_03_3,d_ex_wingofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_wingofvictory_03_3,True,,5,sad,,53,53,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_4,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_4,True,,5,sad,,53,53,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_5,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_5,True,,5,sad,,53,53,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_6,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_6,True,,5,sad,,53,30,1.0,,,3,special,,,,,,,,,
d_ex_wingofvictory_03_7,d_ex_wingofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_wingofvictory_03_7,True,,5,sad,,XS_50,XS_50,1.0,,,3,special,,,,,,,,,
d_ex_wingofvictory_03_8,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_8,True,,5,sad,,30,30,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_9,d_ex_wingofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_wingofvictory_03_9,True,,5,angry,,XS_50,XS_50,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_10,d_ex_wingofvictory_03,Self,ether,,Locale_SuddenStory:d_ex_wingofvictory_03_10,False,,5,angry,,53,53,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_11,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_11,True,,5,angry,,53,53,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_12,d_ex_wingofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_wingofvictory_03_12,True,,5,sad,,53,XS_500,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_13,d_ex_wingofvictory_03,Self,ether,,Locale_SuddenStory:d_ex_wingofvictory_03_13,False,,5,sad,,XS_500,XS_500,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_14,d_ex_wingofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_wingofvictory_03_14,True,,5,sad,,XS_500,XS_50,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_15,d_ex_wingofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_wingofvictory_03_15,True,,5,sad,,XS_50,XS_50,1.0,,,3,idle,,,,,,,,,
