id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake
d_ex_workshop_08_1,d_ex_workshop_08,Speech,elegg,elegg,Locale_SuddenStory:d_ex_workshop_08_1,True,elegg,1,worry,liter,13,idle,centi,15,idle,Workshop,12,12,1.0,bgm_story_orangepop,
d_ex_workshop_08_2,d_ex_workshop_08,Speech,elegg,elegg,Locale_SuddenStory:d_ex_workshop_08_2,True,,1,worry,,13,idle,,15,idle,,12,12,1.0,,
d_ex_workshop_08_3,d_ex_workshop_08,Speech,elegg,elegg,Locale_SuddenStory:d_ex_workshop_08_3,True,,1,worry,,13,idle,,15,idle,,12,12,1.0,,
d_ex_workshop_08_4,d_ex_workshop_08,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_08_4,True,,1,worry,,13,idle,,15,idle,,12,14,1.0,,
d_ex_workshop_08_5,d_ex_workshop_08,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_08_5,True,,1,worry,,13,idle,,15,idle,,14,14,1.0,,
d_ex_workshop_08_6,d_ex_workshop_08,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_08_6,True,,1,worry,,13,delight,,15,idle,,14,14,1.0,,
d_ex_workshop_08_7,d_ex_workshop_08,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_08_7,True,,1,worry,,13,delight,,15,idle,,14,14,1.0,,
d_ex_workshop_08_8,d_ex_workshop_08,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_08_8,True,,1,worry,,13,idle,,15,idle,,14,14,1.0,,
d_ex_workshop_08_9,d_ex_workshop_08,Speech,elegg,elegg,Locale_SuddenStory:d_ex_workshop_08_9,True,,1,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,
d_ex_workshop_08_10,d_ex_workshop_08,Speech,elegg,elegg,Locale_SuddenStory:d_ex_workshop_08_10,True,,1,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,
d_ex_workshop_08_11,d_ex_workshop_08,Self,elegg,,Locale_SuddenStory:d_ex_workshop_08_11,False,,1,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,
d_ex_workshop_08_12,d_ex_workshop_08,Speech,elegg,elegg,Locale_SuddenStory:d_ex_workshop_08_12,True,,1,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,
d_ex_workshop_08_13,d_ex_workshop_08,Self,elegg,,Locale_SuddenStory:d_ex_workshop_08_13,False,,1,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,
d_ex_workshop_08_14,d_ex_workshop_08,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_08_14,True,,1,idle,,13,idle,,15,surprise,,L_150,L_1500,1.0,none,Low_2
d_ex_workshop_08_15,d_ex_workshop_08,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_08_15,True,,1,idle,,13,idle,,15,surprise,,L_1500,L_1500,1.0,bgm_story_heynewbie,
d_ex_workshop_08_16,d_ex_workshop_08,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_08_16,True,,1,idle,,13,idle,,15,surprise,,L_1500,L_1600,0.6,,
d_ex_workshop_08_17,d_ex_workshop_08,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_08_17,True,,1,idle,,13,idle,,15,surprise,,L_1600,14,1.0,,
d_ex_workshop_08_18,d_ex_workshop_08,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_08_18,True,,1,idle,,13,surprise,,15,surprise,,14,14,1.0,,
d_ex_workshop_08_19,d_ex_workshop_08,Self,liter,,Locale_SuddenStory:d_ex_workshop_08_19,False,,1,idle,,13,surprise,,15,surprise,,14,14,1.0,,
d_ex_workshop_08_20,d_ex_workshop_08,Speech,elegg,elegg,Locale_SuddenStory:d_ex_workshop_08_20,True,,1,delight,,13,surprise,,15,surprise,,S_10,S_10,1.0,,
d_ex_workshop_08_21,d_ex_workshop_08,Speech,elegg,elegg,Locale_SuddenStory:d_ex_workshop_08_21,True,,1,delight,,13,surprise,,15,surprise,,S_10,S_100,1.0,,
d_ex_workshop_08_22,d_ex_workshop_08,Self,elegg,,Locale_SuddenStory:d_ex_workshop_08_22,False,,1,delight,,13,surprise,,15,surprise,,S_100,S_100,1.0,,
d_ex_workshop_08_23,d_ex_workshop_08,Speech,elegg,elegg,Locale_SuddenStory:d_ex_workshop_08_23,True,,1,worry,,13,surprise,,15,surprise,,S_100,S_100,1.0,,
d_ex_workshop_08_24,d_ex_workshop_08,Monologue,,,Locale_SuddenStory:d_ex_workshop_08_24,False,,1,worry,,13,surprise,,15,surprise,,S_100,12,1.0,,
d_ex_workshop_08_25,d_ex_workshop_08,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_08_25,True,,1,worry,,13,sorrow,,15,surprise,,12,12,1.0,,
d_ex_workshop_08_26,d_ex_workshop_08,Speech,elegg,elegg,Locale_SuddenStory:d_ex_workshop_08_26,True,,1,surprise,,13,sorrow,,15,surprise,,12,12,1.0,,
d_ex_workshop_08_27,d_ex_workshop_08,Speech,elegg,elegg,Locale_SuddenStory:d_ex_workshop_08_27,True,,1,surprise,,13,sorrow,,15,surprise,,12,12,1.0,,
d_ex_workshop_08_28,d_ex_workshop_08,Self,elegg,,Locale_SuddenStory:d_ex_workshop_08_28,False,,1,surprise,,13,sorrow,,15,surprise,,12,12,1.0,,
d_ex_workshop_08_29,d_ex_workshop_08,Speech,elegg,elegg,Locale_SuddenStory:d_ex_workshop_08_29,True,,1,surprise,,13,sorrow,,15,surprise,,12,12,1.0,,
d_ex_workshop_08_30,d_ex_workshop_08,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_08_30,True,,1,surprise,,13,surprise,,15,surprise,,12,XS_130,1.0,,
d_ex_workshop_08_31,d_ex_workshop_08,Speech,elegg,elegg,Locale_SuddenStory:d_ex_workshop_08_31,True,,1,surprise,,13,surprise,,15,surprise,,S_100,S_100,1.0,,
d_ex_workshop_08_32,d_ex_workshop_08,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_08_32,True,,1,surprise,,13,surprise,,15,idle,,14,14,1.0,,
d_ex_workshop_08_33,d_ex_workshop_08,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_08_33,True,,1,surprise,,13,idle,,15,idle,,14,14,1.0,,
d_ex_workshop_08_34,d_ex_workshop_08,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_08_34,True,,1,surprise,,13,idle,,15,idle,,14,14,1.0,,
d_ex_workshop_08_35,d_ex_workshop_08,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_08_35,True,,1,surprise,,13,idle,,15,idle,,14,14,1.0,,
d_ex_workshop_08_36,d_ex_workshop_08,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_08_36,True,,1,surprise,,13,idle,,15,idle,,14,14,1.0,,
d_ex_workshop_08_37,d_ex_workshop_08,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_08_37,True,,1,surprise,,13,delight,,15,idle,,14,14,1.0,,
d_ex_workshop_08_38,d_ex_workshop_08,Speech,elegg,elegg,Locale_SuddenStory:d_ex_workshop_08_38,True,,1,surprise,,13,delight,,15,idle,,14,1,1.0,,
d_ex_workshop_08_39,d_ex_workshop_08,Speech,elegg,elegg,Locale_SuddenStory:d_ex_workshop_08_39,True,,1,special,,13,delight,,15,idle,,1,1,1.0,,Low_2
d_ex_workshop_08_40,d_ex_workshop_08,Speech,elegg,elegg,Locale_SuddenStory:d_ex_workshop_08_40,True,,1,special,,13,delight,,15,idle,,1,S_10,1.0,,
d_ex_workshop_08_41,d_ex_workshop_08,Speech,elegg,elegg,Locale_SuddenStory:d_ex_workshop_08_41,True,,1,special,,13,delight,,15,idle,,S_10,S_10,1.0,,
d_ex_workshop_08_42,d_ex_workshop_08,Speech,elegg,elegg,Locale_SuddenStory:d_ex_workshop_08_42,True,,1,delight,,13,delight,,15,idle,,S_10,S_100,1.0,,Low_2
