id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,set_filter_01,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_main_38_03_1,d_main_38_03,Self,Locale_MainScenario:d_main_38_03_1,False,SilverSea,5,5,1.0,bgm_chapter38_field_goldentree_a,,,,,,rapi_red,1,idle,laplace,13,no,drake,15,idle,,,,
d_main_38_03_2,d_main_38_03,Speech,Locale_MainScenario:d_main_38_03_2,True,,5,1,1.0,,rapi_red,rapi_red,,,,,1,idle,,13,no,,15,idle,,,,
d_main_38_03_3,d_main_38_03,Speech,Locale_MainScenario:d_main_38_03_3,True,,1,1,1.0,,rapi_red,rapi_red,,,,,1,idle,,13,no,,15,idle,,,,
d_main_38_03_4,d_main_38_03,Self,Locale_MainScenario:d_main_38_03_4,False,,1,1,1.0,,rapi_red,,,,,,1,idle,,13,no,,15,idle,,,,
d_main_38_03_5,d_main_38_03,Speech,Locale_MainScenario:d_main_38_03_5,True,,1,1,1.0,,rapi_red,rapi_red,,,,,1,idle,,13,no,,15,idle,,,,
d_main_38_03_6,d_main_38_03,Speech,Locale_MainScenario:d_main_38_03_6,True,,1,1,1.0,,rapi_red,rapi_red,,,,,1,idle,,13,no,,15,idle,,,,
d_main_38_03_7,d_main_38_03,Self,Locale_MainScenario:d_main_38_03_7,False,,1,1,1.0,,rapi_red,,,,,,1,idle,,13,no,,15,idle,,,,
d_main_38_03_8,d_main_38_03,Speech,Locale_MainScenario:d_main_38_03_8,True,,1,10,1.0,,rapi_red,rapi_red,,,,,1,idle,,13,no,,15,idle,,,,
d_main_38_03_9,d_main_38_03,Speech,Locale_MainScenario:d_main_38_03_9,True,,10,10,1.0,,rapi_red,rapi_red,,,,,1,idle,,13,no,,15,idle,,,,
d_main_38_03_10,d_main_38_03,Self,Locale_MainScenario:d_main_38_03_10,False,,10,10,1.0,,rapi_red,,,,,,1,idle,,13,no,,15,idle,,,,
d_main_38_03_11,d_main_38_03,Speech,Locale_MainScenario:d_main_38_03_11,True,,10,10,1.0,,rapi_red,rapi_red,,,,,1,no,,13,no,,15,idle,,,,
d_main_38_03_12,d_main_38_03,Speech,Locale_MainScenario:d_main_38_03_12,True,,10,10,1.0,,rapi_red,rapi_red,,,,,1,no,,13,no,,15,idle,,,,
d_main_38_03_13,d_main_38_03,Speech,Locale_MainScenario:d_main_38_03_13,True,,10,10,1.0,,rapi_red,rapi_red,,,,,1,no,,13,no,,15,idle,,,,
d_main_38_03_14,d_main_38_03,Speech,Locale_MainScenario:d_main_38_03_14,True,,10,10,1.0,,rapi_red,rapi_red,,,,,1,no,,13,no,,15,idle,,,,
d_main_38_03_15,d_main_38_03,Speech,Locale_MainScenario:d_main_38_03_15,True,,10,10,1.0,,rapi_red,rapi_red,,,,,1,no,,13,no,,15,idle,,,,
d_main_38_03_16,d_main_38_03,Self,Locale_MainScenario:d_main_38_03_16,False,,10,10,1.0,,rapi_red,,,,,,1,no,,13,no,,15,idle,,,,
d_main_38_03_17,d_main_38_03,Speech,Locale_MainScenario:d_main_38_03_17,True,,10,100,1.0,,rapi_red,rapi_red,,,,,1,idle,,13,no,,15,idle,,,,
d_main_38_03_18,d_main_38_03,Speech,Locale_MainScenario:d_main_38_03_18,True,,100,100,1.0,,rapi_red,rapi_red,,,,,1,idle,,13,no,,15,idle,,,,
d_main_38_03_19,d_main_38_03,Self,Locale_MainScenario:d_main_38_03_19,False,,100,100,1.0,,rapi_red,,,,,,1,idle,,13,no,,15,idle,,,,
d_main_38_03_20,d_main_38_03,Speech,Locale_MainScenario:d_main_38_03_20,True,,100,100,1.0,,rapi_red,rapi_red,,,,,1,idle,,13,no,,15,idle,,,,
d_main_38_03_21,d_main_38_03,Speech,Locale_MainScenario:d_main_38_03_21,True,,100,100,1.0,,rapi_red,rapi_red,,,,,1,idle,,13,no,,15,idle,,,,
d_main_38_03_22,d_main_38_03,Self,Locale_MainScenario:d_main_38_03_22,False,,100,100,1.0,,rapi_red,,,,,,1,idle,,13,no,,15,idle,,,,
d_main_38_03_23,d_main_38_03,Speech,Locale_MainScenario:d_main_38_03_23,True,,100,10,1.0,,rapi_red,rapi_red,,,,,1,idle,,13,no,,15,idle,,,,
d_main_38_03_24,d_main_38_03,Speech,Locale_MainScenario:d_main_38_03_24,True,,10,10,1.0,,rapi_red,rapi_red,,,,,1,idle,,13,no,,15,idle,,,,
