id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_redash_03_1_1,d_ex_redash_03_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_03_1_1,False,ArkRuinIndoor,black,black,1.0,none,,,,dorothy,1,idle,liliweiss,3,idle,commander,5,no
d_ex_redash_03_1_2,d_ex_redash_03_1,Speech,dorothy,Locale_SuddenStory:d_ex_redash_03_1_2,True,,1,1,1.0,event_bgm_redash_alldownhill,dorothy,,,,1,idle,,3,idle,,5,no
d_ex_redash_03_1_3,d_ex_redash_03_1,Speech,dorothy,Locale_SuddenStory:d_ex_redash_03_1_3,True,,1,10,1.0,,dorothy,,,,1,idle,,3,idle,,5,no
d_ex_redash_03_1_4,d_ex_redash_03_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_03_1_4,True,,4,4,1.0,,liliweiss,,,,1,idle,,3,surprise,,5,no
d_ex_redash_03_1_5,d_ex_redash_03_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_03_1_5,True,,4,4,1.0,,liliweiss,,,,1,idle,,3,surprise,,5,no
d_ex_redash_03_1_6,d_ex_redash_03_1,Speech,commander,Locale_SuddenStory:d_ex_redash_03_1_6,True,,4,4,1.0,,commander,,,,1,idle,,3,surprise,,5,no
d_ex_redash_03_1_7,d_ex_redash_03_1,Speech,dorothy,Locale_SuddenStory:d_ex_redash_03_1_7,True,,10,10,1.0,,dorothy,,,,1,idle,,3,surprise,,5,no
d_ex_redash_03_1_8,d_ex_redash_03_1,Speech,commander,Locale_SuddenStory:d_ex_redash_03_1_8,True,,4,4,1.0,,commander,,,,1,idle,,3,surprise,,5,no
d_ex_redash_03_1_9,d_ex_redash_03_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_03_1_9,True,,4,4,1.0,,liliweiss,,,,1,idle,,3,idle,,5,no
d_ex_redash_03_1_10,d_ex_redash_03_1,Speech,commander,Locale_SuddenStory:d_ex_redash_03_1_10,True,,4,4,1.0,,commander,,,,1,idle,,3,idle,,5,no
d_ex_redash_03_1_11,d_ex_redash_03_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_03_1_11,True,,4,4,1.0,,liliweiss,,,,1,worry,,3,think,,5,no
d_ex_redash_03_1_12,d_ex_redash_03_1,Speech,commander,Locale_SuddenStory:d_ex_redash_03_1_12,True,,4,400,0.3,,commander,sfx_scn_hit,Low_2,,1,worry,,4,think,,5,surprise
d_ex_redash_03_1_13,d_ex_redash_03_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_03_1_13,True,,400,4,0.5,,liliweiss,,,,1,worry,,3,delight,,5,surprise
d_ex_redash_03_1_14,d_ex_redash_03_1,Speech,commander,Locale_SuddenStory:d_ex_redash_03_1_14,True,,4,4,1.0,,commander,,,,1,worry,,3,delight,,5,angry
d_ex_redash_03_1_15,d_ex_redash_03_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_03_1_15,True,,4,4,1.0,,liliweiss,,,,1,worry,,3,idle,,5,angry
d_ex_redash_03_1_16,d_ex_redash_03_1,Speech,dorothy,Locale_SuddenStory:d_ex_redash_03_1_16,True,,4,2,1.0,,dorothy,,,,1,worry,,3,idle,,5,idle
d_ex_redash_03_1_17,d_ex_redash_03_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_03_1_17,True,,2,2,1.0,,liliweiss,,,,1,worry,,3,idle,,5,idle
d_ex_redash_03_1_18,d_ex_redash_03_1,Speech,dorothy,Locale_SuddenStory:d_ex_redash_03_1_18,True,,2,2,1.0,,dorothy,,,,1,think,,3,idle,,5,idle
d_ex_redash_03_1_19,d_ex_redash_03_1,Speech,dorothy,Locale_SuddenStory:d_ex_redash_03_1_19,True,,2,2,1.0,,dorothy,,,,1,think,,3,idle,,5,idle
d_ex_redash_03_1_20,d_ex_redash_03_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_03_1_20,True,,2,2,1.0,,liliweiss,,,,1,think,,3,think,,5,idle
d_ex_redash_03_1_21,d_ex_redash_03_1,Speech,dorothy,Locale_SuddenStory:d_ex_redash_03_1_21,True,,2,2,1.0,,dorothy,,,,1,worry,,3,think,,5,idle
d_ex_redash_03_1_22,d_ex_redash_03_1,Speech,dorothy,Locale_SuddenStory:d_ex_redash_03_1_22,True,,2,2,1.0,,dorothy,,,,1,worry,,3,think,,5,idle
d_ex_redash_03_1_23,d_ex_redash_03_1,Speech,commander,Locale_SuddenStory:d_ex_redash_03_1_23,True,,5,5,1.0,,commander,,,,1,worry,,3,think,,5,no
d_ex_redash_03_1_24,d_ex_redash_03_1,Speech,commander,Locale_SuddenStory:d_ex_redash_03_1_24,True,,5,5,1.0,,commander,,,,1,worry,,3,think,,5,no
d_ex_redash_03_1_25,d_ex_redash_03_1,Speech,dorothy,Locale_SuddenStory:d_ex_redash_03_1_25,True,,1,1,1.0,,dorothy,,,,1,idle,,3,think,,5,no
d_ex_redash_03_1_26,d_ex_redash_03_1,Speech,commander,Locale_SuddenStory:d_ex_redash_03_1_26,True,,1,1,1.0,,commander,,,,1,idle,,3,think,,5,no
d_ex_redash_03_1_27,d_ex_redash_03_1,Speech,dorothy,Locale_SuddenStory:d_ex_redash_03_1_27,True,,1,10,1.0,,dorothy,,,,1,idle,,3,idle,,5,no
d_ex_redash_03_1_28,d_ex_redash_03_1,Speech,commander,Locale_SuddenStory:d_ex_redash_03_1_28,True,,10,10,1.0,,commander,,,,1,idle,,3,idle,,5,no
d_ex_redash_03_1_29,d_ex_redash_03_1,Speech,dorothy,Locale_SuddenStory:d_ex_redash_03_1_29,True,,10,10,1.0,,dorothy,,,,1,idle,,3,idle,,5,no
d_ex_redash_03_1_30,d_ex_redash_03_1,Speech,commander,Locale_SuddenStory:d_ex_redash_03_1_30,True,,10,10,1.0,,commander,,,,1,idle,,3,idle,,5,no
d_ex_redash_03_1_31,d_ex_redash_03_1,Speech,dorothy,Locale_SuddenStory:d_ex_redash_03_1_31,True,,10,10,1.0,,dorothy,,,,1,idle,,3,idle,,5,no
d_ex_redash_03_1_32,d_ex_redash_03_1,Speech,commander,Locale_SuddenStory:d_ex_redash_03_1_32,True,,4,4,1.0,,commander,,,,1,idle,,3,idle,,5,surprise
d_ex_redash_03_1_33,d_ex_redash_03_1,Speech,dorothy,Locale_SuddenStory:d_ex_redash_03_1_33,True,,10,100,1.0,,dorothy,,,,1,think,,3,idle,,5,surprise
d_ex_redash_03_1_34,d_ex_redash_03_1,Speech,commander,Locale_SuddenStory:d_ex_redash_03_1_34,True,,5,L_50,1.0,,commander,,,,1,think,,3,idle,,5,idle
d_ex_redash_03_1_35,d_ex_redash_03_1,Speech,commander,Locale_SuddenStory:d_ex_redash_03_1_35,True,,L_50,L_50,1.0,,commander,,,,1,think,,3,idle,,5,idle
d_ex_redash_03_1_36,d_ex_redash_03_1,Speech,commander,Locale_SuddenStory:d_ex_redash_03_1_36,True,,L_50,L_50,1.0,,commander,,,,1,think,,3,idle,,5,no
d_ex_redash_03_1_37,d_ex_redash_03_1,Speech,commander,Locale_SuddenStory:d_ex_redash_03_1_37,True,,L_50,L_500,1.0,,commander,,,,1,think,,3,idle,,5,idle
d_ex_redash_03_1_38,d_ex_redash_03_1,Speech,dorothy,Locale_SuddenStory:d_ex_redash_03_1_38,True,,L_500,L_500,1.0,,dorothy,,,,1,worry,,3,idle,,5,idle
