id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_tower_09_1,d_ex_tower_09,Monologue,Locale_SuddenStory:d_ex_tower_09_1,False,OutpostOut,5,5,1.0,bgm_story_tepidappleade,,,,,,,,,,,,,
d_ex_tower_09_2,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_2,True,,5,13,1.0,,unknown,unknown,,,,,,,,,,,
d_ex_tower_09_3,d_ex_tower_09,Self,Locale_SuddenStory:d_ex_tower_09_3,False,,13,13,1.0,,,,,,,,,,,,,,
d_ex_tower_09_4,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_4,True,,13,13,1.0,,unknown,unknown,,,,,,,,,,,
d_ex_tower_09_5,d_ex_tower_09,Self,Locale_SuddenStory:d_ex_tower_09_5,False,,13,13,1.0,,,,,,,,,,,,,,
d_ex_tower_09_6,d_ex_tower_09,Monologue,Locale_SuddenStory:d_ex_tower_09_6,False,,13,13,1.0,,,,black,,,,,,,,,,
d_ex_tower_09_7,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_7,True,,13,XS_130,1.0,,crust,crust,,crust,13,angry,,,,,,,
d_ex_tower_09_8,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_8,True,,XS_130,XS_130,1.0,,crust,crust,,,13,angry,,,,,,,
d_ex_tower_09_9,d_ex_tower_09,Self,Locale_SuddenStory:d_ex_tower_09_9,False,,XS_130,XS_130,1.0,,crust,,,,13,angry,,,,,,,
d_ex_tower_09_10,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_10,True,,XS_130,XS_130,1.0,,crust,crust,,,13,angry,,,,,,,
d_ex_tower_09_11,d_ex_tower_09,Self,Locale_SuddenStory:d_ex_tower_09_11,False,,XS_130,XS_130,1.0,,crust,,,,13,angry,,,,,,,
d_ex_tower_09_12,d_ex_tower_09,Monologue,Locale_SuddenStory:d_ex_tower_09_12,False,,black,black,1.0,,crust,,,,13,angry,,,,,,,
d_ex_tower_09_13,d_ex_tower_09,Self,Locale_SuddenStory:d_ex_tower_09_13,False,,XS_130,XS_130,1.0,,crust,,,,13,idle,,,,,,,
d_ex_tower_09_14,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_14,True,,XS_130,XS_130,1.0,,crust,crust,,,13,idle,,,,,,,
d_ex_tower_09_15,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_15,True,,XS_130,XS_130,1.0,,crust,crust,,,13,idle,,,,,,,
d_ex_tower_09_16,d_ex_tower_09,Narration,Locale_SuddenStory:d_ex_tower_09_16,False,,XS_130,XS_50,1.0,,crust,,,,13,idle,sfx_scn_bigwind,,,,,,
d_ex_tower_09_17,d_ex_tower_09,Self,Locale_SuddenStory:d_ex_tower_09_17,False,,XS_50,XS_50,1.0,,crust,,,,13,idle,,,,,,,
d_ex_tower_09_18,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_18,True,,XS_50,XS_130,1.0,,crust,crust,,,13,sad,,,,,,,
d_ex_tower_09_19,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_19,True,,XS_130,XS_130,1.0,,crust,crust,,,13,sad,,,,,,,
d_ex_tower_09_20,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_20,True,,XS_130,XS_130,1.0,,unknown,unknown,,,13,sad,,,,,,,
d_ex_tower_09_21,d_ex_tower_09,Self,Locale_SuddenStory:d_ex_tower_09_21,False,,XS_130,XS_130,1.0,,crust,,,,13,sad,,,,,,,
d_ex_tower_09_22,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_22,True,,XS_130,XS_130,1.0,,crust,crust,,,13,think,,,,,,,
d_ex_tower_09_23,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_23,True,,XS_130,13,1.0,,crust,crust,,,13,shy,,,,,,,
d_ex_tower_09_24,d_ex_tower_09,Monologue,Locale_SuddenStory:d_ex_tower_09_24,False,,13,13,1.0,,crust,,,,13,shy,,,,,,,
d_ex_tower_09_25,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_25,True,,13,13,1.0,,unknown,unknown,,,13,shy,,,,,,,
d_ex_tower_09_26,d_ex_tower_09,Narration,Locale_SuddenStory:d_ex_tower_09_26,False,,black,black,1.0,,,,,,13,idle,sfx_scn_rapturelanding,moran,1,idle,,,
d_ex_tower_09_27,d_ex_tower_09,Monologue,Locale_SuddenStory:d_ex_tower_09_27,False,,black,black,1.0,,,,,,13,idle,,,1,idle,,,
d_ex_tower_09_28,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_28,True,,12,12,1.0,,moran,moran,,,13,idle,,,1,idle,,,
d_ex_tower_09_29,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_29,True,,12,12,1.0,,crust,crust,,,13,idle,,,1,idle,,,
d_ex_tower_09_30,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_30,True,,12,12,1.0,,crust,crust,,,13,idle,,,1,idle,,,
d_ex_tower_09_31,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_31,True,,12,12,1.0,,moran,moran,,,13,idle,,,1,idle,,,
d_ex_tower_09_32,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_32,True,,12,10,1.0,,moran,moran,,,13,idle,,,1,delight,,,
d_ex_tower_09_33,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_33,True,,10,10,1.0,,moran,moran,,,13,idle,,,1,delight,,,
d_ex_tower_09_34,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_34,True,,10,10,1.0,,moran,moran,,,13,idle,,,1,shy,,,
d_ex_tower_09_35,d_ex_tower_09,Self,Locale_SuddenStory:d_ex_tower_09_35,False,,10,10,1.0,,moran,,,,13,idle,,,1,shy,,,
d_ex_tower_09_36,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_36,True,,10,1,1.0,,moran,moran,,,13,idle,,,1,idle,,,
