id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,fade,set_filter_01
d_ex_hotel_10_1,d_ex_hotel_10,Self,trina,Locale_SuddenStory:d_ex_hotel_10_1,False,Hotel,black,black,1.0,none,,,,,,,,,,
d_ex_hotel_10_2,d_ex_hotel_10,Self,trina,Locale_SuddenStory:d_ex_hotel_10_2,False,,1,1,1.0,,,,,,,,,,,
d_ex_hotel_10_3,d_ex_hotel_10,Self,trina,Locale_SuddenStory:d_ex_hotel_10_3,False,,1,1,1.0,,,,,,,,,,,
d_ex_hotel_10_4,d_ex_hotel_10,Speech,trina,Locale_SuddenStory:d_ex_hotel_10_4,True,,1,1,1.0,bgm_story_cottoncandy,trina,emma,2,worry,trina,12,think2,,,
d_ex_hotel_10_5,d_ex_hotel_10,Speech,emma,Locale_SuddenStory:d_ex_hotel_10_5,True,,1,1,1.0,,emma,,2,worry,,12,think2,,,
d_ex_hotel_10_6,d_ex_hotel_10,Self,emma,Locale_SuddenStory:d_ex_hotel_10_6,False,,1,1,1.0,,,,2,worry,,12,think2,,,
d_ex_hotel_10_7,d_ex_hotel_10,Speech,trina,Locale_SuddenStory:d_ex_hotel_10_7,True,,1,1,1.0,,trina,,2,worry,,12,think2,,,
d_ex_hotel_10_8,d_ex_hotel_10,Speech,emma,Locale_SuddenStory:d_ex_hotel_10_8,True,,1,1,1.0,,emma,,2,worry,,12,think2,,,
d_ex_hotel_10_9,d_ex_hotel_10,Speech,emma,Locale_SuddenStory:d_ex_hotel_10_9,True,,1,1,1.0,,emma,,2,worry,,12,think2,,,
d_ex_hotel_10_10,d_ex_hotel_10,Speech,emma,Locale_SuddenStory:d_ex_hotel_10_10,True,,1,1,1.0,,emma,,2,worry,,12,think2,,,
d_ex_hotel_10_11,d_ex_hotel_10,Self,emma,Locale_SuddenStory:d_ex_hotel_10_11,False,,1,1,1.0,,,,2,worry,,12,think2,,,
d_ex_hotel_10_12,d_ex_hotel_10,Speech,trina,Locale_SuddenStory:d_ex_hotel_10_12,True,,1,1,1.0,,trina,,2,worry,,12,think2,,,
d_ex_hotel_10_13,d_ex_hotel_10,Speech,trina,Locale_SuddenStory:d_ex_hotel_10_13,True,,1,1,1.0,,trina,,2,worry,,12,think2,,,
d_ex_hotel_10_14,d_ex_hotel_10,Self,,Locale_SuddenStory:d_ex_hotel_10_14,False,,1,1,1.0,,,,2,worry,,12,think2,,,
d_ex_hotel_10_15,d_ex_hotel_10,Speech,emma,Locale_SuddenStory:d_ex_hotel_10_15,True,,1,1,1.0,,emma,,2,angry,,12,think2,,,
d_ex_hotel_10_16,d_ex_hotel_10,Speech,trina,Locale_SuddenStory:d_ex_hotel_10_16,True,,1,1,1.0,,trina,,2,angry,,12,think2,,,
d_ex_hotel_10_17,d_ex_hotel_10,Speech,emma,Locale_SuddenStory:d_ex_hotel_10_17,True,,1,1,1.0,,emma,,2,worry,,12,think2,,,
d_ex_hotel_10_18,d_ex_hotel_10,Speech,trina,Locale_SuddenStory:d_ex_hotel_10_18,False,,1,L_120,1.3,,trina,,2,worry,,12,think1,,,
d_ex_hotel_10_19,d_ex_hotel_10,Speech,trina,Locale_SuddenStory:d_ex_hotel_10_19,True,,L_120,L_120,1.0,,trina,,2,worry,,12,angry,,,
d_ex_hotel_10_20,d_ex_hotel_10,Speech,trina,Locale_SuddenStory:d_ex_hotel_10_20,True,,L_120,L_120,1.0,,trina,,2,worry,,12,angry,,,
d_ex_hotel_10_21,d_ex_hotel_10,Self,trina,Locale_SuddenStory:d_ex_hotel_10_21,False,,L_120,L_120,1.0,,,,2,worry,,12,angry,,,
d_ex_hotel_10_22,d_ex_hotel_10,Self,trina,Locale_SuddenStory:d_ex_hotel_10_22,False,,L_120,L_120,1.0,,,,2,worry,,12,angry,,,
d_ex_hotel_10_23,d_ex_hotel_10,Speech,emma,Locale_SuddenStory:d_ex_hotel_10_23,True,,L_120,1,1.3,,emma,,2,delight,,12,angry,,,
d_ex_hotel_10_24,d_ex_hotel_10,Speech,emma,Locale_SuddenStory:d_ex_hotel_10_24,True,,1,1,1.0,,emma,,2,idle,,12,angry,,,
d_ex_hotel_10_25,d_ex_hotel_10,Speech,trina,Locale_SuddenStory:d_ex_hotel_10_25,True,,1,1,1.0,,trina,,2,idle,,12,think1,,,
d_ex_hotel_10_26,d_ex_hotel_10,Self,trina,Locale_SuddenStory:d_ex_hotel_10_26,False,,1,1,1.0,,,,2,idle,,12,think1,,,
d_ex_hotel_10_27,d_ex_hotel_10,Speech,emma,Locale_SuddenStory:d_ex_hotel_10_27,True,,1,1,1.0,,emma,,2,delight,,12,think1,,,
d_ex_hotel_10_28,d_ex_hotel_10,Speech,trina,Locale_SuddenStory:d_ex_hotel_10_28,True,,1,1,1.0,,trina,,2,delight,,12,idle,,,
d_ex_hotel_10_29,d_ex_hotel_10,Monologue,trina,Locale_SuddenStory:d_ex_hotel_10_29,False,,1,1,1.0,,,,2,delight,,12,idle,,,
d_ex_hotel_10_30,d_ex_hotel_10,Monologue,trina,Locale_SuddenStory:d_ex_hotel_10_30,False,,1,1,1.0,,,,2,delight,,12,idle,,,
d_ex_hotel_10_31,d_ex_hotel_10,Self,trina,Locale_SuddenStory:d_ex_hotel_10_31,False,,1,1,1.0,,,,2,delight,,12,idle,,,
d_ex_hotel_10_32,d_ex_hotel_10,Self,trina,Locale_SuddenStory:d_ex_hotel_10_32,False,,1,1,1.0,,,,2,delight,,12,idle,,,
d_ex_hotel_10_33,d_ex_hotel_10,Speech,emma,Locale_SuddenStory:d_ex_hotel_10_33,True,,1,20,1.3,,emma,,2,idle,,12,idle,,,
d_ex_hotel_10_34,d_ex_hotel_10,Speech,emma,Locale_SuddenStory:d_ex_hotel_10_34,True,,20,20,1.0,,emma,,2,idle,,12,idle,,,
d_ex_hotel_10_35,d_ex_hotel_10,Self,emma,Locale_SuddenStory:d_ex_hotel_10_35,False,,20,20,1.0,,,,2,idle,,12,idle,,,
