id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/hide_char_id,jump_target
d_ex_library_02_1,d_ex_library_02,Narration,Locale_SuddenStory:d_ex_library_02_1,False,Library,black,black,1.0,sfx_scn_autodooropen,bgm_story_orangepop,,,,,,,,,,,
d_ex_library_02_2,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_2,True,,XS_30,XS_30,1.0,,,signal,signal,signal,3,sad,Low_2,,,,,
d_ex_library_02_3,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_3,True,,XS_30,100,0.5,,,emma,emma,,3,sad,,emma,1,surprise,signal,
d_ex_library_02_4,d_ex_library_02,Self,Locale_SuddenStory:d_ex_library_02_4,False,,100,10,1.0,,,,,,,,,,1,surprise,,
d_ex_library_02_5,d_ex_library_02,Monologue,Locale_SuddenStory:d_ex_library_02_5,False,,10,10,1.0,,,,,,,,,,1,surprise,,
d_ex_library_02_6,d_ex_library_02,Monologue,Locale_SuddenStory:d_ex_library_02_6,False,,10,10,1.0,,,,,,,,,,1,surprise,,
d_ex_library_02_7,d_ex_library_02,Self,Locale_SuddenStory:d_ex_library_02_7,False,,10,10,1.0,,,,,,,,,,1,idle,,
d_ex_library_02_8,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_8,True,,10,10,1.0,,,emma,emma,,,,,,1,delight,,
d_ex_library_02_9,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_9,True,,10,10,1.0,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_10,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_10,True,,10,10,1.0,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_11,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_11,True,,10,10,1.0,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_12,d_ex_library_02,Self,Locale_SuddenStory:d_ex_library_02_12,False,,10,10,1.0,,,,,,,,,,1,idle,,
d_ex_library_02_13,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_13,True,,10,10,1.0,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_14,d_ex_library_02,Self,Locale_SuddenStory:d_ex_library_02_14,False,,10,10,1.0,,,,,,,,,,1,idle,,
d_ex_library_02_15,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_15,True,,10,10,1.0,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_16,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_16,True,,10,10,1.0,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_17,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_17,True,,10,10,1.0,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_18,d_ex_library_02,Self,Locale_SuddenStory:d_ex_library_02_18,False,,10,10,1.0,,,,,,,,,,1,idle,,
d_ex_library_02_19,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_19,True,,10,100,0.5,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_20,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_20,True,,100,100,1.0,,,emma,emma,,,,,,1,delight,,
d_ex_library_02_21,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_21,True,,100,100,1.0,,,emma,emma,,,,,,1,delight,,
d_ex_library_02_22,d_ex_library_02,Self,Locale_SuddenStory:d_ex_library_02_22,False,,100,100,1.0,,,,,,,,,,1,delight,,
d_ex_library_02_23,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_23,True,,100,100,1.0,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_24,d_ex_library_02,Monologue,Locale_SuddenStory:d_ex_library_02_24,False,,100,100,1.0,,,,,,,,,,1,idle,,
d_ex_library_02_25,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_25,True,,black,black,0.5,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_26,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_26,True,,black,black,1.0,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_27,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_27,True,,black,black,1.0,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_28,d_ex_library_02,Self,Locale_SuddenStory:d_ex_library_02_28,False,,black,black,1.0,,,,,,,,,,1,idle,,
d_ex_library_02_29,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_29,True,,10,10,1.0,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_30,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_30,True,,10,10,1.0,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_31,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_31,True,,10,100,0.5,,,emma,emma,,,,,,1,surprise,,
d_ex_library_02_32,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_32,True,,100,100,1.0,,,emma,emma,,,,,,1,surprise,,
d_ex_library_02_33,d_ex_library_02,Self,Locale_SuddenStory:d_ex_library_02_33,False,,100,100,1.0,,,,,,,,,,1,idle,,
d_ex_library_02_34,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_34,True,,100,100,1.0,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_35,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_35,True,,100,100,1.0,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_36,d_ex_library_02,Self,Locale_SuddenStory:d_ex_library_02_36,False,,100,100,1.0,,,,,,,,,,1,idle,,
d_ex_library_02_37,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_37,True,,100,100,1.0,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_38,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_38,True,,100,100,1.0,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_39,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_39,True,,100,100,1.0,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_40,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_40,True,,100,100,1.0,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_41,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_41,True,,100,100,1.0,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_42,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_42,True,,100,100,1.0,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_43,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_43,True,,100,100,1.0,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_44,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_44,True,,100,100,1.0,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_45,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_45,True,,100,100,1.0,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_46,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_46,True,,100,100,1.0,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_47,d_ex_library_02,Self,Locale_SuddenStory:d_ex_library_02_47,False,,100,10,0.5,,,,,,,,,,1,idle,,
d_ex_library_02_48,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_48,True,,10,10,1.0,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_49,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_49,True,,10,10,1.0,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_50,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_50,True,,10,10,1.0,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_51,d_ex_library_02,Choice,Locale_SuddenStory:d_ex_library_02_51,False,,10,10,1.0,,,,,,,,,,1,idle,,d_ex_library_02_53
d_ex_library_02_52,d_ex_library_02,Choice,Locale_SuddenStory:d_ex_library_02_52,False,,10,10,1.0,,,,,,,,,,1,idle,,d_ex_library_02_58
d_ex_library_02_53,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_53,True,,10,100,0.5,,,emma,emma,,,,,,1,surprise,,
d_ex_library_02_54,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_54,True,,100,100,1.0,,,emma,emma,,,,,,1,surprise,,
d_ex_library_02_55,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_55,True,,100,100,1.0,,,emma,emma,,,,,,1,surprise,,
d_ex_library_02_56,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_56,True,,100,100,1.0,,,emma,emma,,,,,,1,surprise,,
d_ex_library_02_57,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_57,True,,100,100,1.0,,,emma,emma,,,,,,1,surprise,,d_ex_library_02_63
d_ex_library_02_58,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_58,True,,10,100,0.5,,,emma,emma,,,,,,1,surprise,,
d_ex_library_02_59,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_59,True,,100,100,1.0,,,emma,emma,,,,,,1,surprise,,
d_ex_library_02_60,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_60,True,,100,100,1.0,,,emma,emma,,,,,,1,surprise,,
d_ex_library_02_61,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_61,True,,100,100,1.0,,,emma,emma,,,,,,1,surprise,,
