id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id
d_ex_armory_06_1,d_ex_armory_06,Narration,Narration,Locale_SuddenStory:d_ex_armory_06_1,False,neon,2,idle,Armory,black,black,1.0,sfx_scn_autodooropen,none,,,,,
d_ex_armory_06_2,d_ex_armory_06,Speech,helm_s,Locale_SuddenStory:d_ex_armory_06_2,True,,2,idle,,1,1,1.0,,bgm_story_tuffguys,helm_s,helm_s,12,surprise,
d_ex_armory_06_3,d_ex_armory_06,Speech,helm_s,Locale_SuddenStory:d_ex_armory_06_3,True,,2,idle,,1,1,1.0,,,helm_s,,12,surprise,
d_ex_armory_06_4,d_ex_armory_06,Speech,neon,Locale_SuddenStory:d_ex_armory_06_4,True,,2,no,,1,1,2.0,,,neon,,12,idle,
d_ex_armory_06_5,d_ex_armory_06,Speech,neon,Locale_SuddenStory:d_ex_armory_06_5,True,,2,no,,1,1,1.0,,,neon,,12,idle,
d_ex_armory_06_6,d_ex_armory_06,Speech,neon,Locale_SuddenStory:d_ex_armory_06_6,True,,2,delight,,1,S_20,1.0,,,neon,,12,idle,
d_ex_armory_06_7,d_ex_armory_06,Speech,neon,Locale_SuddenStory:d_ex_armory_06_7,True,,2,delight,,S_20,S_20,1.0,,,neon,,12,idle,
d_ex_armory_06_8,d_ex_armory_06,Speech,neon,Locale_SuddenStory:d_ex_armory_06_8,True,,2,worry,,S_20,S_20,1.0,,,neon,,12,idle,
d_ex_armory_06_9,d_ex_armory_06,Speech,neon,Locale_SuddenStory:d_ex_armory_06_9,True,,2,surprise,,S_20,S_20,1.0,,,neon,,12,idle,
d_ex_armory_06_10,d_ex_armory_06,Speech,helm_s,Locale_SuddenStory:d_ex_armory_06_10,True,,2,surprise,,120,120,1.0,,,helm_s,,12,sad,
