id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_main_27_01_s_1,d_main_27_01_s,Speech,hammering,hammering,Locale_MainScenario:d_main_27_01_s_1,True,elegg,13,idle,hammering,1,pain,liveryn,3,smile,Desert_04,1,10,1.0,bgm_spot_dwn_a,,,,,,,,,,
d_main_27_01_s_2,d_main_27_01_s,Speech,hammering,hammering,Locale_MainScenario:d_main_27_01_s_2,True,,13,idle,,1,pain,,3,smile,,10,10,1.0,,,,,,,,,,,
d_main_27_01_s_3,d_main_27_01_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_01_s_3,True,,13,idle,,1,pain,,3,smile,,10,31,1.0,,,,,,,,,,,
d_main_27_01_s_4,d_main_27_01_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_01_s_4,True,,13,idle,,1,pain,,3,smile,,31,31,1.0,,,,,,,,,,,
d_main_27_01_s_5,d_main_27_01_s,Speech,hammering,hammering,Locale_MainScenario:d_main_27_01_s_5,True,,13,idle,,1,worry,,3,smile,,31,31,1.0,,,,,,,,,,,
d_main_27_01_s_6,d_main_27_01_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_01_s_6,True,,13,idle,,1,worry,,3,idle,,31,31,1.0,,,,,,,,,,,
d_main_27_01_s_7,d_main_27_01_s,Speech,elegg,elegg,Locale_MainScenario:d_main_27_01_s_7,True,,13,delight,,1,worry,,3,idle,,31,113,1.0,,,,,,,,,,,
d_main_27_01_s_8,d_main_27_01_s,Speech,hammering,hammering,Locale_MainScenario:d_main_27_01_s_8,True,,13,delight,,1,surprise,,3,idle,,113,113,1.0,,,,,,,,,,,
d_main_27_01_s_9,d_main_27_01_s,Speech,hammering,hammering,Locale_MainScenario:d_main_27_01_s_9,True,,13,delight,,1,surprise,,3,idle,,113,113,1.0,,,,,,,,,,,
d_main_27_01_s_10,d_main_27_01_s,Speech,elegg,elegg,Locale_MainScenario:d_main_27_01_s_10,True,,13,delight,,1,surprise,,3,idle,,113,113,1.0,,,,,,,,,,,
d_main_27_01_s_11,d_main_27_01_s,Speech,elegg,elegg,Locale_MainScenario:d_main_27_01_s_11,True,,13,idle,,1,surprise,,3,idle,,113,113,1.0,,,,,,,,,,,
d_main_27_01_s_12,d_main_27_01_s,Speech,hammering,hammering,Locale_MainScenario:d_main_27_01_s_12,True,,13,idle,,1,pain2,,3,idle,,113,113,1.0,,,,,,,,,,,
d_main_27_01_s_13,d_main_27_01_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_01_s_13,True,,13,idle,,1,pain2,,3,idle,,113,31,1.0,,,,,,,,,,,
d_main_27_01_s_14,d_main_27_01_s,Speech,hammering,hammering,Locale_MainScenario:d_main_27_01_s_14,True,,13,idle,,1,sad2,,3,idle,,31,31,1.0,,,,,,,,,,,
d_main_27_01_s_15,d_main_27_01_s,Speech,elegg,elegg,Locale_MainScenario:d_main_27_01_s_15,True,,13,idle,,1,sad2,,3,idle,,31,S_130,2.0,,,,,,,,,,,
d_main_27_01_s_16,d_main_27_01_s,Speech,elegg,elegg,Locale_MainScenario:d_main_27_01_s_16,True,,13,idle,,1,sad2,,3,idle,,S_130,S_130,1.0,,,,,,,,,,,
d_main_27_01_s_17,d_main_27_01_s,Speech,hammering,hammering,Locale_MainScenario:d_main_27_01_s_17,True,,13,idle,,1,pain2,,3,idle,,S_130,10,1.0,,,,,,,,,,,
d_main_27_01_s_18,d_main_27_01_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_01_s_18,True,,13,idle,,1,pain2,,3,smile,,10,30,1.0,,,,,,,,,,,
d_main_27_01_s_19,d_main_27_01_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_01_s_19,True,,13,idle,,1,pain2,,3,smile,,30,30,1.0,,,,,,,,,,,
d_main_27_01_s_20,d_main_27_01_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_01_s_20,True,,13,idle,,1,pain2,,3,idle,,30,30,1.0,,,,,,,,,,,
d_main_27_01_s_21,d_main_27_01_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_01_s_21,True,,13,idle,,1,pain2,,3,idle,,30,30,1.0,,,,,,,,,,,
d_main_27_01_s_22,d_main_27_01_s,Speech,hammering,hammering,Locale_MainScenario:d_main_27_01_s_22,True,,13,idle,,1,smile,,3,idle,,30,31,1.0,,,,,,,,,,,
d_main_27_01_s_23,d_main_27_01_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_01_s_23,True,,13,idle,,1,smile,,3,idle,,31,31,1.0,,,,,,,,,,,
d_main_27_01_s_24,d_main_27_01_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_01_s_24,True,,13,idle,,1,smile,,3,idle,,31,31,1.0,,,,,,,,,,,
d_main_27_01_s_25,d_main_27_01_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_01_s_25,True,,13,idle,,1,smile,,3,idle,,31,31,1.0,,,,,,,,,,,
d_main_27_01_s_26,d_main_27_01_s,Speech,hammering,hammering,Locale_MainScenario:d_main_27_01_s_26,True,,13,idle,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,,
d_main_27_01_s_27,d_main_27_01_s,Narration,,,Locale_MainScenario:d_main_27_01_s_27,False,,13,idle,,1,idle,,3,idle,,31,31,1.0,,hammering,,,,,,,,,
d_main_27_01_s_28,d_main_27_01_s,Speech,elegg,elegg,Locale_MainScenario:d_main_27_01_s_28,True,,1,idle,,,,,3,idle,,31,31,1.0,,,,,,,,,,,
d_main_27_01_s_29,d_main_27_01_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_01_s_29,True,,1,idle,,,,,3,idle,,31,31,1.0,,,,,,,,,,,
d_main_27_01_s_30,d_main_27_01_s,Speech,elegg,elegg,Locale_MainScenario:d_main_27_01_s_30,False,,1,idle,,,,,3,idle,,31,S_10,1.0,,,,,,,,,,,
d_main_27_01_s_31,d_main_27_01_s,Speech,elegg,elegg,Locale_MainScenario:d_main_27_01_s_31,True,,1,idle,,,,,3,idle,,S_10,S_10,1.0,,,,,,,,,,,
d_main_27_01_s_32,d_main_27_01_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_01_s_32,True,,1,idle,,,,,3,worry,,S_10,30,1.0,,,,,,,,,,,
d_main_27_01_s_33,d_main_27_01_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_01_s_33,True,,1,idle,,,,,3,surprise,,30,30,1.0,,,,,,,,,,,
d_main_27_01_s_34,d_main_27_01_s,Speech,elegg,elegg,Locale_MainScenario:d_main_27_01_s_34,True,,1,delight,,,,,3,surprise,,30,31,1.0,,,,,,,,,,,
d_main_27_01_s_35,d_main_27_01_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_01_s_35,False,,1,delight,,,,,3,worry,,31,31,1.0,,,,,,,,,,,
d_main_27_01_s_36,d_main_27_01_s,Speech,elegg,elegg,Locale_MainScenario:d_main_27_01_s_36,True,,1,idle,,,,,3,worry,,31,31,1.0,,,,,,,,,,,
d_main_27_01_s_37,d_main_27_01_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_01_s_37,True,,1,idle,,,,,3,idle,,31,31,1.0,,,,,,,,,,,
d_main_27_01_s_38,d_main_27_01_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_01_s_38,True,,1,idle,,,,,3,idle,,31,31,1.0,,,rapi,15,angry,anis,17,angry,neon,19,no
d_main_27_01_s_39,d_main_27_01_s,Speech,rapi,rapi,Locale_MainScenario:d_main_27_01_s_39,True,,1,idle,,,,,3,idle,,31,15,2.0,,,,15,angry,,17,angry,,19,no
d_main_27_01_s_40,d_main_27_01_s,Speech,anis,anis,Locale_MainScenario:d_main_27_01_s_40,True,,1,idle,,,,,3,idle,,15,17,1.0,,,,15,angry,,17,angry,,19,no
