id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_main_01_01_e_1,d_main_01_01_e,Speech,marian,marian,Locale_MainScenario:d_main_01_01_e_1,True,CityForest_03,1,1,1.0,bgm_distress_a,marian,1,angry,
d_main_01_01_e_2,d_main_01_01_e,Speech,marian,marian,Locale_MainScenario:d_main_01_01_e_2,False,,1,10,3.0,,,1,idle,
d_main_01_01_e_3,d_main_01_01_e,Speech,marian,marian,Locale_MainScenario:d_main_01_01_e_3,True,,10,10,1.0,,,1,angry,
d_main_01_01_e_4,d_main_01_01_e,Self,marian,Self,Locale_MainScenario:d_main_01_01_e_4,True,,10,10,1.0,,,1,angry,
d_main_01_01_e_5,d_main_01_01_e,Speech,marian,marian,Locale_MainScenario:d_main_01_01_e_5,True,,10,10,1.0,,,1,idle,
d_main_01_01_e_6,d_main_01_01_e,Speech,marian,marian,Locale_MainScenario:d_main_01_01_e_6,True,,10,10,1.0,,,1,delight,
d_main_01_01_e_7,d_main_01_01_e,Self,marian,Self,Locale_MainScenario:d_main_01_01_e_7,True,none,1,1,1.0,,,1,delight,marian
d_main_01_01_e_8,d_main_01_01_e,Speech,marian,marian,Locale_MainScenario:d_main_01_01_e_8,True,CityForest_03,10,10,1.0,,marian,1,idle,
d_main_01_01_e_9,d_main_01_01_e,Speech,marian,marian,Locale_MainScenario:d_main_01_01_e_9,False,,10,10,1.0,,,1,idle,
d_main_01_01_e_10,d_main_01_01_e,Speech,marian,marian,Locale_MainScenario:d_main_01_01_e_10,True,,10,10,1.0,,,1,delight,
d_main_01_01_e_11,d_main_01_01_e,Speech,marian,marian,Locale_MainScenario:d_main_01_01_e_11,True,,10,100,1.0,,,1,delight,
d_main_01_01_e_12,d_main_01_01_e,Speech,marian,marian,Locale_MainScenario:d_main_01_01_e_12,True,,100,10,1.0,,,1,idle,
