id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_main_14_11_1,d_main_14_11,Monologue,Locale_MainScenario:d_main_14_11_1,False,NikkeRoom,17,17,1.0,bgm_enemyclose,,,,anis,1,angry,,,,,rapi,3,idle,neon,13,idle,,,
d_main_14_11_2,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_2,True,,17,113,1.0,,anis,anis,,,1,angry,,,,,,3,idle,,13,idle,,,
d_main_14_11_3,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_3,True,,113,113,1.0,,neon,neon,,,1,angry,,,,,,3,idle,,13,surprise,,,
d_main_14_11_4,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_4,True,,113,113,1.0,,anis,anis,,,1,angry,,,,,,3,idle,,13,surprise,,,
d_main_14_11_5,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_5,True,,113,31,1.0,,rapi,rapi,,,1,angry,,,,,,3,idle,,13,surprise,,,
d_main_14_11_6,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_6,False,,31,31,1.0,,anis,anis,,,1,void,,,,,,3,idle,,13,idle,,,
d_main_14_11_7,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_7,True,,31,10,1.0,,anis,anis,,,1,void,,,,,,3,idle,,13,idle,,,
d_main_14_11_8,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_8,True,,10,10,1.0,,anis,anis,,,1,void,,,,,,3,idle,,13,idle,,,
d_main_14_11_9,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_9,True,,10,10,1.0,,anis,anis,,,1,void,,,,,,3,idle,,13,idle,,,
d_main_14_11_10,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_10,True,,30,30,1.0,,rapi,rapi,,,1,void,,,,,,3,idle,,13,idle,,,
d_main_14_11_11,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_11,True,,black,black,1.0,none,ingrid,ingrid,,,13,void,ingrid,1,idle,,,3,idle,,15,idle,,,
d_main_14_11_12,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_12,True,,31,31,1.0,bgm_story_armageddon,rapi,rapi,,,13,void,,1,idle,,,3,idle,,15,idle,,,
d_main_14_11_13,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_13,True,,31,1315,1.0,,neon,neon,,,13,void,,1,idle,,,3,idle,,15,delight,,,
d_main_14_11_14,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_14,True,,1315,1315,1.0,,anis,anis,,,13,void,,1,idle,,,3,idle,,15,idle,,,
d_main_14_11_15,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_15,True,,1315,1,1.0,,ingrid,ingrid,,,13,void,,1,idle,,,3,idle,,15,idle,,,
d_main_14_11_16,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_16,True,,1,1,1.0,,ingrid,ingrid,,,13,void,,1,idle,,,3,idle,,15,idle,marian_p,5,surprise
d_main_14_11_17,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_17,True,,1,1,1.0,,ingrid,ingrid,,,13,void,,1,idle,,,3,idle,,15,idle,,5,surprise
d_main_14_11_18,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_18,True,,1,53,1.0,,marian_p,marian_p,,,13,void,,1,idle,,,3,idle,,15,idle,,5,surprise
d_main_14_11_19,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_19,True,,53,53,1.0,,rapi,rapi,,,13,void,,1,idle,,,3,idle,,15,idle,,5,surprise
