id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_main_04af_08_1,d_main_04af_08,Speech,rapi,rapi,Locale_MainScenario:d_main_04af_08_1,True,ElevatorOut,1,1,1.0,bgm_inark,,,anis,3,idle,,rapi,1,idle,,neon,13,idle,,,,,
d_main_04af_08_2,d_main_04af_08,Speech,anis,anis,Locale_MainScenario:d_main_04af_08_2,True,,1,31,1.0,,,,,3,idle,,,1,idle,,,13,idle,,,,,
d_main_04af_08_3,d_main_04af_08,Speech,rapi,rapi,Locale_MainScenario:d_main_04af_08_3,True,,31,31,1.0,,,,,3,idle,,,1,idle,,,13,idle,,,,,
d_main_04af_08_4,d_main_04af_08,Speech,anis,anis,Locale_MainScenario:d_main_04af_08_4,True,,31,31,1.0,,,,,3,idle,,,1,idle,,,13,idle,,,,,
d_main_04af_08_5,d_main_04af_08,Self,anis,Self,Locale_MainScenario:d_main_04af_08_5,True,,31,31,1.0,,,,,3,idle,,,1,idle,,,13,idle,,,,,
d_main_04af_08_6,d_main_04af_08,Speech,anis,anis,Locale_MainScenario:d_main_04af_08_6,True,,31,30,1.0,,,,,3,idle,,,1,idle,,,13,idle,,,,,
d_main_04af_08_7,d_main_04af_08,Speech,rapi,rapi,Locale_MainScenario:d_main_04af_08_7,True,,30,10,1.0,,,,,3,idle,,,1,idle,,,13,idle,,,,,
d_main_04af_08_8,d_main_04af_08,Speech,anis,anis,Locale_MainScenario:d_main_04af_08_8,True,,10,10,1.0,,,,,3,idle,,,1,idle,,,13,idle,,,,,
d_main_04af_08_9,d_main_04af_08,Speech,rapi,rapi,Locale_MainScenario:d_main_04af_08_9,True,,10,10,1.0,,,,,3,idle,,,1,idle,,,13,idle,,,,,
d_main_04af_08_10,d_main_04af_08,Self,rapi,Self,Locale_MainScenario:d_main_04af_08_10,True,,10,10,1.0,,,,,3,idle,,,1,idle,,,13,idle,,,,,
d_main_04af_08_11,d_main_04af_08,Speech,unknown,unknown,Locale_MainScenario:d_main_04af_08_11,True,black,mustang_event_01,mustang_event_01,1.0,none,,,,3,idle,,,1,idle,,,13,idle,,mustang_event,5,idle,
d_main_04af_08_12,d_main_04af_08,Speech,unknown,unknown,Locale_MainScenario:d_main_04af_08_12,True,,mustang_event_02,mustang_event_02,1.0,,,,,3,idle,,,1,idle,,,13,idle,,,5,idle,
d_main_04af_08_13,d_main_04af_08,Speech,neon,neon,Locale_MainScenario:d_main_04af_08_13,True,,mustang_event_02,mustang_event_02,1.0,,,,,3,idle,,,1,idle,,,13,idle,,,5,idle,
d_main_04af_08_14,d_main_04af_08,Speech,anis,anis,Locale_MainScenario:d_main_04af_08_14,False,,mustang_event_03,mustang_event_03,1.0,,,,,3,no,,,1,idle,,,13,idle,,,5,idle,
d_main_04af_08_15,d_main_04af_08,Speech,unknown,unknown,Locale_MainScenario:d_main_04af_08_15,True,,mustang_event_04,mustang_event_04,0.5,bgm_story_mustang,Low_2,,,3,no,anis,,1,idle,rapi,,,,neon,,5,idle,
d_main_04af_08_16,d_main_04af_08,Speech,unknown,unknown,Locale_MainScenario:d_main_04af_08_16,True,,mustang_event_04,mustang_event_04,1.0,,,,,,,,,,,,,,,,,5,idle,
d_main_04af_08_17,d_main_04af_08,Speech,mustang,mustang,Locale_MainScenario:d_main_04af_08_17,True,,mustang_event_04,mustang_event_05,0.5,,Low_2,,,,,,,,,,,,,,,5,idle,
d_main_04af_08_18,d_main_04af_08,Speech,mustang,mustang,Locale_MainScenario:d_main_04af_08_18,True,,mustang_event_05,mustang_event_05,1.0,,,,,,,,,,,,,,,,,5,idle,
d_main_04af_08_19,d_main_04af_08,Speech,mustang,mustang,Locale_MainScenario:d_main_04af_08_19,True,,mustang_event_05,mustang_event_06,0.5,,Low_2,,,,,,,,,,,,,,,5,idle,
d_main_04af_08_20,d_main_04af_08,Speech,anis,anis,Locale_MainScenario:d_main_04af_08_20,False,,mustang_event_06,mustang_event_04,1.0,,,,,,,,,,,,,,,,,5,idle,
d_main_04af_08_21,d_main_04af_08,Speech,rapi,rapi,Locale_MainScenario:d_main_04af_08_21,False,,mustang_event_04,mustang_event_04,1.0,,,,,,,,,,,,,,,,,5,idle,
d_main_04af_08_22,d_main_04af_08,Speech,neon,neon,Locale_MainScenario:d_main_04af_08_22,True,,mustang_event_04,mustang_event_04,1.0,,,,,,,,,,,,,,,,,5,idle,
d_main_04af_08_23,d_main_04af_08,Speech,mustang,mustang,Locale_MainScenario:d_main_04af_08_23,True,ElevatorOut,5,5,1.0,,,,anis,3,no,,rapi,1,idle,,neon,13,idle,,mustang,5,idle,mustang_event
d_main_04af_08_24,d_main_04af_08,Speech,anis,anis,Locale_MainScenario:d_main_04af_08_24,False,,5,53,1.0,,,,,3,no,,,1,idle,,,13,idle,,,5,idle,
d_main_04af_08_25,d_main_04af_08,Speech,mustang,mustang,Locale_MainScenario:d_main_04af_08_25,True,,53,53,1.0,,,,,3,no,,,1,idle,,,13,idle,,,5,idle,
d_main_04af_08_26,d_main_04af_08,Speech,anis,anis,Locale_MainScenario:d_main_04af_08_26,False,,53,53,1.0,,,,,3,no,,,1,idle,,,13,idle,,,5,idle,
d_main_04af_08_27,d_main_04af_08,Speech,mustang,mustang,Locale_MainScenario:d_main_04af_08_27,True,,53,53,1.0,,,,,3,no,,,1,idle,,,13,idle,,,5,good,
d_main_04af_08_28,d_main_04af_08,Speech,anis,anis,Locale_MainScenario:d_main_04af_08_28,True,,53,53,1.0,,,,,3,void,,,1,idle,,,13,idle,,,5,good,
d_main_04af_08_29,d_main_04af_08,Speech,mustang,mustang,Locale_MainScenario:d_main_04af_08_29,True,,53,L_50,3.0,,,,,3,void,,,1,idle,,,13,idle,,,5,surprise,
