id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_main_13_04_1,d_main_13_04,Speech,shifty,shifty,Locale_MainScenario:d_main_13_04_1,True,Desert_01,3,3,1.0,bgm_thecalmbeforethestorm_a,,,,,,,,,,,,,,,shifty,OP_center,angry,
d_main_13_04_2,d_main_13_04,Speech,anis,anis,Locale_MainScenario:d_main_13_04_2,True,,3,30,0.5,,,,anis,3,angry,,rapi,1,idle,,neon,13,surprise,,,OP_leftup,angry,
d_main_13_04_3,d_main_13_04,Speech,neon,neon,Locale_MainScenario:d_main_13_04_3,True,,S_130,S_130,1.0,,,,,3,angry,,,1,idle,,,13,no,,,OP_leftup,angry,
d_main_13_04_4,d_main_13_04,Speech,shifty,shifty,Locale_MainScenario:d_main_13_04_4,True,,S_130,S_1300,0.5,,,,,3,angry,anis,,1,idle,rapi,,13,surprise,neon,,OP_center,angry,
d_main_13_04_5,d_main_13_04,Narration,shifty,,Locale_MainScenario:d_main_13_04_5,True,,black,black,1.0,none,sfx_scn_trainhorn,,,,,,,,,,,,,,,OP_center,angry,shifty
d_main_13_04_6,d_main_13_04,Narration,shifty,,Locale_MainScenario:d_main_13_04_6,True,EventScene_Chap_13_01_02,black,black,1.0,bgm_thecalmbeforethestorm_b,sfx_scn_explosions,,,,,,,,,,,,,,,,,
d_main_13_04_7,d_main_13_04,Monologue,shifty,,Locale_MainScenario:d_main_13_04_7,True,,infinityrail_out_01,infinityrail_out_02,0.5,,,Low_2,,,,,,,,,,,,,,,,
d_main_13_04_8,d_main_13_04,Speech,anis,anis,Locale_MainScenario:d_main_13_04_8,True,,infinityrail_out_02,infinityrail_out_02,1.0,,,,,,,,,,,,,,,,,,,
d_main_13_04_9,d_main_13_04,Speech,neon,neon,Locale_MainScenario:d_main_13_04_9,True,,infinityrail_out_02,infinityrail_out_02,1.0,,,,,,,,,,,,,,,,,,,
d_main_13_04_10,d_main_13_04,Speech,anis,anis,Locale_MainScenario:d_main_13_04_10,True,,infinityrail_out_02,infinityrail_out_02,1.0,,,,,,,,,,,,,,,,,,,
d_main_13_04_11,d_main_13_04,Speech,neon,neon,Locale_MainScenario:d_main_13_04_11,True,,infinityrail_out_02,infinityrail_out_02,1.0,,,,,,,,,,,,,,,,,,,
d_main_13_04_12,d_main_13_04,Speech,anis,anis,Locale_MainScenario:d_main_13_04_12,True,,infinityrail_out_02,infinityrail_out_02,1.0,,,,,,,,,,,,,,,,,,,
d_main_13_04_13,d_main_13_04,Speech,rapi,rapi,Locale_MainScenario:d_main_13_04_13,True,,infinityrail_out_02,infinityrail_out_03,1.0,,,,,,,,,,,,,,,,,,,
d_main_13_04_14,d_main_13_04,Speech,diesel,diesel,Locale_MainScenario:d_main_13_04_14,True,EventScene_Chap_13_01,infinityrail_out_03,infinityrail_in_02,2.0,,,,,,,,,,,,,,,,,,,
d_main_13_04_15,d_main_13_04,Speech,diesel,diesel,Locale_MainScenario:d_main_13_04_15,True,,infinityrail_in_02,infinityrail_in_02,1.0,,,,,,,,,,,,,,,,,,,
d_main_13_04_16,d_main_13_04,Speech,soline,soline,Locale_MainScenario:d_main_13_04_16,True,,infinityrail_in_02,infinityrail_in_02,1.0,,,,,,,,,,,,,,,,,,,
d_main_13_04_17,d_main_13_04,Speech,brid,brid,Locale_MainScenario:d_main_13_04_17,True,,infinityrail_in_02,infinityrail_in_03,1.0,,,,,,,,,,,,,,,,,,,
d_main_13_04_18,d_main_13_04,Speech,brid,brid,Locale_MainScenario:d_main_13_04_18,True,,infinityrail_in_03,infinityrail_in_03,1.0,,,,,,,,,,,,,,,,,,,
